,ADX_14,APO,Aroon Down_25,Aroon Up_25,CCI_20,CMO_14,DEMA_10,DEMA_100,DEMA_20,DEMA_50,EMA_10,EMA_100,EMA_20,EMA_50,FAMA,KAMA_10,KAMA_100,KAMA_20,KAMA_50,MACD,MACD_Hist,MACD_Signal,MAMA,MOM_14,OBV,PPO,ROC_14,RSI_14,Real Lower Band_10,Real Lower Band_100,Real Lower Band_20,Real Lower Band_50,Real Middle Band_10,Real Middle Band_100,Real Middle Band_20,Real Middle Band_50,Real Upper Band_10,Real Upper Band_100,Real Upper Band_20,Real Upper Band_50,SMA_10,SMA_100,SMA_20,SMA_50,SlowD,SlowK,TEMA_10,TEMA_100,TEMA_20,TEMA_50,TRIMA_10,TRIMA_100,TRIMA_20,TRIMA_50,WILLR_14,WMA_10,WMA_100,WMA_20,WMA_50,adjusted_close,close,dividend_amount,high,low,open,split_coefficient,volume
2001-01-04,30.5633,-0.0068,64.0000,0.0000,358.6619,13.9096,0.2429,0.2119,0.2238,0.1735,0.2374,0.4158,0.2398,0.2968,0.4417,0.2447,0.3185,0.2369,0.2459,-0.0098,0.0079,-0.0177,0.5134,0.0317,-3236288039.0000,-2.8853,13.7333,56.9548,0.2055,-0.0774,0.2055,0.1931,0.2321,0.4732,0.2283,0.2680,0.2588,1.0237,0.2512,0.3430,0.2321,0.4732,0.2283,0.2680,76.7517,72.6423,0.2529,0.1584,0.2414,0.1897,0.2298,0.4259,0.2248,0.2683,-29.5688,0.2378,0.3388,0.2312,0.2503,0.26237442273,17.06,0.0,18.5,16.81,18.14,1.0,13203500
2001-01-05,29.7611,-0.0031,60.0000,96.0000,186.8629,3.3700,0.2467,0.2095,0.2275,0.1748,0.2400,0.4126,0.2409,0.2950,0.4421,0.2455,0.3158,0.2376,0.2460,-0.0079,0.0079,-0.0157,0.5108,0.0297,-3648644451.0000,-1.3267,13.3657,51.6850,0.2073,-0.0815,0.2053,0.1925,0.2352,0.4685,0.2299,0.2673,0.2631,1.0184,0.2546,0.3421,0.2352,0.4685,0.2299,0.2673,72.9775,66.7898,0.2558,0.1579,0.2458,0.1935,0.2332,0.4178,0.2257,0.2657,-43.7372,0.2413,0.3344,0.2335,0.2497,0.251762561553,16.37,0.0,17.37,16.06,16.94,1.0,7363500
2001-01-08,28.8767,0.0007,56.0000,92.0000,143.1694,5.9505,0.2503,0.2073,0.2313,0.1765,0.2427,0.4094,0.2422,0.2935,0.4424,0.2469,0.3134,0.2385,0.2461,-0.0060,0.0078,-0.0138,0.5082,0.0384,-3274944878.0000,0.3185,17.7809,52.9753,0.2121,-0.0855,0.2052,0.1920,0.2390,0.4638,0.2317,0.2667,0.2660,1.0131,0.2581,0.3414,0.2390,0.4638,0.2317,0.2667,64.8536,55.1287,0.2585,0.1577,0.2500,0.1974,0.2373,0.4099,0.2270,0.2632,-39.8357,0.2449,0.3302,0.2358,0.2492,0.254684668254,16.56,0.0,16.98,15.94,16.94,1.0,6673200
2001-01-09,28.5767,0.0039,52.0000,88.0000,165.0719,14.1384,0.2561,0.2057,0.2363,0.1788,0.2466,0.4066,0.2443,0.2923,0.4427,0.2494,0.3113,0.2399,0.2463,-0.0038,0.0080,-0.0118,0.5058,0.0452,-2686014690.0000,1.6750,20.6316,57.0692,0.2122,-0.0887,0.2033,0.1917,0.2424,0.4590,0.2333,0.2663,0.2726,1.0068,0.2633,0.3408,0.2424,0.4590,0.2333,0.2663,59.2492,55.8292,0.2643,0.1581,0.2560,0.2023,0.2421,0.4022,0.2287,0.2607,-26.8994,0.2495,0.3262,0.2389,0.2491,0.264373758894,17.19,0.0,17.64,16.56,16.81,1.0,10516600
2001-01-10,27.6996,0.0074,48.0000,84.0000,98.1564,4.3545,0.2570,0.2037,0.2390,0.1804,0.2481,0.4036,0.2453,0.2908,0.4430,0.2500,0.3084,0.2403,0.2464,-0.0027,0.0073,-0.0100,0.5033,0.0394,-3266796870.0000,3.1663,18.2857,52.1773,0.2165,-0.0915,0.2029,0.1912,0.2453,0.4536,0.2343,0.2657,0.2741,0.9988,0.2658,0.3401,0.2453,0.4536,0.2343,0.2657,53.0048,48.0565,0.2633,0.1581,0.2582,0.2059,0.2470,0.3946,0.2306,0.2582,-39.8357,0.2517,0.3222,0.2410,0.2486,0.254684668254,16.56,0.0,17.0,16.06,16.69,1.0,10371100
2001-01-11,27.9519,0.0105,44.0000,100.0000,146.6850,21.0195,0.2649,0.2027,0.2453,0.1836,0.2533,0.4011,0.2483,0.2903,0.4433,0.2541,0.3070,0.2422,0.2466,-0.0001,0.0079,-0.0080,0.5010,0.0557,-2463061667.0000,4.4579,25.1739,60.5097,0.2185,-0.0938,0.1999,0.1913,0.2502,0.4487,0.2364,0.2653,0.2819,0.9913,0.2729,0.3392,0.2502,0.4487,0.2364,0.2653,53.7865,57.4738,0.2722,0.1594,0.2657,0.2118,0.2516,0.3872,0.2330,0.2558,-10.8225,0.2575,0.3187,0.2450,0.2491,0.276831161146,18.0,0.0,18.5,16.25,16.25,1.0,14352400
2001-01-12,28.1861,0.0136,40.0000,96.0000,115.1029,9.4657,0.2664,0.2012,0.2485,0.1858,0.2553,0.3983,0.2498,0.2893,0.4436,0.2549,0.3050,0.2430,0.2469,0.0010,0.0072,-0.0062,0.4986,0.0481,-2886438890.0000,5.7663,22.2617,54.7328,0.2250,-0.0961,0.1997,0.1913,0.2539,0.4436,0.2380,0.2645,0.2827,0.9833,0.2764,0.3378,0.2539,0.4436,0.2380,0.2645,52.2341,51.1719,0.2721,0.1601,0.2685,0.2160,0.2554,0.3800,0.2359,0.2536,-29.9771,0.2600,0.3150,0.2477,0.2490,0.264373758894,17.19,0.0,18.0,17.06,17.87,1.0,7560300
2001-01-16,28.5674,0.0149,36.0000,92.0000,102.5427,8.5016,0.2671,0.1998,0.2511,0.1879,0.2568,0.3957,0.2511,0.2883,0.4439,0.2555,0.3029,0.2441,0.2472,0.0017,0.0063,-0.0046,0.4963,0.0326,-3192557596.0000,6.2725,14.1333,54.2508,0.2334,-0.0980,0.2010,0.1917,0.2573,0.4383,0.2401,0.2635,0.2812,0.9745,0.2792,0.3353,0.2573,0.4383,0.2401,0.2635,55.4085,57.5798,0.2710,0.1608,0.2703,0.2198,0.2588,0.3730,0.2391,0.2515,-32.0186,0.2617,0.3115,0.2501,0.2490,0.26329719326699996,17.12,0.0,18.25,17.0,17.44,1.0,5466400
2001-01-17,28.2825,0.0160,32.0000,88.0000,67.2242,4.1280,0.2658,0.1983,0.2524,0.1895,0.2571,0.3930,0.2518,0.2871,0.4441,0.2557,0.3003,0.2449,0.2476,0.0019,0.0052,-0.0033,0.4939,0.0326,-4033432036.0000,6.6874,14.4316,52.0640,0.2457,-0.0989,0.2039,0.1937,0.2603,0.4325,0.2422,0.2618,0.2749,0.9639,0.2805,0.3299,0.2603,0.4325,0.2422,0.2618,49.9182,41.0028,0.2677,0.1613,0.2704,0.2229,0.2610,0.3661,0.2425,0.2496,-39.2111,0.2620,0.3079,0.2518,0.2488,0.25852954549199997,16.81,0.0,17.56,16.5,17.56,1.0,15015600
2001-01-18,28.8074,0.0187,28.0000,100.0000,128.5625,24.1075,0.2742,0.1981,0.2588,0.1934,0.2626,0.3909,0.2552,0.2871,0.4444,0.2578,0.2996,0.2488,0.2484,0.0043,0.0061,-0.0018,0.4918,0.0597,-2806420409.0000,7.7621,26.1985,62.0538,0.2431,-0.0983,0.2041,0.1961,0.2638,0.4268,0.2456,0.2607,0.2845,0.9518,0.2871,0.3253,0.2638,0.4268,0.2456,0.2607,51.9476,57.2601,0.2782,0.1635,0.2778,0.2291,0.2632,0.3594,0.2461,0.2479,-1.3514,0.2669,0.3050,0.2561,0.2498,0.287443022323,18.69,0.0,18.75,17.62,17.81,1.0,21910900
