,ADX_14,APO,Aroon Down_25,Aroon Up_25,CCI_20,CMO_14,DEMA_10,DEMA_100,DEMA_20,DEMA_50,EMA_10,EMA_100,EMA_20,EMA_50,FAMA,KAMA_10,KAMA_100,KAMA_20,KAMA_50,MACD,MACD_Hist,MACD_Signal,MAMA,MOM_14,OBV,PPO,ROC_14,RSI_14,Real Lower Band_10,Real Lower Band_100,Real Lower Band_20,Real Lower Band_50,Real Middle Band_10,Real Middle Band_100,Real Middle Band_20,Real Middle Band_50,Real Upper Band_10,Real Upper Band_100,Real Upper Band_20,Real Upper Band_50,SMA_10,SMA_100,SMA_20,SMA_50,SlowD,SlowK,TEMA_10,TEMA_100,TEMA_20,TEMA_50,TRIMA_10,TRIMA_100,TRIMA_20,TRIMA_50,WILLR_14,WMA_10,WMA_100,WMA_20,WMA_50,adjusted_close,close,dividend_amount,high,low,open,split_coefficient,volume
2002-09-27,31.0986,-0.5872,88.0000,0.0000,-107.4691,-24.8671,10.3815,11.2731,10.6716,10.8777,10.8536,13.0025,11.2675,11.9555,9.0455,11.3356,12.7247,11.4760,12.5700,-0.4784,-0.1131,-0.3653,13.3431,-1.5393,-5424200.0000,-5.0369,-12.8695,37.5664,9.6768,9.5239,10.0850,10.0847,10.9236,12.9893,11.3835,11.8527,12.1703,16.4548,12.6819,13.6207,10.9236,12.9893,11.3835,11.8527,36.5749,46.4081,10.3005,10.8339,10.3882,10.9863,10.8128,12.6459,11.5129,12.2475,-85.1211,10.6638,12.1978,11.0962,11.7429,10.421273239400001,14.15,0.0,14.45,13.97,14.45,1.0,2160500
2002-09-30,32.3674,-0.5916,100.0000,0.0000,-107.2653,-22.0610,10.3560,11.2098,10.5923,10.8093,10.7924,12.9533,11.1960,11.8990,9.0668,11.2611,12.6660,11.4243,12.5567,-0.4779,-0.0901,-0.3878,13.3148,-1.3699,-3705600.0000,-5.1275,-11.5242,38.9695,9.7052,9.4980,9.9984,10.0551,10.7858,12.9308,11.3036,11.8443,11.8664,16.3637,12.6088,13.6335,10.7858,12.9308,11.3036,11.8443,44.5461,51.3158,10.3191,10.7656,10.3287,10.9022,10.6660,12.6012,11.4168,12.2223,-70.0906,10.5899,12.1488,11.0137,11.6905,10.5170163857,14.28,0.0,14.4,13.29,14.0,1.0,1718600
2002-10-01,32.5750,-0.5588,96.0000,0.0000,-57.4969,-9.4300,10.4953,11.1667,10.6094,10.7809,10.8254,12.9141,11.1748,11.8628,9.0879,11.2492,12.6364,11.4166,12.5498,-0.4356,-0.0382,-0.3974,13.2914,-1.0311,255200.0000,-4.8791,-8.5890,45.2850,9.8800,9.4596,9.9670,10.0573,10.6945,12.8918,11.2723,11.8450,11.5091,16.3240,12.5776,13.6328,10.6945,12.8918,11.2723,11.8450,53.8620,63.8620,10.5520,10.7275,10.4056,10.8777,10.5804,12.5586,11.3144,12.1907,-51.3595,10.6240,12.1101,10.9823,11.6564,10.973637545399999,14.9,0.0,14.9,13.8,14.2,1.0,3960800
2002-10-02,32.9426,-0.5906,92.0000,0.0000,-78.6435,-21.6778,10.3925,11.1001,10.5105,10.7057,10.7358,12.8630,11.0946,11.8028,9.1088,11.1911,12.5876,11.3660,12.5365,-0.4486,-0.0410,-0.4076,13.2618,-1.6718,-3250300.0000,-5.2016,-13.9264,39.1611,10.0737,9.4030,9.8587,10.0288,10.5575,12.8445,11.1961,11.8378,11.0414,16.2859,12.5334,13.6469,10.5575,12.8445,11.1961,11.8378,60.7487,67.0683,10.4281,10.6544,10.3092,10.7841,10.5467,12.5174,11.1969,12.1535,-77.6435,10.5583,12.0594,10.8928,11.5971,10.3328949504,14.03,0.0,14.8,13.6,14.75,1.0,3505500
2002-10-03,33.8392,-0.6915,100.0000,8.0000,-126.6744,-33.6694,10.0588,11.0046,10.2837,10.5745,10.5179,12.7972,10.9463,11.7139,9.1294,11.1276,12.5025,11.2480,12.4886,-0.5171,-0.0876,-0.4295,13.2246,-2.0622,-6991300.0000,-6.1415,-17.7778,33.1653,9.6920,9.3246,9.5888,9.8887,10.4728,12.7841,11.0918,11.8032,11.2536,16.2435,12.5949,13.7177,10.4728,12.7841,11.0918,11.8032,59.6508,48.0221,9.9931,10.5387,10.0305,10.6092,10.5165,12.4772,11.0731,12.1110,-98.6486,10.3728,11.9939,10.7348,11.5069,9.53749034982,12.95,0.0,14.01,12.9,14.0,1.0,3741000
2002-10-04,35.5422,-0.8132,100.0000,4.0000,-176.1538,-40.4841,9.6355,10.8907,9.9910,10.4094,10.2393,12.7217,10.7595,11.6069,9.1497,10.8928,12.3821,11.0377,12.4287,-0.6089,-0.1436,-0.4654,13.1822,-2.9091,-14452400.0000,-7.2898,-24.4582,29.7580,9.1405,9.2363,9.2278,9.7107,10.2939,12.7130,10.9519,11.7658,11.4473,16.1897,12.6761,13.8209,10.2939,12.7130,10.9519,11.7658,46.1341,23.3118,9.4636,10.3962,9.6661,10.3868,10.4299,12.4380,10.9442,12.0631,-84.6154,10.1023,11.9187,10.5342,11.3964,8.98512604384,12.2,0.0,13.19,11.4,13.0,1.0,7461100
2002-10-07,37.1714,-0.8083,100.0000,0.0000,-172.0322,-37.2446,9.3697,10.7850,9.7637,10.2638,10.0327,12.6500,10.6018,11.5087,9.1696,10.7022,12.2659,10.8493,12.3725,-0.6646,-0.1593,-0.5052,13.1414,-2.7839,-10697700.0000,-7.3199,-23.4201,31.3777,8.8366,9.1685,8.9729,9.5535,10.1171,12.6404,10.8090,11.7288,11.3976,16.1123,12.6451,13.9041,10.1171,12.6404,10.8090,11.7288,29.8670,18.2672,9.1805,10.2670,9.4068,10.1966,10.3079,12.4002,10.8085,12.0089,-77.5424,9.8858,11.8472,10.3581,11.2919,9.10296376245,12.36,0.0,12.6,11.3,11.4,1.0,3754700
2002-10-08,37.7486,-0.8123,96.0000,20.0000,-121.9311,-25.7312,9.3265,10.6999,9.6505,10.1611,9.9426,12.5884,10.5004,11.4314,9.1893,10.6709,12.1995,10.7620,12.2996,-0.6659,-0.1286,-0.5374,13.1053,-2.1653,-7887900.0000,-7.4225,-18.5022,37.1344,8.7288,9.0879,8.8457,9.4203,10.0545,12.5885,10.6916,11.6770,11.3802,16.0890,12.5374,13.9336,10.0545,12.5885,10.6916,11.6770,24.9091,33.1481,9.2101,10.1692,9.3168,10.0721,10.1498,12.3634,10.6770,11.9496,-54.7945,9.7804,11.7858,10.2370,11.2060,9.53749034982,12.95,0.0,13.13,12.05,12.21,1.0,2809800
2002-10-09,38.2845,-0.8603,92.0000,16.0000,-123.0970,-30.9147,9.1853,10.6035,9.4913,10.0375,9.8033,12.5208,10.3743,11.3430,9.2087,10.5602,12.1207,10.6288,12.1875,-0.6882,-0.1206,-0.5675,13.0660,-1.2078,-11468300.0000,-7.9283,-11.6312,34.5427,8.5375,8.9941,8.6951,9.2613,9.9227,12.5329,10.5502,11.6097,11.3078,16.0718,12.4052,13.9580,9.9227,12.5329,10.5502,11.6097,30.4042,39.7972,9.0885,10.0550,9.1594,9.9182,9.9261,12.3263,10.5492,11.8871,-68.2192,9.6208,11.7182,10.0927,11.1079,9.17661233658,12.46,0.0,12.97,12.2,12.65,1.0,3580400
2002-10-10,37.4270,-0.8100,88.0000,12.0000,-92.4261,-15.1891,9.3072,10.5360,9.4770,9.9725,9.8086,12.4676,10.3227,11.2837,9.2278,10.5374,12.0546,10.5889,12.1351,-0.6455,-0.0624,-0.5831,13.0337,-0.9427,-5010400.0000,-7.5189,-8.7491,42.4054,8.5422,8.9557,8.6882,9.1684,9.8417,12.4732,10.4415,11.5633,11.1411,15.9907,12.1948,13.9581,9.8417,12.4732,10.4415,11.5633,43.4204,57.3158,9.3234,9.9845,9.2106,9.8524,9.7177,12.2892,10.4278,11.8229,-43.8356,9.6043,11.6647,10.0243,11.0382,9.83208464634,13.35,0.0,13.8,11.4,11.5,1.0,6457900
