,ADX_14,APO,Aroon Down_25,Aroon Up_25,CCI_20,CMO_14,DEMA_10,DEMA_100,DEMA_20,DEMA_50,EMA_10,EMA_100,EMA_20,EMA_50,FAMA,KAMA_10,KAMA_100,KAMA_20,KAMA_50,MACD,MACD_Hist,MACD_Signal,MAMA,MOM_14,OBV,PPO,ROC_14,RSI_14,Real Lower Band_10,Real Lower Band_100,Real Lower Band_20,Real Lower Band_50,Real Middle Band_10,Real Middle Band_100,Real Middle Band_20,Real Middle Band_50,Real Upper Band_10,Real Upper Band_100,Real Upper Band_20,Real Upper Band_50,SMA_10,SMA_100,SMA_20,SMA_50,SlowD,SlowK,TEMA_10,TEMA_100,TEMA_20,TEMA_50,TRIMA_10,TRIMA_100,TRIMA_20,TRIMA_50,WILLR_14,WMA_10,WMA_100,WMA_20,WMA_50,adjusted_close,close,dividend_amount,high,low,open,split_coefficient,volume
2001-01-04,17.3181,-1.7929,96.0000,20.0000,-108.3932,-15.9375,27.2035,34.7044,28.1142,31.3687,29.0606,33.3249,30.7365,33.0868,16.0424,33.1159,33.3025,33.7962,33.2823,-2.0240,-0.3751,-1.6488,30.2014,-6.1738,135156800.0000,-5.6728,-18.7727,42.0312,23.7760,26.9756,25.0201,26.1254,29.4376,34.5396,31.0379,34.7722,35.0992,42.1036,37.0558,43.4190,29.4376,34.5396,31.0379,34.7722,29.1119,37.4944,26.7310,32.5453,27.1906,29.0194,30.0768,35.9964,31.1661,35.3761,-61.1180,28.6869,34.4791,29.9498,32.9674,26.713403119099997,53.75,0.0,58.75,53.0,57.0,1.0,4804800
2001-01-05,18.8308,-2.0382,92.0000,16.0000,-131.4323,-18.9051,26.3956,34.3740,27.4313,30.8601,28.4305,33.1718,30.2469,32.7930,16.1130,32.9677,33.2509,33.5644,33.1857,-2.1818,-0.4263,-1.7554,30.1554,-2.8799,126734600.0000,-6.5009,-10.1138,40.5475,23.0501,26.7699,24.2899,25.5962,29.1526,34.4935,30.6485,34.6124,35.2551,42.2171,37.0071,43.6285,29.1526,34.4935,30.6485,34.6124,37.6823,48.4593,25.8634,32.0838,26.4207,28.3964,29.3146,36.0024,30.8493,35.1210,-70.1463,27.9882,34.3019,29.4314,32.6076,25.595167639699998,51.5,0.0,55.0,50.0,53.5,1.0,4211100
2001-01-08,20.6629,-2.3539,88.0000,12.0000,-148.9896,-21.4790,25.5095,34.0153,26.6807,30.3083,27.7397,33.0027,29.7120,32.4729,16.1829,32.6284,33.1902,33.3484,33.0685,-2.3574,-0.4816,-1.8758,30.1001,-6.3930,118239000.0000,-7.5760,-20.6066,39.2605,21.9915,26.5254,23.4489,24.9980,28.6440,34.4415,30.3149,34.4342,35.2965,42.3576,37.1810,43.8704,28.6440,34.4415,30.3149,34.4342,42.0921,40.3227,24.9144,31.5846,25.5712,27.7186,28.3371,36.0036,30.5310,34.8578,-77.9307,27.1661,34.1067,28.8583,32.2161,24.631000159699997,49.56,0.0,51.5,45.5,49.94,1.0,4247800
2001-01-09,21.7155,-2.4024,84.0000,8.0000,-107.8958,-20.9462,24.9284,33.6719,26.0702,29.7997,27.1971,32.8394,29.2399,32.1703,16.2522,31.8832,33.1288,33.0117,32.9228,-2.4583,-0.4660,-1.9923,30.0467,-6.8252,124789600.0000,-7.7969,-21.6121,39.5269,21.4186,26.2792,22.7974,24.4044,27.8556,34.3860,29.8539,34.2095,34.2927,42.4928,36.9105,44.0146,27.8556,34.3860,29.8539,34.2095,41.9847,37.1721,24.4100,31.1128,24.9411,27.1137,27.4375,35.9989,30.1556,34.5844,-76.9276,26.4591,33.9148,28.3288,31.8366,24.755248546300002,49.81,0.0,54.38,49.38,49.69,1.0,3275300
2001-01-10,23.0667,-2.5722,80.0000,4.0000,-140.2414,-26.5776,23.8667,33.2593,25.1925,29.1673,26.3862,32.6394,28.6207,31.8004,16.3209,30.7858,33.0345,32.2477,32.6907,-2.6703,-0.5423,-2.1279,29.9736,-9.0616,110647800.0000,-8.4613,-28.4965,36.7112,20.6676,25.8967,22.2067,23.6430,26.8531,34.3031,29.1492,33.9208,33.0386,42.7096,36.0917,44.1987,26.8531,34.3031,29.1492,33.9208,33.8197,23.9643,23.2372,30.5425,23.9371,26.3346,26.6497,35.9863,29.7011,34.2979,-92.8607,25.5285,33.6842,27.6511,31.3867,22.7374547479,45.75,0.0,50.44,45.63,49.06,1.0,7070900
2001-01-11,24.0244,-2.9197,76.0000,0.0000,-113.3285,-21.2838,23.4981,32.9037,24.6600,28.6620,25.9315,32.4660,28.1697,31.4900,16.3888,30.1736,32.9623,31.7945,32.5429,-2.7143,-0.4691,-2.2452,29.9127,-4.5598,122098600.0000,-9.7265,-16.0299,39.3581,20.9051,25.6119,21.8539,23.0544,25.9872,34.2374,28.5873,33.7066,31.0693,42.8629,35.3208,44.3589,25.9872,34.2374,28.5873,33.7066,27.8148,22.3079,23.0535,30.0622,23.4504,25.7530,25.8999,35.9671,29.2049,33.9947,-83.1023,24.9889,33.4779,27.1498,30.9931,23.885509840100003,48.06,0.0,51.75,45.19,45.19,1.0,5725400
2001-01-12,24.7254,-3.0595,72.0000,0.0000,-75.6339,-15.9054,23.6552,32.6050,24.4317,28.2791,25.7746,32.3195,27.8743,31.2382,16.4562,29.9282,32.9093,31.5649,32.3891,-2.6235,-0.3027,-2.3209,29.8643,-4.6489,132758600.0000,-10.3655,-15.6437,42.0473,21.3894,25.4177,21.6004,22.5964,25.4319,34.1903,28.1964,33.4521,29.4743,42.9630,34.7923,44.3079,25.4319,34.1903,28.1964,33.4521,25.2318,29.4233,23.5484,29.6705,23.3979,25.3583,25.3269,35.9413,28.6817,33.6733,-73.0482,24.8219,33.2963,26.8146,30.6544,25.068354480500002,50.44,0.0,52.56,49.19,50.0,1.0,5330000
2001-01-16,25.4220,-3.3529,68.0000,12.0000,-67.3601,-14.8910,23.8793,32.3236,24.2902,27.9376,25.6860,32.1803,27.6279,31.0048,16.5230,29.7892,32.8564,31.4754,32.2377,-2.5051,-0.1474,-2.3577,29.8185,-7.3517,139192600.0000,-11.4805,-22.5246,42.5545,21.7559,25.2210,21.3226,22.1920,25.0693,34.1394,28.0370,33.1902,28.3828,43.0578,34.7513,44.1885,25.0693,34.1394,28.0370,33.1902,33.7213,49.4328,24.0479,29.3078,23.4498,25.0273,24.9433,35.9072,28.1461,33.3494,-71.1894,24.7956,33.1200,26.5375,30.3342,25.2870316409,50.88,0.0,52.69,48.81,50.63,1.0,3217000
2001-01-17,25.5255,-3.5077,64.0000,8.0000,-34.0517,-8.7858,24.5064,32.1015,24.4196,27.7183,25.8502,32.0695,27.5290,30.8316,16.5893,29.6696,32.8143,31.3744,32.1117,-2.2798,0.0623,-2.3421,29.7862,-6.1738,149088000.0000,-12.0854,-18.8439,45.6071,22.2296,25.0647,21.2182,21.9520,25.4058,34.0921,27.8152,32.9190,28.5820,43.1194,34.4122,43.8860,25.4058,34.0921,27.8152,32.9190,49.0410,68.2670,25.0230,29.0363,23.8659,24.8779,24.7635,35.8647,27.6371,33.0250,-60.1215,25.0719,32.9705,26.3997,30.0753,26.5891547325,53.5,0.0,54.88,51.75,52.81,1.0,4947700
2001-01-18,24.8176,-3.3614,60.0000,4.0000,-4.9957,-3.1530,25.4058,31.9347,24.7707,27.6097,26.2104,31.9856,27.5578,30.7140,16.6552,29.6451,32.7820,31.3144,32.0275,-1.9783,0.2911,-2.2694,29.7667,-4.7127,161617400.0000,-11.6766,-14.4809,48.4235,22.5151,24.9435,21.2603,21.8115,25.3094,34.0487,27.6278,32.6738,28.1037,43.1539,33.9952,43.5361,25.3094,34.0487,27.6278,32.6738,64.7477,76.5432,26.2695,28.8490,24.5612,24.8894,24.7026,35.8139,27.1902,32.6963,-44.2642,25.5129,32.8465,26.4012,29.8758,27.8316385985,56.0,0.0,58.38,52.13,53.69,1.0,6264700
