,ADX_14,APO,Aroon Down_25,Aroon Up_25,CCI_20,CMO_14,DEMA_10,DEMA_100,DEMA_20,DEMA_50,EMA_10,EMA_100,EMA_20,EMA_50,FAMA,KAMA_10,KAMA_100,KAMA_20,KAMA_50,MACD,MACD_Hist,MACD_Signal,MAMA,MOM_14,OBV,PPO,ROC_14,RSI_14,Real Lower Band_10,Real Lower Band_100,Real Lower Band_20,Real Lower Band_50,Real Middle Band_10,Real Middle Band_100,Real Middle Band_20,Real Middle Band_50,Real Upper Band_10,Real Upper Band_100,Real Upper Band_20,Real Upper Band_50,SMA_10,SMA_100,SMA_20,SMA_50,SlowD,SlowK,TEMA_10,TEMA_100,TEMA_20,TEMA_50,TRIMA_10,TRIMA_100,TRIMA_20,TRIMA_50,WILLR_14,WMA_10,WMA_100,WMA_20,WMA_50,adjusted_close,close,dividend_amount,high,low,open,split_coefficient,volume
2001-01-04,8.9903,-1.1700,96.0000,36.0000,-37.5248,-4.9787,34.3761,38.0532,34.0690,33.2598,34.8934,42.8254,35.5873,38.7807,26.9277,36.1222,47.3948,41.0748,40.9652,-1.0987,0.1282,-1.2269,42.8794,-1.6234,15656000.0000,-3.2696,-4.4538,47.5107,30.6642,24.6314,31.0300,29.7059,34.3060,47.4871,36.0768,37.3517,37.9479,70.3428,41.1236,44.9975,34.3060,47.4871,36.0768,37.3517,47.4451,54.9246,34.5656,33.3116,34.5261,32.3666,34.6203,46.7147,35.6397,37.1397,-44.6154,34.5927,41.5456,35.1548,36.2942,34.8271453863,52.13,0.0,53.63,50.63,53.63,1.0,5871500
2001-01-05,8.9855,-1.3166,92.0000,32.0000,-97.8001,-14.2508,33.4544,37.7162,33.5303,32.9411,34.3347,42.6075,35.2286,38.5077,27.0069,36.0601,47.1973,40.7801,40.7394,-1.2722,-0.0362,-1.2360,42.7688,-5.0106,12034800.0000,-3.6954,-13.6042,42.8746,30.1565,24.2398,30.5584,29.9130,34.0936,47.2955,35.7033,37.0177,38.0307,70.3512,40.8482,44.1223,34.0936,47.2955,35.7033,37.0177,54.7844,64.2601,33.3124,32.9518,33.7811,32.0390,34.5706,46.3106,35.2984,37.0146,-72.3077,34.1408,41.2353,34.7495,36.0773,31.820773733899998,47.63,0.0,52.13,46.94,52.13,1.0,3621200
2001-01-08,9.4876,-1.6772,88.0000,28.0000,-144.2617,-17.3951,32.4234,37.3474,32.8763,32.5615,33.6797,42.3723,34.8004,38.2028,27.0851,36.0159,46.9346,40.5164,40.5580,-1.4805,-0.1956,-1.2849,42.6484,-5.5117,8385600.0000,-4.7274,-15.2074,41.3025,29.7925,23.8166,29.8500,29.6560,33.9974,47.0525,35.3943,36.7754,38.2023,70.2883,40.9387,43.8949,33.9974,47.0525,35.3943,36.7754,54.6626,44.8032,31.9997,32.5463,32.8990,31.6230,34.3343,45.9028,34.9970,36.9071,-82.3385,33.5296,40.9073,34.2760,35.8308,30.7317991132,46.0,0.0,47.38,43.81,47.38,1.0,3649200
2001-01-09,9.9538,-1.8553,84.0000,24.0000,-134.8255,-17.6345,31.6508,36.9873,32.3070,32.2021,33.1291,42.1402,34.4052,37.9067,27.1623,35.9253,46.5727,40.0424,40.4036,-1.6332,-0.2787,-1.3545,42.5285,-4.7968,4868400.0000,-5.2436,-13.5319,41.1827,29.1379,23.4866,29.4064,29.3479,33.7722,46.7306,34.9394,36.5708,38.4066,69.9745,40.4724,43.7938,33.7722,46.7306,34.9394,36.5708,46.1921,29.5130,31.1225,32.1558,32.1698,31.2396,33.9896,45.4958,34.7226,36.8078,-83.0769,32.9213,40.5826,33.8243,35.5907,30.6516292024,45.88,0.0,46.5,44.13,45.94,1.0,3517200
2001-01-10,9.7003,-1.6759,80.0000,20.0000,-81.4468,-8.3083,31.8316,36.7255,32.2270,32.0380,33.0807,41.9565,34.2584,37.7089,27.2386,35.8880,46.3033,39.7761,40.3180,-1.5578,-0.1626,-1.3952,42.4318,-4.0085,9195000.0000,-4.7476,-10.8715,45.8458,28.9733,23.2344,29.6202,29.2015,33.6099,46.4412,34.5489,36.4264,38.2465,69.6481,39.4776,43.6513,33.6099,46.4412,34.5489,36.4264,36.3226,34.6517,31.5869,31.9133,32.1635,31.1456,33.5767,45.0946,34.4956,36.7177,-55.5066,32.7560,40.3080,33.6265,35.4453,32.862982573400004,49.19,0.0,49.63,44.63,44.75,1.0,4326600
2001-01-11,9.1943,-1.6032,76.0000,16.0000,-12.2693,-1.1344,32.5941,36.5446,32.5006,32.0290,33.3752,41.8129,34.3004,37.5909,27.3142,35.8662,46.0817,39.6636,40.2667,-1.3345,0.0486,-1.3830,42.3545,0.7549,14077700.0000,-4.5318,2.2240,49.4328,29.2674,23.0755,30.0338,29.1557,33.3681,46.1586,34.2837,36.3179,37.4687,69.2417,38.5336,43.4801,33.3681,46.1586,34.2837,36.3179,40.1084,56.1606,32.7768,31.7911,32.6527,31.2764,33.0955,44.6997,34.3029,36.6348,-35.3157,32.9542,40.0755,33.6409,35.3776,34.7002096943,51.94,0.0,52.88,47.19,47.25,1.0,4882700
2001-01-12,8.7477,-1.4610,72.0000,12.0000,27.5641,0.3136,33.2978,36.3847,32.8124,32.0536,33.6841,41.6794,34.3741,37.4922,27.3891,35.8591,45.8703,39.6278,40.1997,-1.1144,0.2149,-1.3293,42.2817,3.3805,18006600.0000,-4.1406,10.6661,50.1568,29.3942,22.9522,30.0641,29.2757,33.2678,45.8746,34.2148,36.1509,37.1415,68.7970,38.3656,43.0260,33.2678,45.8746,34.2148,36.1509,56.8243,79.6605,33.7703,31.6994,33.1654,31.4490,32.7991,44.3105,34.1273,36.5494,-31.2041,33.2644,39.8560,33.7163,35.3288,35.0743359444,52.5,0.0,53.0,50.5,51.94,1.0,3928900
2001-01-16,8.3331,-1.4674,68.0000,8.0000,35.2128,0.4780,33.8409,36.2321,33.0955,32.0841,33.9442,41.5494,34.4446,37.3989,27.4632,35.8523,45.6623,39.5874,40.1559,-0.9261,0.3226,-1.2487,42.2100,2.2114,21952300.0000,-4.1778,6.7208,50.2390,29.3608,22.8499,30.1300,29.2550,33.3594,45.5890,34.1290,36.0582,37.3580,68.3281,38.1280,42.8613,33.3594,45.5890,34.1290,36.0582,76.2998,93.0783,34.4590,31.6175,33.6071,31.6220,32.7906,43.9274,33.9634,36.4676,-30.7636,33.6002,39.6429,33.8019,35.2882,35.1144208997,52.56,0.0,52.56,51.06,51.75,1.0,3945700
2001-01-17,9.1285,-1.3264,64.0000,4.0000,169.4649,13.4658,35.3662,36.2179,33.9599,32.3773,34.7728,41.4891,34.8310,37.4422,27.5367,36.0816,45.5310,39.5763,40.1469,-0.4978,0.6007,-1.0985,42.1729,4.0152,27297300.0000,-3.7700,11.6428,56.7329,29.2724,22.9010,29.8979,29.2842,34.0695,45.3160,34.2419,36.0265,38.8667,67.7309,38.5859,42.7688,34.0695,45.3160,34.2419,36.0265,88.7826,93.6089,36.4420,31.7398,34.8554,32.1735,33.1594,43.5530,33.8881,36.3883,-7.9365,34.5351,39.5026,34.2184,35.3840,38.5015996281,57.63,0.0,58.88,56.44,58.0,1.0,5345000
2001-01-18,8.7038,-0.8938,60.0000,0.0000,131.8726,15.5035,36.6832,36.2279,34.8142,32.7020,35.5564,41.4414,35.2360,37.5065,27.6097,36.1766,45.4213,39.5687,40.1401,-0.1102,0.7906,-0.9008,42.1420,1.9642,42125100.0000,-2.5421,5.2916,57.7518,28.8061,22.9456,29.6138,29.3661,34.3368,45.0629,34.4236,35.9756,39.8674,67.1802,39.2334,42.5851,34.3368,45.0629,34.4236,35.9756,92.7355,91.5193,37.9997,31.8951,36.0309,32.7565,33.7604,43.1877,33.8810,36.3070,-8.8915,35.4466,39.3791,34.6794,35.5038,39.082831480900005,58.5,0.0,60.0,51.0,53.88,1.0,14827800
