,ADX_14,APO,Aroon Down_25,Aroon Up_25,CCI_20,CMO_14,DEMA_10,DEMA_100,DEMA_20,DEMA_50,EMA_10,EMA_100,EMA_20,EMA_50,FAMA,KAMA_10,KAMA_100,KAMA_20,KAMA_50,MACD,MACD_Hist,MACD_Signal,MAMA,MOM_14,OBV,PPO,ROC_14,RSI_14,Real Lower Band_10,Real Lower Band_100,Real Lower Band_20,Real Lower Band_50,Real Middle Band_10,Real Middle Band_100,Real Middle Band_20,Real Middle Band_50,Real Upper Band_10,Real Upper Band_100,Real Upper Band_20,Real Upper Band_50,SMA_10,SMA_100,SMA_20,SMA_50,SlowD,SlowK,TEMA_10,TEMA_100,TEMA_20,TEMA_50,TRIMA_10,TRIMA_100,TRIMA_20,TRIMA_50,WILLR_14,WMA_10,WMA_100,WMA_20,WMA_50,adjusted_close,close,dividend_amount,high,low,open,split_coefficient,volume
2001-01-04,24.1728,-4.6916,92.0000,44.0000,-73.6780,-23.7568,20.7266,17.9019,20.9998,21.9919,23.7197,50.5724,26.9849,35.6536,78.0601,24.6055,42.1494,32.1146,39.0903,-4.4425,-0.1002,-4.3423,70.2033,-13.3700,-89626600.0000,-16.4469,-39.0365,38.1216,19.3061,16.7229,16.0983,15.1021,22.7010,48.3914,28.0395,37.2936,26.0959,80.0599,39.9807,59.4851,22.7010,48.3914,28.0395,37.2936,35.8601,40.8408,20.8134,22.1825,20.5268,22.2718,22.9403,48.3798,27.9222,36.6495,-83.8926,22.3944,40.0042,25.2753,31.5755,20.88,20.88,0.0,25.5,20.69,24.25,1.0,6062100
2001-01-05,24.4122,-5.2342,88.0000,40.0000,-93.5712,-26.7933,19.8560,17.3281,20.2011,21.2810,22.9416,49.9559,26.2663,35.0178,78.0183,24.4120,41.4909,31.4975,38.1237,-4.5080,-0.1326,-4.3754,69.6957,-13.1900,-92671100.0000,-18.6236,-40.4229,36.6033,18.4622,16.0255,15.0661,14.3417,22.2510,47.8720,27.3925,36.6224,26.0398,79.7185,39.7189,58.9031,22.2510,47.8720,27.3925,36.6224,38.4537,40.4177,19.8514,21.5657,19.7007,21.4776,22.5467,47.9314,26.9106,35.9517,-91.3410,21.8015,39.4309,24.4563,30.8754,19.44,19.44,0.0,21.38,18.94,21.38,1.0,3044500
2001-01-08,24.8514,-5.5415,100.0000,36.0000,-95.8037,-28.5178,18.9917,16.7458,19.3935,20.5595,22.1577,49.3356,25.5390,34.3751,77.9741,24.2898,40.7456,30.9560,37.2191,-4.5726,-0.1577,-4.4149,69.1850,-14.6800,-94788700.0000,-20.0551,-44.0708,35.7411,17.6490,15.4084,13.9928,13.5025,21.9950,47.3077,26.8295,35.9874,26.3410,79.2070,39.6662,58.4723,21.9950,47.3077,26.8295,35.9874,34.0758,20.9687,18.9222,20.9369,18.8680,20.6728,22.0740,47.4778,25.9525,35.2722,-94.4510,21.1431,38.8519,23.6218,30.1698,18.63,18.63,0.0,20.25,17.69,19.06,1.0,2117600
2001-01-09,24.8382,-5.5082,96.0000,32.0000,-72.1362,-21.1921,19.0392,16.2628,19.0755,20.0390,21.8672,48.7658,25.0648,33.8334,77.9278,24.1925,40.0963,30.3343,36.5587,-4.4171,-0.0018,-4.4153,68.6988,-10.4400,-92244000.0000,-20.1644,-33.6774,39.4040,17.4088,14.9546,13.5056,12.8405,21.6950,46.7483,26.1450,35.4186,25.9812,78.5420,38.7844,57.9967,21.6950,46.7483,26.1450,35.4186,27.9312,22.4072,19.2588,20.4560,18.7415,20.1683,21.6327,47.0227,25.0463,34.6161,-81.2541,20.8822,38.3222,23.0247,29.5648,20.56,20.56,0.0,21.56,19.25,19.38,1.0,2544700
2001-01-10,24.4859,-5.2426,92.0000,28.0000,-59.4246,-15.4280,19.6402,15.8620,19.1135,19.6801,21.9150,48.2384,24.7853,33.3744,77.8793,24.1688,39.5571,29.6171,36.0434,-4.1197,0.2365,-4.3562,68.2331,-5.8700,-88809500.0000,-19.3244,-20.9643,42.2860,17.4321,14.5680,13.9586,12.3335,21.5520,46.2183,25.3200,34.8874,25.6719,77.8686,36.6814,57.4413,21.5520,46.2183,25.3200,34.8874,26.1957,35.2113,20.2726,20.0962,19.0986,19.9004,21.2477,46.5680,24.2242,33.9874,-51.6866,20.9613,37.8347,22.6423,29.0437,22.13,22.13,0.0,22.63,19.0,19.0,1.0,3434500
2001-01-11,23.4272,-5.0946,88.0000,24.0000,-26.4985,-7.1437,20.9084,15.5723,19.6019,19.5347,22.3850,47.7683,24.7582,33.0264,77.8289,24.1707,39.0867,29.2536,35.7084,-3.6507,0.5644,-4.2151,67.7957,0.5600,-84789500.0000,-18.8274,2.3392,46.4281,17.5267,14.4234,15.2397,11.9768,21.5080,45.6739,24.5730,34.4324,25.4893,76.9244,33.9063,56.8880,21.5080,45.6739,24.5730,34.4324,39.8728,61.9999,22.0788,19.8995,20.0549,19.9411,20.9603,46.1147,23.5351,33.3732,-25.8977,21.4973,37.4047,22.5642,28.6363,24.5,24.5,0.0,25.06,20.25,20.81,1.0,4020000
2001-01-12,21.9076,-4.3844,84.0000,20.0000,49.5147,2.2304,22.8479,15.4127,20.5795,19.6343,23.3041,47.3657,25.0136,32.8073,77.7767,24.2518,38.7710,29.2064,35.4557,-3.0071,0.9664,-3.9735,67.3922,6.2500,-79699100.0000,-16.4376,29.4950,51.1152,16.6516,14.3312,15.8922,11.9312,21.8640,45.1883,24.2325,33.9612,27.0764,76.0454,32.5728,55.9912,21.8640,45.1883,24.2325,33.9612,59.2461,80.5271,24.6405,19.8924,21.6427,20.3308,21.0750,45.6647,23.0102,32.7663,-7.6705,22.5758,37.0436,22.8372,28.3621,27.44,27.44,0.0,28.25,24.56,24.81,1.0,5090400
2001-01-16,21.3116,-3.7953,80.0000,16.0000,123.0658,13.9506,25.7031,15.4308,22.2130,20.0649,24.8288,47.0553,25.6494,32.7635,77.7230,25.0417,38.6183,29.2211,35.3717,-2.1295,1.4752,-3.6047,67.0352,8.1300,-76279000.0000,-14.2434,34.5076,56.9753,15.1161,14.2791,16.0264,12.0529,22.9270,44.7889,24.1855,33.5888,30.7379,75.2987,32.3446,55.1247,22.9270,44.7889,24.1855,33.5888,78.9819,94.4187,28.2582,20.1437,24.0775,21.1900,21.7730,45.2171,22.6762,32.1908,-1.3390,24.3624,36.7763,23.5475,28.2731,31.69,31.69,0.0,31.88,25.63,27.56,1.0,3420100
2001-01-17,21.3599,-3.1828,76.0000,12.0000,196.3934,15.7172,28.0404,15.4816,23.7612,20.5334,26.2017,46.7647,26.2904,32.7485,77.6678,26.1189,38.4940,29.2398,35.3000,-1.3627,1.7936,-3.1563,66.6886,8.8200,-71963300.0000,-11.9017,37.4363,57.8586,14.8983,14.2135,16.1803,12.3146,24.1900,44.4196,24.1390,33.1952,33.4817,74.6257,32.0977,54.0758,24.1900,44.4196,24.1390,33.1952,88.8130,91.4931,30.9200,20.4358,26.2690,22.0790,22.9460,44.7701,22.5622,31.6439,-15.1358,26.0811,36.5306,24.3279,28.2256,32.38,32.38,0.0,35.0,32.0,33.0,1.0,4315700
2001-01-18,20.8555,-2.2182,72.0000,8.0000,156.1249,11.6739,29.3749,15.4927,24.9018,20.8972,27.1196,46.4575,26.7628,32.6897,77.6111,26.4933,38.3608,29.2491,35.1839,-0.8365,1.8558,-2.6923,66.3342,6.3100,-73929700.0000,-8.3308,25.3007,55.8369,14.6767,14.0531,16.1490,12.7152,24.8900,44.0802,24.1515,32.7414,35.1033,74.1073,32.1540,52.7676,24.8900,44.0802,24.1515,32.7414,90.4957,85.5754,32.0719,20.6608,27.7753,22.7882,24.3960,44.3211,22.6351,31.1131,-21.6638,27.3647,36.2698,25.0051,28.1494,31.25,31.25,0.0,32.5,30.0,32.38,1.0,1966400
2001-01-19,19.9917,-1.0321,68.0000,4.0000,132.3246,7.2112,29.9171,15.4605,25.6663,21.1529,27.6433,46.1316,27.0711,32.5842,77.5529,26.9561,38.1738,29.2556,35.0003,-0.5144,1.7423,-2.2567,65.9709,6.1200,-76550900.0000,-3.9252,25.6281,53.6056,15.5551,13.9825,16.0127,13.3602,25.8020,43.6796,24.2515,32.2114,36.0489,73.3767,32.4903,51.0626,25.8020,43.6796,24.2515,32.2114,82.3905,70.1029,32.1388,20.8142,28.6789,23.3166,26.1000,43.8660,22.8523,30.5912,-28.8850,28.2938,35.9910,25.5621,28.0419,30.0,30.0,0.0,32.5,28.5,32.31,1.0,2621200
2001-01-22,18.7151,-0.2572,64.0000,0.0000,77.4241,1.9464,29.7869,15.3765,26.0593,21.2871,27.7991,45.7825,27.2072,32.4241,77.4932,27.1566,37.9657,29.2420,34.7384,-0.3759,1.5047,-1.8806,65.5962,7.4400,-79728000.0000,-0.9940,35.3276,50.9732,17.3039,13.8194,16.0379,14.2217,26.7080,43.2946,24.4795,31.6264,36.1121,72.7698,32.9211,49.0311,26.7080,43.2946,24.4795,31.6264,69.3720,52.4377,31.3706,20.8840,29.0174,23.6488,27.7187,43.4048,23.2165,30.0868,-37.5505,28.7844,35.6904,25.9668,27.8963,28.5,28.5,0.0,29.73,26.63,29.0,1.0,3177100
2001-01-23,18.7091,0.7619,60.0000,0.0000,123.9211,13.0715,30.8572,15.4433,27.0616,21.7012,28.5865,45.5121,27.6760,32.4125,77.4320,28.1498,37.8566,29.3920,34.6728,0.0265,1.5257,-1.4992,65.2615,12.3800,-72994200.0000,2.9538,62.6835,56.5357,19.8846,13.7617,16.1043,14.8245,28.0580,42.9528,25.0265,31.2290,36.2314,72.1439,33.9487,47.6335,28.0580,42.9528,25.0265,31.2290,56.9295,48.2479,32.3844,21.1722,30.2207,24.3793,29.0853,42.9394,23.7445,29.6178,-18.9220,29.7702,35.4693,26.6954,27.9161,32.13,32.13,0.0,35.5,27.63,28.41,1.0,6733800
2001-01-24,19.0381,1.9844,56.0000,100.0000,150.7688,21.6434,32.6901,15.6414,28.5177,22.3495,29.8217,45.3115,28.4097,32.5289,77.3697,29.6779,37.8055,29.7291,34.6860,0.6007,1.6799,-1.0792,64.9627,11.1300,-65533100.0000,7.6624,45.8969,60.8217,21.9918,13.9645,15.6567,15.4527,29.5400,42.5816,25.6175,30.9190,37.0882,71.1987,35.5783,46.3853,29.5400,42.5816,25.6175,30.9190,52.8485,57.8600,34.4287,21.6477,32.0295,25.4335,30.1167,42.4736,24.4304,29.1817,-10.4304,31.1015,35.3194,27.6814,28.0788,35.38,35.38,0.0,37.44,32.31,33.5,1.0,7461100
