,ADX_14,APO,Aroon Down_25,Aroon Up_25,CCI_20,CMO_14,DEMA_10,DEMA_100,DEMA_20,DEMA_50,EMA_10,EMA_100,EMA_20,EMA_50,FAMA,KAMA_10,KAMA_100,KAMA_20,KAMA_50,MACD,MACD_Hist,MACD_Signal,MAMA,MOM_14,OBV,PPO,ROC_14,RSI_14,Real Lower Band_10,Real Lower Band_100,Real Lower Band_20,Real Lower Band_50,Real Middle Band_10,Real Middle Band_100,Real Middle Band_20,Real Middle Band_50,Real Upper Band_10,Real Upper Band_100,Real Upper Band_20,Real Upper Band_50,SMA_10,SMA_100,SMA_20,SMA_50,SlowD,SlowK,TEMA_10,TEMA_100,TEMA_20,TEMA_50,TRIMA_10,TRIMA_100,TRIMA_20,TRIMA_50,WILLR_14,WMA_10,WMA_100,WMA_20,WMA_50,adjusted_close,close,dividend_amount,high,low,open,split_coefficient,volume
2001-01-04,15.5225,-0.4391,68.0000,36.0000,114.9731,7.0769,16.2047,14.8235,15.3610,13.8805,15.7412,20.1308,15.6402,17.0229,16.7932,16.0230,19.1529,16.9851,17.4361,-0.1183,0.3569,-0.4752,22.2770,0.6380,-673484400.0000,-2.8299,3.9588,53.5385,12.2168,8.8770,12.6218,12.9462,15.1211,21.1901,15.5362,16.3938,18.0254,33.5032,18.4506,19.8414,15.1211,21.1901,15.5362,16.3938,67.5345,70.5979,16.7988,13.4783,15.9620,14.4815,14.9298,20.1472,15.1288,16.0821,-35.9375,15.6829,17.9764,15.4194,15.7745,16.7550653278,44.38,0.0,50.13,43.56,47.88,1.0,48202900
2001-01-05,16.2682,-0.3703,64.0000,32.0000,55.3258,2.1717,16.2446,14.7712,15.4741,13.9341,15.8095,20.0513,15.6856,16.9874,16.8203,16.0257,19.0893,16.9782,17.4228,-0.0734,0.3215,-0.3948,22.2154,0.8721,-717755600.0000,-2.3827,5.7207,51.0858,12.4055,8.7972,12.6533,12.9562,15.3053,21.0688,15.5764,16.3428,18.2052,33.3405,18.4995,19.7294,15.3053,21.0688,15.5764,16.3428,67.7312,63.2761,16.7076,13.4793,16.0791,14.5971,15.2445,19.9581,15.0701,16.0146,-46.5000,15.8639,17.8759,15.4747,15.7637,16.117028815799998,42.69,0.0,46.06,42.44,45.0,1.0,22135600
2001-01-08,16.7651,-0.1987,60.0000,28.0000,65.5575,10.1939,16.6491,14.7667,15.7820,14.0758,16.0755,19.9963,15.8367,16.9986,16.8471,16.1274,19.0513,16.9830,17.4218,0.0548,0.3597,-0.3049,22.1660,2.3596,-670206600.0000,-1.2754,15.8228,55.0969,12.8994,8.7679,12.6803,12.9741,15.6968,20.9478,15.6849,16.3201,18.4943,33.1277,18.6895,19.6662,15.6968,20.9478,15.6849,16.3201,61.8638,51.7175,17.1412,13.5501,16.4714,14.8381,15.6339,19.7723,15.0564,15.9540,-27.3750,16.2216,17.8007,15.6362,15.8001,17.2722901926,45.75,0.0,45.88,41.94,42.44,1.0,23774500
2001-01-09,17.4125,-0.0642,56.0000,24.0000,59.0559,3.4748,16.6596,14.7302,15.8936,14.1461,16.1386,19.9256,15.8925,16.9760,16.8734,16.1361,18.9851,16.9800,17.4085,0.0869,0.3134,-0.2265,22.1086,1.4158,-713806600.0000,-0.4106,9.4340,51.7374,13.1593,8.7497,12.6825,13.0741,15.8807,20.8059,15.6719,16.2480,18.6021,32.8620,18.6613,19.4218,15.8807,20.8059,15.6719,16.2480,54.2186,47.6623,17.0192,13.5711,16.5677,14.9679,16.0382,19.5894,15.0752,15.9010,-41.4375,16.3536,17.7111,15.7065,15.8041,16.4228332979,43.5,0.0,46.63,42.69,46.56,1.0,21800000
2001-01-10,17.6202,0.1408,52.0000,20.0000,61.0932,6.8722,16.8149,14.7142,16.0753,14.2508,16.2761,19.8655,15.9880,16.9728,16.8993,16.1697,18.9291,16.9783,17.4050,0.1487,0.3002,-0.1515,22.0564,2.1708,-655817200.0000,0.8956,14.7436,53.4361,13.5633,8.7785,12.9770,13.0906,16.1355,20.6577,15.5551,16.2224,18.7077,32.5369,18.1331,19.3543,16.1355,20.6577,15.5551,16.2224,48.6957,46.7073,17.1236,13.6213,16.7632,15.1441,16.3702,19.4102,15.1364,15.8601,-33.6250,16.5379,17.6337,15.8229,15.8295,16.894753795,44.75,0.0,45.19,41.75,42.31,1.0,28994700
2001-01-11,18.2867,0.2702,48.0000,16.0000,102.6126,11.2584,17.1249,14.7239,16.3431,14.3989,16.5005,19.8189,16.1329,16.9939,16.9248,16.2297,18.8933,16.9814,17.4057,0.2445,0.3168,-0.0723,22.0109,3.2355,-580223800.0000,1.7065,22.6660,55.6292,13.8375,8.8299,12.9481,13.1266,16.3930,20.5159,15.5717,16.1979,18.9485,32.2019,18.1952,19.2692,16.3930,20.5159,15.5717,16.1979,49.7256,54.8071,17.4475,13.7078,17.0767,15.3791,16.5810,19.2358,15.2653,15.8262,-23.4375,16.7879,17.5714,16.0091,15.8800,17.5101381231,46.38,0.0,47.0,43.13,44.31,1.0,37796700
2001-01-12,19.1235,0.5011,44.0000,12.0000,112.4969,11.2584,17.3451,14.7342,16.5729,14.5404,16.6840,19.7732,16.2641,17.0141,16.9501,16.2887,18.8608,16.9888,17.4068,0.3167,0.3112,0.0055,21.9659,4.1529,-580223800.0000,3.1590,31.0910,55.6292,14.2360,8.8654,12.8926,13.2542,16.6550,20.3835,15.6413,16.1469,19.0740,31.9017,18.3901,19.0397,16.6550,20.3835,15.6413,16.1469,56.0070,66.5067,17.6391,13.7932,17.3259,15.5986,16.7776,19.0655,15.4385,15.7988,-25.8621,16.9910,17.5118,16.1938,15.9315,17.5101381231,46.38,0.0,47.88,44.69,46.13,1.0,29756900
2001-01-16,19.2149,0.5983,40.0000,8.0000,63.0625,4.4668,17.2559,14.7165,16.6367,14.6192,16.7011,19.7139,16.3130,17.0049,16.9749,16.3076,18.8080,16.9856,17.4001,0.3113,0.2447,0.0667,21.9141,2.1935,-622895800.0000,3.7583,15.0401,52.2334,14.9848,8.9000,12.9325,13.3443,16.8910,20.2417,15.7180,16.0955,18.7971,31.5835,18.5035,18.8467,16.8910,20.2417,15.7180,16.0955,63.5050,69.2011,17.4095,13.8350,17.3314,15.7206,16.9168,18.8983,15.6442,15.7812,-43.9722,17.0133,17.4404,16.3020,15.9562,16.7777175117,44.44,0.0,45.88,43.13,45.88,1.0,21336000
2001-01-17,20.1458,0.7547,36.0000,4.0000,126.1436,15.2378,17.6484,14.7559,16.9470,14.8041,16.9724,19.6838,16.4921,17.0515,16.9994,16.4105,18.7926,17.0266,17.4059,0.4165,0.2798,0.1366,21.8769,3.8471,-547607800.0000,4.7054,26.8158,57.6189,15.6972,9.0128,12.9244,13.4366,17.2191,20.1011,15.8820,16.0667,18.7409,31.1893,18.8396,18.6968,17.2191,20.1011,15.8820,16.0667,67.9690,68.1993,17.8731,13.9599,17.6942,15.9952,17.0198,18.7351,15.8873,15.7726,-15.0621,17.2501,17.3999,16.5377,16.0385,18.1934790029,48.19,0.0,49.31,47.25,48.88,1.0,37644000
2001-01-18,21.2139,1.0429,32.0000,0.0000,125.6744,20.0770,18.1625,14.8227,17.3404,15.0344,17.3228,19.6682,16.7214,17.1239,17.0236,16.4248,18.7951,17.1027,17.4128,0.5504,0.3310,0.2194,21.8471,3.9641,-488629000.0000,6.4680,26.5420,60.0385,15.6470,9.1513,12.8729,13.4221,17.2353,19.9671,16.0766,16.0714,18.8236,30.7828,19.2803,18.7208,17.2353,19.9671,16.0766,16.0714,70.9556,75.4664,18.4804,14.1232,18.1649,16.3303,17.1394,18.5770,16.1319,15.7679,-1.5510,17.5556,17.3761,16.8251,16.1496,18.8994720665,50.06,0.0,50.25,46.94,48.0,1.0,29489400
2001-01-19,22.4690,1.3859,28.0000,100.0000,129.4903,19.6051,18.5161,14.8867,17.6683,15.2494,17.6012,19.6521,16.9245,17.1918,17.0476,16.5830,18.7965,17.1813,17.4195,0.6455,0.3409,0.3046,21.8172,3.9641,-537838000.0000,8.6028,26.6227,59.8025,15.6279,9.2910,12.9260,13.4078,17.4452,19.8359,16.2831,16.0762,19.2625,30.3808,19.6403,18.7446,17.4452,19.8359,16.2831,16.0762,77.2084,87.9596,18.8376,14.2796,18.5273,16.6359,17.3652,18.4244,16.3616,15.7650,-11.5556,17.8500,17.3540,17.0897,16.2587,18.8541676988,49.94,0.0,51.5,48.88,50.88,1.0,24604500
2001-01-22,23.2251,1.3142,24.0000,96.0000,101.4906,15.5305,18.6391,14.9350,17.8790,15.4243,17.7604,19.6288,17.0723,17.2422,17.0713,16.7396,18.7892,17.2413,17.4256,0.6825,0.3023,0.3802,21.7837,4.0585,-570595400.0000,8.1328,28.1487,57.7653,16.0079,9.4184,13.1393,13.3770,17.6812,19.7066,16.4932,16.0917,19.3544,29.9947,19.8472,18.8064,17.6812,19.7066,16.4932,16.0917,82.0429,82.7027,18.8727,14.4100,18.7131,16.8762,17.5980,18.2772,16.5944,15.7679,-18.9630,18.0375,17.3271,17.2986,16.3528,18.4766313011,48.94,0.0,49.81,48.0,49.81,1.0,16378700
2001-01-23,23.4439,1.3552,20.0000,92.0000,81.3400,12.6781,18.6300,14.9726,18.0097,15.5705,17.8433,19.6009,17.1813,17.2804,17.0947,16.7815,18.7750,17.3002,17.4323,0.6829,0.2422,0.4407,21.7481,3.3034,-603785000.0000,8.3450,22.1519,56.3391,16.0988,9.5826,13.6314,13.3500,17.7755,19.5676,16.7362,16.1281,19.4523,29.5526,19.8410,18.9061,17.7755,19.5676,16.7362,16.1281,76.8324,59.8349,18.7459,14.5222,18.7840,17.0691,17.8323,18.1362,16.8189,15.7778,-26.0000,18.1348,17.2976,17.4626,16.4361,18.2161311867,48.25,0.0,49.0,46.94,47.81,1.0,16594800
2001-01-24,23.9057,1.4393,16.0000,88.0000,98.7417,17.0872,18.7825,15.0304,18.2130,15.7496,18.0058,19.5838,17.3294,17.3375,17.1178,17.0014,18.7742,17.3739,17.4454,0.7170,0.2210,0.4960,21.7180,0.0000,-559795000.0000,8.7897,0.0000,58.5436,16.5119,9.7607,13.8874,13.3032,18.0070,19.4364,16.9438,16.1752,19.5021,29.1121,20.0003,19.0473,18.0070,19.4364,16.9438,16.1752,64.9718,52.3780,18.8690,14.6623,18.9635,17.3066,18.1012,18.0022,17.0290,15.7954,-19.1795,18.3096,17.2812,17.6532,16.5385,18.7371314155,49.63,0.0,50.0,48.13,48.63,1.0,21995000
2001-01-25,24.3345,1.3993,12.0000,84.0000,84.0457,13.1633,18.7732,15.0743,18.3240,15.8939,18.0783,19.5604,17.4319,17.3794,17.1406,17.0864,18.7648,17.4247,17.4569,0.7091,0.1705,0.5386,21.6848,1.6498,-594575000.0000,8.4763,9.8468,56.5817,16.8493,9.9852,14.2737,13.3032,18.1580,19.2946,17.1468,16.2342,19.4667,28.6040,20.0199,19.1652,18.1580,19.2946,17.1468,16.2342,51.5612,42.4708,18.7770,14.7795,19.0107,17.4884,18.2947,17.8755,17.2360,15.8204,-28.2051,18.3820,17.2607,17.7924,16.6259,18.4048993856,48.75,0.0,49.69,48.25,49.0,1.0,17390000
2001-01-26,24.1435,1.4191,8.0000,80.0000,53.0381,9.2647,18.6462,15.1049,18.3560,16.0058,18.0780,19.5310,17.4933,17.4067,17.1631,17.1050,18.7476,17.4478,17.4642,0.6686,0.1040,0.5646,21.6487,1.9594,-635233800.0000,8.5349,12.1574,54.6324,16.9758,10.2014,14.5926,13.3316,18.2146,19.1552,17.3038,16.2918,19.4534,28.1090,20.0151,19.2520,18.2146,19.1552,17.3038,16.2918,45.9944,43.1344,18.5458,14.8748,18.9506,17.6189,18.3953,17.7566,17.4250,15.8513,-37.1282,18.3671,17.2366,17.8809,16.6981,18.0764427196,47.88,0.0,48.38,47.06,47.25,1.0,20329400
2001-01-29,24.6518,1.4277,4.0000,76.0000,90.1339,17.4015,18.8307,15.1697,18.5378,16.1793,18.2363,19.5195,17.6319,17.4672,17.1854,17.1937,18.7521,17.5181,17.4837,0.6988,0.1074,0.5915,21.6217,1.6763,-612553200.0000,8.5039,9.7049,58.7007,17.1465,10.4451,14.9451,13.3121,18.3585,19.0259,17.5067,16.3579,19.5704,27.6066,20.0684,19.4037,18.3585,19.0259,17.5067,16.3579,45.6896,51.4638,18.7699,15.0190,19.1150,17.8377,18.4669,17.6456,17.6037,15.8901,-13.4359,18.5006,17.2325,18.0375,16.8023,18.9485517982,50.19,0.0,50.81,47.44,47.69,1.0,11340300
