,ADX_14,APO,Aroon Down_25,Aroon Up_25,CCI_20,CMO_14,DEMA_10,DEMA_100,DEMA_20,DEMA_50,EMA_10,EMA_100,EMA_20,EMA_50,FAMA,KAMA_10,KAMA_100,KAMA_20,KAMA_50,MACD,MACD_Hist,MACD_Signal,MAMA,MOM_14,OBV,PPO,ROC_14,RSI_14,Real Lower Band_10,Real Lower Band_100,Real Lower Band_20,Real Lower Band_50,Real Middle Band_10,Real Middle Band_100,Real Middle Band_20,Real Middle Band_50,Real Upper Band_10,Real Upper Band_100,Real Upper Band_20,Real Upper Band_50,SMA_10,SMA_100,SMA_20,SMA_50,SlowD,SlowK,TEMA_10,TEMA_100,TEMA_20,TEMA_50,TRIMA_10,TRIMA_100,TRIMA_20,TRIMA_50,WILLR_14,WMA_10,WMA_100,WMA_20,WMA_50,adjusted_close,close,dividend_amount,high,low,open,split_coefficient,volume
2001-01-04,23.8433,-0.7187,68.0000,0.0000,82.9196,5.7488,15.2370,16.3388,14.3799,13.6991,15.2310,22.1495,15.6559,18.1987,16.9952,15.1968,19.5377,15.9799,18.8402,-0.8414,0.3609,-1.2022,24.2068,-0.0600,62759500.0000,-4.6368,-0.3582,52.8744,12.7844,9.8632,12.9961,11.9294,14.6750,23.2144,15.3190,18.2566,16.5656,36.5655,17.6419,24.5838,14.6750,23.2144,15.3190,18.2566,55.7284,77.5380,15.8342,13.6123,14.8682,13.6961,14.4540,22.5537,15.2065,18.1944,-18.0628,15.0040,19.6536,15.1257,16.7263,16.69,16.69,0.0,17.38,15.75,16.13,1.0,7045000
2001-01-05,22.7573,-0.5889,64.0000,36.0000,56.1001,-1.8278,15.4901,16.2127,14.5638,13.7065,15.3708,22.0277,15.6887,18.1125,17.0308,15.2278,19.4406,15.9803,18.7890,-0.7196,0.3861,-1.1057,24.1247,-0.5000,57528900.0000,-3.8159,-3.0303,49.0861,12.7724,9.7367,13.0928,11.8393,14.8190,23.0594,15.3970,18.1728,16.8656,36.3820,17.7012,24.5063,14.8190,23.0594,15.3970,18.1728,69.0571,78.9861,16.0715,13.5360,15.1425,13.7936,14.6480,22.3576,15.1025,17.9738,-36.1257,15.2449,19.5108,15.1906,16.6378,16.0,16.0,0.0,17.19,15.69,17.19,1.0,5230600
2001-01-08,21.5031,-0.4879,60.0000,32.0000,30.0222,0.2907,15.7392,16.0989,14.7619,13.7314,15.5198,21.9121,15.7364,18.0371,17.0659,15.3261,19.3499,15.9848,18.7543,-0.6009,0.4038,-1.0048,24.0454,0.0000,60894600.0000,-3.1686,0.0000,50.1453,13.0244,9.6294,13.1911,11.7622,15.0690,22.9025,15.4815,18.1128,17.1136,36.1756,17.7719,24.4634,15.0690,22.9025,15.4815,18.1128,74.9971,68.4671,16.2968,13.4770,15.4214,13.9115,14.9297,22.1648,15.0201,17.7595,-31.1518,15.4942,19.3748,15.2661,16.5600,16.19,16.19,0.0,16.25,15.44,15.94,1.0,3365700
2001-01-09,20.9671,-0.3631,56.0000,28.0000,72.3684,6.4672,16.1060,16.0116,15.0386,13.8013,15.7434,21.8099,15.8330,17.9866,17.1004,15.4684,19.2761,15.9925,18.7225,-0.4564,0.4387,-0.8951,23.9724,1.5000,64278200.0000,-2.3493,9.8361,53.2336,13.1125,9.5602,13.1717,11.7113,15.3130,22.7438,15.5160,18.0416,17.5135,35.9273,17.8603,24.3719,15.3130,22.7438,15.5160,18.0416,71.7400,67.7669,16.6793,13.4563,15.7983,14.0900,15.2863,21.9756,14.9673,17.5532,-16.4921,15.7998,19.2529,15.3869,16.5066,16.75,16.75,0.0,17.0,16.25,16.81,1.0,3383600
2001-01-10,20.1462,-0.1415,52.0000,24.0000,80.5072,10.5178,16.4985,15.9429,15.3495,13.8996,15.9955,21.7172,15.9565,17.9530,17.1345,15.6899,19.2090,15.9988,18.6990,-0.3077,0.4700,-0.7776,23.9040,1.7500,69572400.0000,-0.9114,11.3784,55.2589,13.3268,9.5427,13.1890,11.6777,15.6140,22.5744,15.5070,17.9754,17.9012,35.6061,17.8250,24.2731,15.6140,22.5744,15.5070,17.9754,70.8635,76.3565,17.0824,13.4617,16.2065,14.3036,15.6700,21.7899,14.9577,17.3572,-6.5445,16.1302,19.1418,15.5406,16.4708,17.13,17.13,0.0,17.25,15.94,16.5,1.0,5294200
2001-01-11,20.6406,0.0738,48.0000,100.0000,153.5793,20.8190,17.1325,15.9190,15.8125,14.0767,16.3945,21.6474,16.1692,17.9623,17.1680,16.0707,19.1772,16.0267,18.6940,-0.1030,0.5396,-0.6427,23.8469,3.6300,78657100.0000,0.4720,24.9313,60.4095,13.3259,9.5918,13.0648,11.6697,15.9700,22.4051,15.5540,17.9342,18.6141,35.2183,18.0432,24.1987,15.9700,22.4051,15.5540,17.9342,75.0336,80.9773,17.8025,13.5318,16.8143,14.6262,16.0327,21.6087,15.0095,17.1727,-14.8897,16.5985,19.0549,15.7961,16.4792,18.19,18.19,0.0,19.0,16.63,16.88,1.0,9084700
2001-01-12,21.0998,0.3021,44.0000,96.0000,147.2714,15.6778,17.4662,15.8819,16.1441,14.2174,16.6519,21.5714,16.3255,17.9564,17.2011,16.3244,19.1362,16.0522,18.6741,0.0281,0.5367,-0.5085,23.7865,4.1200,72924700.0000,1.9227,30.0950,57.8389,13.7213,9.6148,12.9770,11.7186,16.3200,22.2422,15.6070,17.8378,18.9187,34.8696,18.2370,23.9570,16.3200,22.2422,15.6070,17.8378,78.1039,76.9779,18.0769,13.5802,17.2091,14.8862,16.3870,21.4315,15.1170,17.0003,-22.9287,16.9331,18.9640,16.0110,16.4744,17.81,17.81,0.0,18.75,17.38,18.13,1.0,5732400
2001-01-16,20.9769,0.4069,40.0000,92.0000,99.3907,6.9107,17.4762,15.8204,16.3073,14.3005,16.7388,21.4834,16.4021,17.9240,17.2337,16.4275,19.0714,16.0621,18.6214,0.0763,0.4679,-0.3916,23.7199,2.8200,68717200.0000,2.5733,19.7065,53.4553,14.6384,9.6423,12.9520,11.8254,16.6520,22.0691,15.6385,17.7042,18.6656,34.4959,18.3250,23.5830,16.6520,22.0691,15.6385,17.7042,72.9528,60.9030,17.9129,13.5903,17.3493,15.0540,16.7163,21.2561,15.2768,16.8445,-36.0308,17.0804,18.8627,16.1560,16.4466,17.13,17.13,0.0,17.81,16.88,17.81,1.0,4207500
2001-01-17,21.6695,0.6022,36.0000,100.0000,149.9839,20.0565,17.9243,15.8156,16.6969,14.4869,17.0590,21.4243,16.6019,17.9465,17.2659,16.7428,19.0547,16.1332,18.6185,0.2225,0.4912,-0.2687,23.6677,4.3800,79793000.0000,3.7718,31.0198,60.0282,15.4279,9.7248,12.7975,11.9741,17.0640,21.9066,15.7540,17.5992,18.7001,34.0884,18.7105,23.2243,17.0640,21.9066,15.7540,17.5992,66.7951,62.5044,18.3863,13.6827,17.8113,15.3683,17.0247,21.0829,15.4985,16.7069,-10.6667,17.4164,18.7921,16.4286,16.4778,18.5,18.5,0.0,19.06,17.88,19.06,1.0,11075800
2001-01-18,23.8211,1.0872,32.0000,100.0000,230.7270,45.4355,19.6285,15.9763,17.7923,14.9873,18.0828,21.4494,17.1817,18.1326,17.2978,17.9721,19.1276,16.8854,18.6451,0.6687,0.7500,-0.0812,23.6579,8.0600,101015500.0000,6.7023,55.0923,72.7178,14.0455,9.8859,11.9120,12.0384,17.7080,21.7841,16.1260,17.5780,21.3705,33.6823,20.3400,23.1176,17.7080,21.7841,16.1260,17.5780,65.6847,73.6467,20.5631,14.0186,19.2670,16.1362,17.4393,20.9136,15.7953,16.5893,-0.0000,18.4393,18.8076,17.0891,16.6774,22.69,22.69,0.0,22.69,18.0,18.56,1.0,21222500
