,ADX_14,APO,Aroon Down_25,Aroon Up_25,CCI_20,CMO_14,DEMA_10,DEMA_100,DEMA_20,DEMA_50,EMA_10,EMA_100,EMA_20,EMA_50,FAMA,KAMA_10,KAMA_100,KAMA_20,KAMA_50,MACD,MACD_Hist,MACD_Signal,MAMA,MOM_14,OBV,PPO,ROC_14,RSI_14,Real Lower Band_10,Real Lower Band_100,Real Lower Band_20,Real Lower Band_50,Real Middle Band_10,Real Middle Band_100,Real Middle Band_20,Real Middle Band_50,Real Upper Band_10,Real Upper Band_100,Real Upper Band_20,Real Upper Band_50,SMA_10,SMA_100,SMA_20,SMA_50,SlowD,SlowK,TEMA_10,TEMA_100,TEMA_20,TEMA_50,TRIMA_10,TRIMA_100,TRIMA_20,TRIMA_50,WILLR_14,WMA_10,WMA_100,WMA_20,WMA_50,adjusted_close,close,dividend_amount,high,low,open,split_coefficient,volume
2001-01-04,28.8699,-4.2196,96.0000,20.0000,-67.0746,-23.8008,14.9981,19.2278,15.0494,17.5566,16.8974,29.9819,19.1060,24.1949,30.7940,17.7018,31.8547,21.1060,29.0034,-2.9965,0.0020,-2.9984,34.8720,-8.2500,-153833600.0000,-20.2616,-34.7368,38.0996,13.9113,14.5377,11.9473,12.1634,16.1140,31.5418,19.4115,26.0398,18.3167,48.5459,26.8757,39.9162,16.1140,31.5418,19.4115,26.0398,36.4891,43.9286,15.3464,18.4604,14.4998,15.7059,16.2437,32.2324,19.1135,26.1470,-82.5696,16.0580,27.3223,17.6559,22.3871,15.5,15.5,0.0,17.56,15.44,17.0,1.0,10620500
2001-01-05,29.1349,-4.2602,100.0000,16.0000,-89.2733,-27.0511,14.5707,18.8360,14.6111,17.0760,16.4725,29.6765,18.6730,23.8171,30.8134,17.6251,31.5290,20.7140,28.5871,-2.9957,0.0022,-2.9979,34.6689,-8.1300,-162632400.0000,-20.8601,-35.8308,36.4745,13.5550,14.0162,11.4721,11.5361,15.9010,31.3386,18.9580,25.7398,18.2470,48.6610,26.4439,39.9435,15.9010,31.3386,18.9580,25.7398,43.1120,49.9335,14.8538,17.9992,14.1090,15.1993,16.1037,32.0108,18.4946,25.7139,-90.6455,15.7755,26.9861,17.1938,21.9369,14.56,14.56,0.0,15.88,13.56,15.5,1.0,8798800
2001-01-08,29.3809,-4.0745,96.0000,12.0000,-80.7979,-24.7348,14.4099,18.4728,14.3207,16.6578,16.1938,29.3847,18.3175,23.4689,30.8317,17.6095,31.1725,20.4810,28.1144,-2.9306,0.0538,-2.9844,34.4716,-7.9400,-152187700.0000,-20.4121,-34.7028,37.6326,13.4952,13.5321,11.0413,10.9927,15.8760,31.1124,18.6360,25.4010,18.2568,48.6927,26.2307,39.8093,15.8760,31.1124,18.6360,25.4010,42.0049,32.1524,14.7379,17.5826,13.9254,14.7873,15.9200,31.7845,17.9365,25.2698,-81.9135,15.6007,26.6613,16.8111,21.5134,14.94,14.94,0.0,15.56,13.75,14.44,1.0,10444700
2001-01-09,29.0081,-3.7807,92.0000,8.0000,-54.1862,-16.0970,14.7958,18.1790,14.3499,16.3798,16.2277,29.1272,18.1330,23.1909,30.8490,17.5972,30.8591,20.2873,27.5557,-2.7314,0.2024,-2.9338,34.2907,-3.5000,-128732500.0000,-19.2485,-17.6056,41.9515,13.5699,13.1344,10.9629,10.7468,15.9580,30.8887,18.2830,24.9910,18.3461,48.6430,25.6031,39.2352,15.9580,30.8887,18.2830,24.9910,40.7365,40.1235,15.3522,17.2708,14.1856,14.5827,15.8073,31.5525,17.4422,24.8241,-61.4754,15.6924,26.3696,16.5963,21.1596,16.38,16.38,0.0,16.63,14.56,14.56,1.0,23455200
2001-01-10,28.4571,-3.3588,88.0000,4.0000,-39.5772,-15.3800,15.1461,17.9006,14.4140,16.1324,16.2772,28.8772,17.9774,22.9285,30.8653,17.5892,30.5634,20.0153,27.0682,-2.5345,0.3194,-2.8540,34.1128,-1.7500,-117730000.0000,-17.3774,-9.5890,42.3100,13.5844,12.7508,11.2419,10.5008,15.9140,30.6712,17.8425,24.6084,18.2436,48.5916,24.4431,38.7160,15.9140,30.6712,17.8425,24.6084,43.0611,56.9074,15.8475,16.9827,14.4640,14.4202,15.7153,31.3137,17.0155,24.3818,-40.4858,15.7909,26.0847,16.4265,20.8267,16.5,16.5,0.0,17.0,15.56,15.84,1.0,11002500
2001-01-11,27.7685,-2.8712,84.0000,0.0000,-26.8051,-12.2686,15.5907,17.6523,14.5760,15.9431,16.4086,28.6420,17.8844,22.6961,30.8807,17.5863,30.2801,19.7952,26.7093,-2.3116,0.4339,-2.7455,33.9416,0.3100,-104973400.0000,-15.1423,1.8574,43.8657,13.5754,12.4055,11.9212,10.2274,15.9260,30.4512,17.3985,24.2908,18.2766,48.4969,22.8758,38.3542,15.9260,30.4512,17.3985,24.2908,57.9560,76.8370,16.4208,16.7396,14.8521,14.3394,15.6527,31.0698,16.6659,23.9405,-30.3644,15.9884,25.8140,16.3462,20.5283,17.0,17.0,0.0,17.31,15.63,15.75,1.0,12756600
2001-01-12,26.4686,-2.5129,80.0000,16.0000,22.3464,-7.9426,16.1630,17.4404,14.8558,15.8230,16.6416,28.4251,17.8658,22.4997,30.8952,17.5870,30.0441,19.6996,26.2772,-2.0555,0.5520,-2.6075,33.7791,2.5000,-96539200.0000,-13.4628,16.4582,46.0287,13.5238,12.0867,12.4498,10.1821,15.9570,30.2531,17.0955,23.9120,18.3902,48.4195,21.7412,37.6419,15.9570,30.2531,17.0955,23.9120,72.1571,82.7269,17.1198,16.5508,15.3756,14.3554,15.7403,30.8208,16.4010,23.5017,-16.3968,16.3091,25.5613,16.3740,20.2694,17.69,17.69,0.0,18.5,17.13,17.34,1.0,8434200
2001-01-16,25.2615,-2.2003,76.0000,12.0000,47.2303,-5.5929,16.7189,17.2515,15.1777,15.7434,16.8995,28.2198,17.8843,22.3256,30.9088,17.6043,29.8348,19.6457,25.8693,-1.8019,0.6444,-2.4464,33.6219,2.5000,-90522200.0000,-11.9251,16.0668,47.2035,13.4911,11.7857,12.9532,10.2538,16.2070,30.0687,16.8640,23.5256,18.9229,48.3517,20.7748,36.7974,16.2070,30.0687,16.8640,23.5256,82.4672,87.8377,17.7456,16.3955,15.9225,14.4243,16.0260,30.5645,16.2167,23.0777,-8.9069,16.6915,25.3198,16.4659,20.0399,18.06,18.06,0.0,18.38,17.25,18.31,1.0,6017000
2001-01-17,23.4977,-2.0016,72.0000,8.0000,114.4011,-3.4947,17.2412,17.0829,15.5254,15.6981,17.1687,28.0250,17.9315,22.1709,30.9216,17.6850,29.6091,19.6059,25.4212,-1.5572,0.7113,-2.2685,33.4695,1.4400,-81356200.0000,-10.9164,8.5006,48.2527,14.1492,11.5202,13.7557,10.5894,16.6570,29.8644,16.6390,23.0982,19.1648,48.2086,19.5223,35.6070,16.6570,29.8644,16.6390,23.0982,83.7749,80.7600,18.2882,16.2695,16.4711,14.5359,16.3990,30.2995,16.1382,22.6706,-19.6667,17.0865,25.0884,16.6102,19.8381,18.38,18.38,0.0,19.56,17.75,18.88,1.0,9166000
2001-01-18,21.8599,-1.5217,68.0000,4.0000,151.6847,3.7168,17.9987,16.9653,16.0391,15.7466,17.5925,27.8562,18.0809,22.0662,30.9336,17.7663,29.4163,19.6053,25.1371,-1.2584,0.8081,-2.0665,33.3298,2.6200,-77240400.0000,-8.3684,15.5213,51.8584,13.8434,11.3073,13.8186,10.8942,16.8510,29.6656,16.6200,22.7370,19.8586,48.0239,19.4214,34.5798,16.8510,29.6656,16.6200,22.7370,84.8443,85.9353,19.1283,16.2182,17.2243,14.7771,16.7887,30.0271,16.1591,22.2796,-1.0000,17.6035,24.8831,16.8827,19.6970,19.5,19.5,0.0,19.5,17.94,18.38,1.0,4115800
