,ADX_14,APO,Aroon Down_25,Aroon Up_25,CCI_20,CMO_14,DEMA_10,DEMA_100,DEMA_20,DEMA_50,EMA_10,EMA_100,EMA_20,EMA_50,FAMA,KAMA_10,KAMA_100,KAMA_20,KAMA_50,MACD,MACD_Hist,MACD_Signal,MAMA,MOM_14,OBV,PPO,ROC_14,RSI_14,Real Lower Band_10,Real Lower Band_100,Real Lower Band_20,Real Lower Band_50,Real Middle Band_10,Real Middle Band_100,Real Middle Band_20,Real Middle Band_50,Real Upper Band_10,Real Upper Band_100,Real Upper Band_20,Real Upper Band_50,SMA_10,SMA_100,SMA_20,SMA_50,SlowD,SlowK,TEMA_10,TEMA_100,TEMA_20,TEMA_50,TRIMA_10,TRIMA_100,TRIMA_20,TRIMA_50,WILLR_14,WMA_10,WMA_100,WMA_20,WMA_50,adjusted_close,close,dividend_amount,high,low,open,split_coefficient,volume
2001-01-04,-18.0911,-51.7944,28.9641,27.9509,29.6481,31.9353,29.2440,32.4511,37.3031,40.6822,-26.7670,44.0260,59.9550,-4.3797,-0.0984,-2.4371,-2.3387,30.9462,35.9267,39.4142,42.1873,29.1778,33.0858,36.4312,40.6491,26.2427,39.3842,32.9606,25.3950,29.1778,42.4318,23.7398,33.0858,44.9873,27.8752,36.4312,52.2585,29.0396,40.6491,30.1812,32.0707,35.7168,39.0035,819594600.0000,29.2845,30.9483,34.5984,37.6523,-8.4059,96.0000,36.0000,26.5052,45.7971,28.5047,28.8468,31.2170,34.4976,-12.9050,-6.8730,42.44,44.5,40.91,41.88,31.117866892,108614900,0.0,1.0
2001-01-05,-28.0919,-74.3014,28.0941,27.3622,29.0943,31.4763,29.0706,31.7415,37.0820,40.5115,-64.1194,57.1457,70.0603,-4.3598,-0.1482,-2.5239,-2.3758,30.9292,35.4373,39.1231,41.8669,29.1875,32.5356,36.1600,40.4420,26.3078,39.2625,32.9497,25.4253,29.1875,41.9031,23.1680,32.5356,45.0027,27.3174,36.1600,52.2618,28.6222,40.4420,29.6422,31.6085,35.3835,38.7701,801743900.0000,28.9280,30.3893,34.2370,37.3863,-21.1461,92.0000,32.0000,26.7181,39.4270,27.8296,28.2734,30.7399,34.1246,-13.0035,-10.6327,42.81,42.94,36.56,36.63,27.216988162699998,17850700,0.0,1.0
2001-01-08,-24.1229,-74.6564,27.5214,26.8996,28.5856,31.0346,28.7793,31.1170,36.8515,40.3395,-93.9508,60.3589,51.0616,-4.2491,-0.1538,-2.5680,-2.4142,30.8737,35.0185,38.9005,41.5655,29.0144,32.0381,35.9508,40.2441,26.3720,39.1415,32.9700,25.0588,29.0144,41.4385,22.6377,32.0381,45.1340,26.7676,35.9508,52.2821,28.2060,40.2441,29.1905,31.1846,35.0609,38.5401,709701100.0000,28.5589,29.8772,33.8840,37.1232,-21.3256,88.0000,28.0000,27.3749,39.3372,27.3378,27.7836,30.2895,33.7613,-12.8390,-8.6339,34.94,36.63,33.69,36.55,27.1575462012,92042800,0.0,1.0
2001-01-09,-13.5305,-63.0868,27.3759,26.6680,28.1742,30.6382,28.5983,30.5377,36.6112,40.1663,-68.5924,53.1924,38.4554,-3.9029,-0.0997,-2.5388,-2.4391,30.7666,34.5384,38.6457,41.2860,28.6897,31.4715,35.7066,40.0500,26.4353,39.0259,32.5252,24.8541,28.6897,40.5033,22.4398,31.4715,45.1143,26.2990,35.7066,52.2707,27.8293,40.0500,28.8992,30.8421,34.7678,38.3233,787171100.0000,28.2996,29.4534,33.5560,36.8726,-19.2060,84.0000,24.0000,27.2967,40.3970,27.1451,27.4551,29.9020,33.4265,-11.9034,-4.3170,37.69,38.86,36.13,37.13,27.5885004227,77470000,0.0,1.0
2001-01-10,-13.1737,-65.6847,27.0253,26.3439,27.7303,30.2222,28.4947,30.0015,36.3658,39.9918,-86.3018,41.1788,34.0195,-3.7156,-0.0801,-2.5392,-2.4591,30.6378,33.8402,38.4127,40.9872,28.3553,30.7820,35.4921,39.8480,26.4976,38.9050,32.1615,24.5491,28.3553,38.9466,22.6174,30.7820,45.1961,25.7880,35.4921,52.2598,27.4361,39.8480,28.5420,30.4700,34.4607,38.0978,783847000.0000,27.9805,29.0213,33.2120,36.6129,-21.4484,80.0000,20.0000,27.6376,39.2758,26.8146,27.0689,29.4905,33.0769,-11.4547,-4.0866,34.44,37.5,33.64,36.25,26.9346388452,3324100,0.0,1.0
2001-01-11,7.2055,-42.7548,27.7989,26.6680,27.5723,29.9501,28.3092,29.5493,36.1111,39.8184,-53.2502,37.9791,41.4624,-3.6715,0.0954,-2.3399,-2.4353,30.6213,33.5406,38.2961,40.7700,28.2349,30.2155,35.3593,39.6669,26.5592,38.8067,31.8622,24.6077,28.2349,37.1029,23.3280,30.2155,45.2279,25.4908,35.3593,52.1735,27.1603,39.6669,28.6388,30.3371,34.2494,37.9191,817542100.0000,28.1113,28.8587,32.9604,36.3996,-10.6272,76.0000,16.0000,27.3373,44.6864,27.3047,27.1396,29.2713,32.8225,-11.3855,1.9542,34.77,39.56,34.77,39.13,29.074549462399997,33695100,0.0,1.0
2001-01-12,-2.1091,-51.2739,27.9876,26.7593,27.3466,29.6455,28.1312,29.1791,35.8364,39.6448,-35.9797,42.4279,51.8019,-3.4360,0.1719,-2.2205,-2.3923,30.5980,33.2586,38.0652,40.5099,28.1235,29.7299,35.1243,39.4630,26.6199,38.7014,31.6690,24.5780,28.1235,35.6588,23.8010,29.7299,45.0957,25.1528,35.1243,52.0405,26.8855,39.4630,28.5735,30.1411,34.0153,37.7282,750584700.0000,28.1194,28.6743,32.6827,36.1741,-13.7036,72.0000,12.0000,27.0016,43.1482,27.4285,27.0709,29.0074,32.5454,-10.7897,-0.6093,39.19,39.75,37.5,38.06,28.2795132262,66957400,0.0,1.0
2001-01-16,-7.2289,-47.7707,28.2793,26.9479,27.1851,29.3749,28.0739,28.8887,35.5514,39.4707,-34.5741,54.5230,70.3048,-3.2055,0.2534,-2.0755,-2.3290,30.5880,33.0281,37.8781,40.2729,28.1421,29.2677,34.9217,39.2675,26.6798,38.6005,31.6955,24.5886,28.1421,33.8899,24.6456,29.2677,45.0025,24.8409,34.9217,51.9061,26.6289,39.2675,28.5795,29.9950,33.8032,37.5476,798966500.0000,28.2072,28.5673,32.4271,35.9591,-11.9964,68.0000,8.0000,26.7399,44.0018,27.6476,27.0849,28.7879,32.2903,-10.1842,-2.2291,38.0,38.75,37.25,38.5,28.6064440149,48381800,0.0,1.0
2001-01-17,-4.2945,-43.7898,28.6528,27.2251,27.0879,29.1397,28.1052,28.7225,35.2537,39.2954,15.9543,65.3529,73.9520,-2.9275,0.3362,-1.9087,-2.2449,30.5001,32.8866,37.6478,40.0278,28.5648,28.9271,34.6728,39.0580,26.7389,38.5043,31.3198,25.8099,28.5648,32.4491,25.4050,28.9271,44.7136,24.6320,34.6728,51.6775,26.4386,39.0580,28.6519,29.8981,33.6140,37.3779,868443700.0000,28.3592,28.5397,32.1941,35.7553,-9.9756,64.0000,4.0000,25.6993,45.0122,27.9487,27.1776,28.6136,32.0584,-9.3944,-1.3003,39.94,41.3,38.31,39.0,28.9779562748,69477200,0.0,1.0
2001-01-18,2.7730,-20.8599,29.8725,28.0304,27.2499,29.0415,28.1812,28.6605,34.9450,39.1191,80.7010,74.5982,79.5378,-2.4027,0.5275,-1.5855,-2.1130,30.5048,32.8754,37.5038,39.8628,28.6072,28.8877,34.4518,38.8751,26.7974,38.4304,31.5013,25.7131,28.6072,32.2912,25.4841,28.8877,44.3078,24.5958,34.4518,51.4191,26.3311,38.8751,29.1003,30.0143,33.5161,37.2539,947631200.0000,28.8234,28.7484,32.0546,35.5981,1.0945,60.0000,0.0000,24.3123,50.5473,28.8918,27.6579,28.6177,31.9183,-7.7852,0.8396,39.06,42.75,38.38,41.88,31.117866892,79187500,0.0,1.0
2001-01-19,2.0728,-32.8025,30.1716,28.4196,27.2829,28.8855,28.4135,28.5994,34.6226,38.9413,108.7637,73.9902,68.4807,-1.5525,0.5679,-1.4031,-1.9710,30.4975,32.8553,37.3396,39.6768,28.4957,28.8368,34.2326,38.6885,26.8551,38.3461,31.0617,25.9297,28.4957,32.1402,25.5334,28.8368,43.9866,24.4786,34.2326,51.1994,26.1775,38.6885,29.2645,30.0132,33.3783,37.1103,868792600.0000,29.0773,28.8546,31.8802,35.4224,-4.3082,56.0000,4.0000,22.6713,47.8459,29.2282,27.8804,28.5397,31.7396,-5.0987,0.6093,43.94,44.0,40.19,40.38,30.003330112199997,78838600,0.0,1.0
2001-01-22,8.3399,-24.3631,30.7025,28.9568,27.4116,28.7845,28.7976,28.5698,34.2899,38.7621,87.4910,71.2886,65.8474,-1.1747,0.6317,-1.1814,-1.8131,30.5254,32.8143,37.1891,39.5131,28.8531,29.0203,34.0051,38.5055,26.9122,38.2706,31.5966,26.1097,28.8531,32.3297,25.7109,29.0203,43.5364,24.4738,34.0051,50.9378,26.0732,38.5055,29.5420,30.0873,33.2769,36.9852,928518900.0000,29.4946,29.0407,31.7452,35.2660,-0.2317,52.0000,0.0000,21.2175,49.8842,29.7394,28.2246,28.5305,31.5982,-3.9052,2.3702,40.69,42.44,39.94,41.44,30.790936103299998,59726300,0.0,1.0
