,ADX_14,APO,Aroon Down_25,Aroon Up_25,CCI_20,CMO_14,DEMA_10,DEMA_100,DEMA_20,DEMA_50,EMA_10,EMA_100,EMA_20,EMA_50,FAMA,KAMA_10,KAMA_100,KAMA_20,KAMA_50,MACD,MACD_Hist,MACD_Signal,MAMA,MOM_14,OBV,PPO,ROC_14,RSI_14,Real Lower Band_10,Real Lower Band_100,Real Lower Band_20,Real Lower Band_50,Real Middle Band_10,Real Middle Band_100,Real Middle Band_20,Real Middle Band_50,Real Upper Band_10,Real Upper Band_100,Real Upper Band_20,Real Upper Band_50,SMA_10,SMA_100,SMA_20,SMA_50,SlowD,SlowK,TEMA_10,TEMA_100,TEMA_20,TEMA_50,TRIMA_10,TRIMA_100,TRIMA_20,TRIMA_50,WILLR_14,WMA_10,WMA_100,WMA_20,WMA_50,adjusted_close,close,dividend_amount,high,low,open,split_coefficient,volume
2001-01-04,0.6894,-4.6025,18.8871,17.7364,19.7616,18.9767,17.7373,18.4749,19.9557,17.1681,39.2804,45.9787,52.9366,-1.5542,0.0773,-0.3482,-0.4254,18.6582,19.5910,18.3893,18.1719,17.6473,19.0944,19.1334,17.4913,20.7197,22.3798,21.0145,14.2800,17.6473,23.5608,14.6279,19.0944,23.4643,14.8026,19.1334,22.3717,12.6109,17.4913,18.4106,18.6976,18.6823,19.4946,-29763200.0000,18.1614,18.3501,19.3153,18.2329,15.0818,64.0000,36.0000,14.5093,57.5409,18.3325,18.2268,18.9875,15.2075,-8.0638,0.1462,22.94,28.19,22.94,27.75,21.3484394192,13264000,0.0,1.0
2001-01-05,3.1298,-15.6904,19.7720,18.3446,19.9171,19.1307,17.9873,18.2603,19.9666,17.2343,54.6393,54.6863,75.0051,-1.4351,0.2154,-0.1561,-0.3716,18.8223,19.5986,18.4203,18.1954,18.1812,19.0417,19.2267,17.5374,20.7279,22.3613,21.5161,14.8463,18.1812,23.4131,14.6702,19.0417,23.4725,14.9809,19.2267,22.4446,12.6302,17.5374,18.7965,18.8724,18.7549,19.5151,-35021300.0000,18.6861,18.4871,19.3702,18.2931,9.7737,60.0000,32.0000,14.1355,54.8868,19.0483,18.6046,19.1179,15.3331,-7.4361,0.6231,27.61,28.0,25.38,26.69,20.5329674991,5258100,0.0,1.0
2001-01-08,8.7835,-18.9331,20.2347,18.7868,20.0319,19.2648,18.2230,18.1454,19.9754,17.3025,35.7523,70.7329,84.2569,-1.2310,0.2789,-0.0229,-0.3018,18.9271,19.6027,18.4495,18.2169,18.6381,19.0178,19.3267,17.5855,20.7360,22.3406,21.7460,15.5303,18.6381,23.3563,14.6793,19.0178,23.4304,15.2229,19.3267,22.5056,12.6654,17.5855,19.0688,19.0078,18.8153,19.5306,-37928000.0000,19.0703,18.6064,19.4121,18.3477,8.2018,56.0000,28.0000,13.4825,54.1009,19.4977,18.8880,19.2220,15.4465,-6.3653,1.6386,26.19,26.63,24.75,26.38,20.294480428099998,2906700,0.0,1.0
2001-01-09,14.3208,-5.6738,21.0561,19.4631,20.2719,19.4638,18.5853,18.1040,19.9822,17.3732,89.8149,80.9981,83.7322,-0.8281,0.3834,0.1774,-0.2060,19.0467,19.6155,18.5049,18.2570,18.9413,18.9816,19.4459,17.6466,20.7440,22.3322,22.4829,15.3996,18.9413,23.2239,14.7394,18.9816,23.4469,15.4449,19.4459,22.6074,12.6857,17.6466,19.5099,19.2447,18.9203,19.5695,-33069700.0000,19.5896,18.8423,19.4971,18.4251,14.8124,52.0000,24.0000,13.6316,57.4062,20.2217,19.3506,19.4121,15.6044,-4.2553,2.6926,26.69,28.5,26.63,27.94,21.4946089144,4858300,0.0,1.0
2001-01-10,23.0053,-9.3439,21.5007,19.9789,20.4750,19.6464,19.1495,18.1316,19.9850,17.4458,95.1933,84.1898,84.5802,-0.4205,0.4214,0.3207,-0.1006,19.2151,19.6355,18.5507,18.2936,19.3259,18.8974,19.5507,17.7052,20.7519,22.3223,22.9920,15.6598,19.3259,22.8730,14.9218,18.8974,23.4703,15.6311,19.5507,22.7010,12.7094,17.7052,19.8442,19.4450,19.0156,19.6047,-38040300.0000,20.0273,19.0677,19.5717,18.4984,13.7381,48.0000,20.0000,13.6040,56.8690,20.7000,19.7221,19.5795,15.7526,-2.1537,3.9927,27.63,28.69,26.31,27.75,21.3484394192,4970600,0.0,1.0
2001-01-11,47.1392,-7.7140,22.2083,20.6592,20.7743,19.8806,19.7424,18.2440,19.9823,17.5204,130.3776,85.0544,86.8507,-0.1976,0.4883,0.5097,0.0214,19.4416,19.6516,18.6176,18.3494,19.7052,18.9213,19.6661,17.7758,20.7597,22.3227,23.7432,15.6672,19.7052,22.9731,14.8694,18.9213,23.5695,15.7627,19.6661,22.8326,12.7191,17.7758,20.3009,19.7223,19.1466,19.6592,-31044000.0000,20.5783,19.3971,19.6818,18.5905,19.3419,44.0000,16.0000,14.0402,59.6710,21.3749,20.2238,19.8143,15.9368,-1.0067,7.1623,27.63,29.88,27.06,29.06,22.3562396225,6996300,0.0,1.0
2001-01-12,34.5401,-24.7144,22.0886,20.8987,20.9126,20.0356,20.2632,18.4097,19.9701,17.5962,115.9757,81.7296,73.7580,0.1513,0.4279,0.5562,0.1284,19.5027,19.6581,18.6497,18.3736,19.9598,18.9189,19.7487,17.8133,20.7675,22.3110,24.0105,15.9091,19.9598,22.9657,14.8722,18.9189,23.5995,15.8979,19.7487,22.9139,12.7126,17.8133,20.4564,19.8589,19.2254,19.6888,-35484200.0000,20.8421,19.6100,19.7402,18.6575,10.1640,40.0000,12.0000,14.4452,55.0820,21.4623,20.4362,19.9426,16.0692,0.7730,5.4314,29.19,29.81,27.31,27.5,21.1561111362,4440200,0.0,1.0
2001-01-16,14.8333,-24.0914,21.9795,21.0983,21.0430,20.1872,20.7502,18.6343,19.9516,17.6735,81.6398,73.6971,60.4825,0.3860,0.3693,0.5900,0.2207,19.6319,19.6731,18.6792,18.3986,20.3491,18.9836,19.8218,17.8522,20.7751,22.2999,24.0383,16.6599,20.3491,23.1315,14.8356,18.9836,23.6414,16.0023,19.8218,22.9961,12.7083,17.8522,20.5920,19.9868,19.3029,19.7188,-31541000.0000,21.0680,19.8274,19.7972,18.7246,10.4493,36.0000,8.0000,13.9512,55.2246,21.5260,20.6249,20.0665,16.2002,1.9731,2.7388,27.56,28.38,25.75,27.56,21.2022699241,3943200,0.0,1.0
2001-01-17,31.0330,-11.5634,22.6472,21.7017,21.3565,20.4334,21.1856,18.9446,19.9292,17.7525,135.8382,64.0681,57.9638,0.6632,0.4217,0.7479,0.3262,20.2087,19.7735,18.7375,18.4511,21.0315,19.1974,19.9131,17.9104,20.7828,22.3063,23.7201,18.3429,21.0315,23.6831,14.7118,19.1974,23.8069,16.0192,19.9131,23.1504,12.6704,17.9104,21.0177,20.2674,19.4453,19.7824,-18528300.0000,21.5378,20.2036,19.9192,18.8252,20.6274,32.0000,100.0000,14.5390,60.3137,22.1301,21.0986,20.3157,16.3959,3.3753,5.4314,28.88,31.06,28.63,29.81,22.9332244716,13012700,0.0,1.0
2001-01-18,35.2259,-3.8820,24.0331,22.7476,21.8886,20.7961,21.5667,19.3458,19.9041,17.8337,161.5268,63.2054,71.1700,1.2017,0.5680,1.0361,0.4681,21.1170,20.0194,18.8596,18.5384,21.7769,19.5125,20.0468,17.9787,20.7906,22.3342,24.4333,19.1206,21.7769,24.6765,14.3485,19.5125,24.1779,15.9157,20.0468,23.4103,12.5471,17.9787,21.7604,20.7279,19.6671,19.8878,-2536200.0000,22.2780,20.7660,20.1227,18.9676,31.1843,28.0000,100.0000,15.7320,65.5922,23.2783,21.8966,20.7166,16.6716,6.0816,6.5392,31.81,33.13,30.13,32.63,25.102687504499997,15992100,0.0,1.0
