,ADX_14,APO,Aroon Down_25,Aroon Up_25,CCI_20,CMO_14,DEMA_10,DEMA_100,DEMA_20,DEMA_50,EMA_10,EMA_100,EMA_20,EMA_50,FAMA,KAMA_10,KAMA_100,KAMA_20,KAMA_50,MACD,MACD_Hist,MACD_Signal,MAMA,MOM_14,OBV,PPO,ROC_14,RSI_14,Real Lower Band_10,Real Lower Band_100,Real Lower Band_20,Real Lower Band_50,Real Middle Band_10,Real Middle Band_100,Real Middle Band_20,Real Middle Band_50,Real Upper Band_10,Real Upper Band_100,Real Upper Band_20,Real Upper Band_50,SMA_10,SMA_100,SMA_20,SMA_50,SlowD,SlowK,TEMA_10,TEMA_100,TEMA_20,TEMA_50,TRIMA_10,TRIMA_100,TRIMA_20,TRIMA_50,WILLR_14,WMA_10,WMA_100,WMA_20,WMA_50,adjusted_close,close,dividend_amount,high,low,open,split_coefficient,volume
2001-01-04,17.2878,0.3825,64.0000,84.0000,9.2631,-1.3752,20.5579,21.4643,20.1245,19.9727,20.3881,21.5809,20.3330,21.0914,12.0809,21.0936,22.5462,21.5135,22.3159,-0.0890,0.1608,-0.2499,20.1814,-1.0922,4032800.0000,1.9299,-5.1073,49.3124,17.7663,17.9364,17.2278,17.0000,20.4348,23.0040,19.9720,21.2518,23.1032,28.0716,22.7162,25.5035,20.4348,23.0040,19.9720,21.2518,42.5393,34.7946,20.5560,20.2288,20.6441,19.1976,20.9599,23.5352,19.9121,20.6936,-40.9362,20.6436,21.9832,20.2704,20.4170,20.2926403953,40.69,0.0,41.19,39.06,39.5,1.0,3361800
2001-01-05,18.2284,0.3157,60.0000,80.0000,-95.0276,-18.8573,19.5986,21.3097,19.6449,19.7465,19.8775,21.5017,20.0708,20.9537,12.1212,21.0677,22.5015,21.4920,22.2119,-0.3036,-0.0430,-0.2606,20.1554,-2.3689,-4805600.0000,1.6035,-11.8750,40.5713,17.5843,17.7767,17.1556,16.8639,20.3974,22.9565,19.9548,21.1046,23.2104,28.1363,22.7539,25.3454,20.3974,22.9565,19.9548,21.1046,33.3897,27.3697,19.2299,20.0248,19.9183,18.9169,20.8808,23.4636,19.9928,20.5764,-87.2340,20.1245,21.8758,20.0425,20.2730,17.579640548900002,35.25,0.0,41.0,35.25,40.75,1.0,4419200
2001-01-08,19.2221,0.3917,56.0000,76.0000,-132.8104,-12.6886,19.1469,21.1903,19.3746,19.5942,19.6011,21.4394,19.9076,20.8518,12.1613,21.0478,22.4657,21.4696,22.1575,-0.4062,-0.1165,-0.2897,20.1374,-0.4987,-1244400.0000,1.9953,-2.6448,43.6557,17.4510,17.6519,17.3015,16.7386,20.3600,22.9119,19.9922,21.0111,23.2689,28.1719,22.6828,25.2836,20.3600,22.9119,19.9922,21.0111,28.1388,22.2523,18.7018,19.8747,19.5252,18.7486,20.5636,23.3891,20.0699,20.4679,-73.9574,19.7537,21.7848,19.8904,20.1652,18.3576331519,36.81,0.0,37.0,34.63,34.88,1.0,1780600
2001-01-09,19.4125,0.4319,52.0000,72.0000,-65.8822,-7.8580,19.0245,21.0988,19.2573,19.4997,19.4884,21.3908,19.8194,20.7785,12.2011,20.9620,22.4395,21.4361,22.0918,-0.4323,-0.1140,-0.3183,20.1258,-0.9675,1179000.0000,2.1947,-4.8500,46.0710,17.1761,17.5597,17.2017,16.7734,20.1540,22.8770,19.9064,20.8795,23.1319,28.1942,22.6111,24.9856,20.1540,22.8770,19.9064,20.8795,24.9888,25.3446,18.6524,19.7673,19.3672,18.6669,20.1475,23.3120,20.1180,20.3663,-63.3191,19.5030,21.7069,19.7941,20.0856,18.9810246607,38.06,0.0,39.0,37.06,37.5,1.0,1211700
2001-01-10,19.6877,0.5042,48.0000,68.0000,-52.7187,-3.7579,19.1175,21.0310,19.2556,19.4527,19.4932,21.3536,19.7904,20.7289,12.2407,20.9185,22.4178,21.4256,22.0486,-0.4052,-0.0695,-0.3356,20.1197,1.4064,4070000.0000,2.5633,7.7665,48.1210,17.0731,17.4836,17.1810,16.8118,19.9859,22.8427,19.8909,20.7723,22.8987,28.2019,22.6009,24.7328,19.9859,22.8427,19.8909,20.7723,31.9358,48.2105,18.8853,19.6959,19.3797,18.6550,19.7650,23.2315,20.1478,20.2750,-54.2128,19.3867,21.6403,19.7568,20.0321,19.5146477923,39.13,0.0,39.25,36.63,37.88,1.0,1445500
2001-01-11,20.4149,0.2643,44.0000,64.0000,-129.1427,-15.6643,18.5846,20.8931,18.9227,19.2678,19.1625,21.2808,19.5888,20.6091,12.2800,20.5697,22.3750,21.3346,21.9638,-0.5261,-0.1524,-0.3737,20.0953,-0.2793,-13418000.0000,1.3467,-1.5556,42.1678,16.7147,17.3372,16.8948,16.7002,19.5401,22.7939,19.7351,20.6464,22.3655,28.2507,22.5753,24.5927,19.5401,22.7939,19.7351,20.6464,39.5568,45.1152,18.2291,19.5207,18.9161,18.4390,19.3308,23.1479,20.1245,20.1913,-91.4545,18.9664,21.5380,19.5457,19.9106,17.6743960582,35.44,0.0,36.13,34.5,35.0,1.0,8744000
2001-01-12,20.8695,0.0334,40.0000,60.0000,-98.5240,-12.3778,18.3313,20.7752,18.7121,19.1258,18.9654,21.2173,19.4450,20.5099,12.3190,20.3461,22.3378,21.2490,21.8800,-0.5827,-0.1671,-0.4155,20.0751,-0.6533,-8688600.0000,0.1703,-3.4878,43.8111,16.8165,17.2113,16.7480,16.6944,19.1286,22.7481,19.5698,20.5093,21.4407,28.2849,22.3915,24.3242,19.1286,22.7481,19.5698,20.5093,44.4309,39.9671,17.9944,19.3766,18.6458,18.2884,18.9745,23.0610,20.0517,20.1159,-84.0909,18.7007,21.4446,19.3880,19.8099,18.078353756,36.25,0.0,36.69,35.25,35.38,1.0,2364700
2001-01-16,20.6886,-0.2838,36.0000,56.0000,-59.3704,-7.5431,18.3495,20.6842,18.6416,19.0388,18.9120,21.1669,19.3713,20.4378,12.3577,20.2670,22.3043,21.2212,21.8275,-0.5730,-0.1260,-0.4470,20.0611,-2.3689,1654200.0000,-1.4459,-11.2586,46.2285,17.0412,17.1057,16.6636,16.6823,18.8698,22.6986,19.5059,20.4046,20.6985,28.2914,22.3482,24.1268,18.8698,22.6986,19.5059,20.4046,40.9384,37.7328,18.1325,19.2734,18.5845,18.2198,18.7825,22.9711,19.9479,20.0528,-73.2727,18.6176,21.3639,19.3024,19.7378,18.6718224724,37.44,0.0,38.25,35.81,36.0,1.0,5171400
2001-01-17,20.3756,-0.6194,32.0000,52.0000,-40.5623,-7.7586,18.3625,20.5947,18.5788,18.9555,18.8629,21.1169,19.3019,20.3674,12.3961,20.2435,22.2702,21.2081,21.7679,-0.5613,-0.0914,-0.4699,20.0469,-2.5534,-590000.0000,-3.1492,-12.0471,46.1207,16.9977,17.0009,16.6416,16.7250,18.7920,22.6475,19.4952,20.2868,20.5863,28.2940,22.3488,23.8485,18.7920,22.6475,19.4952,20.2868,43.6076,53.1228,18.2357,19.1732,18.5331,18.1564,18.6760,22.8789,19.8252,19.9962,-73.8182,18.5762,21.2836,19.2201,19.6687,18.6418996799,37.38,0.0,38.63,37.31,38.39,1.0,1122100
2001-01-18,19.4778,-0.7181,28.0000,48.0000,-5.8804,-0.1740,18.6788,20.5434,18.6917,18.9476,18.9868,21.0858,19.3250,20.3351,12.4344,20.2357,22.2443,21.1980,21.7340,-0.4737,-0.0030,-0.4706,20.0419,-2.5883,2491000.0000,-3.6590,-11.6945,49.9130,17.0849,16.9316,16.6288,16.8253,18.7337,22.5949,19.4750,20.1889,20.3824,28.2583,22.3212,23.5525,18.7337,22.5949,19.4750,20.1889,52.9620,68.0305,18.7325,19.1303,18.7316,18.2032,18.5850,22.7844,19.6921,19.9452,-57.3636,18.7130,21.2221,19.2248,19.6396,19.5445705847,39.19,0.0,40.25,37.31,37.47,1.0,1540500
