,ADX_14,APO,Aroon Down_25,Aroon Up_25,CCI_20,CMO_14,DEMA_10,DEMA_100,DEMA_20,DEMA_50,EMA_10,EMA_100,EMA_20,EMA_50,FAMA,KAMA_10,KAMA_100,KAMA_20,KAMA_50,MACD,MACD_Hist,MACD_Signal,MAMA,MOM_14,OBV,PPO,ROC_14,RSI_14,Real Lower Band_10,Real Lower Band_100,Real Lower Band_20,Real Lower Band_50,Real Middle Band_10,Real Middle Band_100,Real Middle Band_20,Real Middle Band_50,Real Upper Band_10,Real Upper Band_100,Real Upper Band_20,Real Upper Band_50,SMA_10,SMA_100,SMA_20,SMA_50,SlowD,SlowK,TEMA_10,TEMA_100,TEMA_20,TEMA_50,TRIMA_10,TRIMA_100,TRIMA_20,TRIMA_50,WILLR_14,WMA_10,WMA_100,WMA_20,WMA_50,adjusted_close,close,dividend_amount,high,low,open,split_coefficient,volume
2013-07-26,27.8142,1.5648,8.0,96.0,331.8609,71.0211,30.9717,25.9929,28.9898,26.4914,28.7213,26.0339,27.1759,26.0639,14.8313,30.2421,25.9292,29.5708,26.9537,1.5585,0.8286,0.7298,24.4614,9.3,763918000.0,6.0318,37.6366,85.5105,21.473,22.3596,21.1069,20.9594,27.8365,25.9668,26.4532,25.1542,34.2,29.5741,31.7996,29.3489,27.8365,25.9668,26.4532,25.1542,71.1277,87.5552,32.281,25.9252,30.3756,27.4579,26.9999,25.689,26.0045,24.4944,-8.8325,28.9743,25.7247,27.4729,25.7492,34.01,34.01,0.0,34.73,33.56,33.77,1.0,136028900
2013-07-29,31.5576,1.923,4.0,100.0,241.6002,74.5181,32.7803,26.3621,30.3144,27.1948,29.9411,26.22,27.962,26.4312,14.88,31.8024,26.1894,31.1396,27.6369,2.0136,1.027,0.9866,24.5711,9.95,888636800.0,7.2879,39.0502,87.2591,21.0547,21.987,20.4163,20.2579,28.7515,26.0466,26.9807,25.3402,36.4483,30.1062,33.5452,30.4224,28.7515,26.0466,26.9807,25.3402,84.7291,94.2725,34.3333,26.4753,32.0554,28.4463,27.8375,25.6608,26.3392,24.5781,-1.9646,30.3549,25.9121,28.3278,26.1521,35.43,35.43,0.0,35.63,34.01,34.07,1.0,124718800
2013-07-30,35.2958,2.3957,0.0,100.0,209.945,78.784,34.8049,26.8066,31.8437,28.0257,31.3385,26.4459,28.8825,26.8702,14.9291,33.6766,26.5458,33.0475,28.6138,2.5225,1.2287,1.2938,24.7016,11.827,1062219600.0,8.9093,45.8411,89.392,20.7569,21.4943,19.6733,19.4331,29.8822,26.1371,27.6216,25.5677,39.0075,30.7799,35.5699,31.7023,29.8822,26.1371,27.6216,25.5677,92.3466,95.2119,36.5886,27.1318,33.9696,29.6047,29.0662,25.6376,26.764,24.6853,-2.6619,31.9687,26.1414,29.3417,26.634,37.626999999999995,37.626999999999995,0.0,37.96,35.32,35.65,1.0,173582800
2013-07-31,38.8006,2.7775,4.0,100.0,164.4207,67.4221,35.9801,27.2055,32.9979,28.744,32.3315,26.6509,29.6365,27.2596,14.9786,34.4569,26.8544,34.0408,29.3627,2.8265,1.2262,1.6003,24.8226,10.99,907390900.0,10.1428,42.5804,83.711,21.196,21.1324,19.4989,18.8944,30.8972,26.2255,28.2411,25.7885,40.5984,31.3186,36.9833,32.6826,30.8972,26.2255,28.2411,25.7885,92.9365,89.3251,37.5886,27.7142,35.2835,30.5769,30.6442,25.6196,27.2673,24.8153,-11.8339,33.2264,26.3526,30.2159,27.0745,36.8,36.8,0.0,38.31,36.33,37.96,1.0,154828700
2013-08-01,42.0551,3.1991,0.0,96.0,139.194,69.1795,37.0216,27.6195,34.1023,29.4723,33.2692,26.8655,30.3844,27.6608,15.0284,35.3479,27.1935,34.9719,30.1649,3.0874,1.1897,1.8977,24.9493,11.579,1013457400.0,11.4689,44.6893,84.5897,22.155,20.7663,19.4514,18.3926,32.0281,26.319,28.8895,26.0251,41.9012,31.8717,38.3277,33.6576,32.0281,26.319,28.8895,26.0251,89.597,84.2538,38.4227,28.3136,36.4927,31.5478,32.3312,25.6071,27.853,24.9682,-6.4595,34.4249,26.5756,31.0966,27.5333,37.489000000000004,37.489000000000004,0.0,38.29,36.92,37.3,1.0,106066500
2013-08-02,45.0982,3.6149,16.0,100.0,122.5135,70.5715,37.9198,28.0431,35.1388,30.2002,34.1385,27.087,31.1144,28.0682,15.0787,36.2232,27.5795,35.8475,31.0553,3.3014,1.1229,2.1784,25.0803,11.77,1086515900.0,12.7159,44.7869,85.2857,23.7085,20.4042,19.5783,17.9464,33.245,26.4212,29.5735,26.2829,42.7815,32.4382,39.5688,34.6194,33.245,26.4212,29.5735,26.2829,85.1637,81.912,39.0898,28.9217,37.5788,32.5021,33.8802,25.6006,28.5343,25.1441,-3.4135,35.5198,26.8079,31.9691,28.0049,38.05,38.05,0.0,38.49,37.5,37.66,1.0,73058500
2013-08-05,48.0096,4.1401,12.0,100.0,115.9645,73.2164,38.9019,28.4987,36.2203,30.9717,35.0567,27.3266,31.8835,28.5043,15.1294,37.2047,28.0931,36.8188,32.0611,3.5223,1.0751,2.4472,25.2214,12.869,1166510700.0,14.2829,48.8944,86.6082,25.7599,20.0117,19.7349,17.4889,34.5594,26.5423,30.2975,26.5655,43.3589,33.0729,40.8601,35.642,34.5594,26.5423,30.2975,26.5655,85.3463,89.8731,39.9113,29.5716,38.7107,33.5056,35.2836,25.6007,29.3213,25.3426,-0.9548,36.6006,27.0607,32.8848,28.511,39.189,39.189,0.0,39.32,38.25,38.43,1.0,79994800
2013-08-06,50.3087,4.6701,8.0,96.0,97.9134,64.2951,39.3576,28.9156,37.0166,31.6474,35.6919,27.5489,32.5184,28.8983,15.1805,37.5833,28.5176,37.2448,32.8786,3.6042,0.9256,2.6786,25.3547,11.9,1102559900.0,15.8243,44.6529,82.1475,28.7865,19.7037,20.0496,17.1992,35.8014,26.6574,30.951,26.8502,42.8163,33.611,41.8524,36.5013,35.8014,26.6574,30.951,26.8502,86.2785,87.0504,40.0367,30.158,39.4159,34.3526,36.4049,25.6072,30.2091,25.5627,-5.6122,37.3261,27.2985,33.6708,28.981,38.55,38.55,0.0,39.25,37.94,39.11,1.0,63950800
2013-08-07,52.1248,5.1981,4.0,92.0,86.7731,65.26,39.7417,29.3325,37.7404,32.3063,36.2697,27.7731,33.1233,29.2893,15.2321,37.9447,28.9751,37.6447,33.6754,3.6529,0.7794,2.8735,25.4898,12.69,1171414700.0,17.2964,48.4721,82.63,33.5256,19.4135,20.4525,16.96,37.0374,26.7796,31.6045,27.1456,40.5492,34.1457,42.7565,37.3313,37.0374,26.7796,31.6045,27.1456,86.9992,84.0742,40.1388,30.7391,40.0188,35.1628,37.212,25.6206,31.2033,25.8041,-3.2799,37.8841,27.5403,34.425,29.4523,38.87,38.87,0.0,38.94,37.7,38.61,1.0,68854800
2013-08-08,53.858,5.6888,0.0,88.0,81.295,60.4444,39.8609,29.7238,38.2833,32.8993,36.6825,27.9863,33.6392,29.6521,15.284,38.0226,29.3874,37.8489,34.3728,3.623,0.5997,3.0234,25.6203,12.659,1130113700.0,18.5929,48.9123,80.2222,34.3463,19.1716,21.0315,16.8391,37.4555,26.9001,32.241,27.45,40.5647,34.6287,43.4505,38.061,37.4555,26.9001,32.241,27.45,80.6682,70.8801,39.9457,31.2771,40.3691,35.865,37.7111,25.6409,32.2292,26.0667,-5.7353,38.1573,27.7732,35.0855,29.8992,38.54,38.54,0.0,39.19,38.43,39.13,1.0,41301000
2013-08-09,54.8801,6.1503,0.0,84.0,71.4647,59.8364,39.8839,30.1016,38.7228,33.4523,37.013,28.1945,34.1021,29.9991,15.3363,38.0973,29.776,37.9954,34.9215,3.5552,0.4255,3.1297,25.7491,12.455,1086581400.0,19.754,47.8211,79.9182,35.7718,18.9542,21.7401,16.7119,37.9045,27.0196,32.8705,27.729,40.0372,35.085,44.0009,38.7461,37.9045,27.0196,32.8705,27.729,72.5154,62.5919,39.7016,31.7905,40.5887,36.4997,38.1208,25.6679,33.2181,26.3492,-6.1423,38.3472,28.0029,35.6816,30.3325,38.5,38.5,0.0,38.74,38.01,38.59,1.0,43532300
2013-08-12,55.8291,5.9393,0.0,80.0,64.9141,55.3974,39.7609,30.457,39.0297,33.949,37.2324,28.393,34.4943,30.3214,15.389,38.1087,30.1575,38.0419,35.3541,3.4392,0.2476,3.1916,25.8738,12.09,1055420400.0,18.7556,46.2687,77.6987,36.8316,18.7794,22.536,16.6505,38.1835,27.1432,33.4675,28.0065,39.5354,35.507,44.399,39.3625,38.1835,27.1432,33.4675,28.0065,60.0544,46.6913,39.3316,32.2662,40.6409,37.0444,38.3636,25.7012,34.1587,26.6527,-8.2894,38.4045,28.2247,36.191,30.7439,38.22,38.22,0.0,38.5,38.1,38.2,1.0,31161000
