,ADX_14,APO,Aroon Down_25,Aroon Up_25,CCI_20,CMO_14,DEMA_10,DEMA_100,DEMA_20,DEMA_50,EMA_10,EMA_100,EMA_20,EMA_50,FAMA,KAMA_10,KAMA_100,KAMA_20,KAMA_50,MACD,MACD_Hist,MACD_Signal,MAMA,MOM_14,OBV,PPO,ROC_14,RSI_14,Real Lower Band_10,Real Lower Band_100,Real Lower Band_20,Real Lower Band_50,Real Middle Band_10,Real Middle Band_100,Real Middle Band_20,Real Middle Band_50,Real Upper Band_10,Real Upper Band_100,Real Upper Band_20,Real Upper Band_50,SMA_10,SMA_100,SMA_20,SMA_50,SlowD,SlowK,TEMA_10,TEMA_100,TEMA_20,TEMA_50,TRIMA_10,TRIMA_100,TRIMA_20,TRIMA_50,WILLR_14,WMA_10,WMA_100,WMA_20,WMA_50,adjusted_close,close,dividend_amount,high,low,open,split_coefficient,volume
2001-01-04,16.9787,-0.2096,68.0,100.0,192.2007,7.1976,10.7741,10.7455,10.2924,9.7878,10.6622,13.7996,10.7508,11.917,10.977,11.312,13.692,11.523,12.4548,-0.2799,0.1963,-0.4762,14.8746,0.5349,-88857100.0,-1.9699,4.942,53.5988,9.4491,8.0997,9.6197,8.3589,10.468,14.4901,10.5529,11.8986,11.487,20.8806,11.4861,15.4384,10.468,14.4901,10.5529,11.8986,53.447,58.2729,11.0214,9.7723,10.6852,9.7124,10.4624,14.4367,10.4422,11.5345,-24.7606,10.6475,12.7562,10.5485,11.0589,11.358888061300002,34.63,0.0,36.44,34.25,34.63,1.0,9799800
2001-01-05,16.9375,-0.1745,64.0,96.0,-14.5312,-13.4478,10.5504,10.6588,10.2084,9.7275,10.5503,13.7253,10.6838,11.8437,10.9962,11.3054,13.5992,11.5106,12.3648,-0.3072,0.1352,-0.4424,14.8263,-0.8782,-98429200.0,-1.6481,-8.0385,43.2761,9.4665,8.0082,9.5754,8.3407,10.4743,14.4042,10.5335,11.7979,11.482,20.8002,11.4915,15.2551,10.4743,14.4042,10.5335,11.7979,55.5423,57.4329,10.6611,9.6928,10.5484,9.6675,10.5163,14.3331,10.4273,11.4337,-79.4802,10.571,12.6682,10.5003,10.9863,10.0468594085,30.63,0.0,34.88,30.63,34.88,1.0,9572100
2001-01-08,16.9257,-0.135,60.0,92.0,-68.4678,-9.2011,10.4653,10.5849,10.1828,9.6912,10.5035,13.6574,10.6465,11.7829,11.0151,11.2846,13.5247,11.5044,12.3074,-0.3054,0.1096,-0.415,14.781,-0.0224,-91902800.0,-1.2794,-0.2167,45.3994,9.6848,7.9202,9.5867,8.3052,10.5399,14.3274,10.5385,11.7207,11.3949,20.7345,11.4903,15.1361,10.5399,14.3274,10.5385,11.7207,50.8423,36.8211,10.5245,9.6322,10.5009,9.6572,10.5464,14.2294,10.4225,11.3387,-69.2202,10.538,12.5868,10.4774,10.9272,10.2928647809,31.38,0.0,31.69,30.56,31.5,1.0,6526400
2001-01-09,16.4778,-0.1058,56.0,88.0,-30.3677,-8.1547,10.4221,10.5162,10.1735,9.6632,10.4759,13.5919,10.6185,11.7268,11.0337,11.2762,13.4311,11.4914,12.2564,-0.2958,0.0954,-0.3912,14.7367,0.141,-85580800.0,-1.0026,1.3813,45.9226,9.657,7.87,9.5712,8.2754,10.5192,14.2341,10.5109,11.6472,11.3813,20.5981,11.4505,15.0191,10.5192,14.2341,10.5109,11.6472,38.1991,20.3432,10.4578,9.5791,10.4783,9.6576,10.567,14.1257,10.4209,11.2494,-66.7579,10.5038,12.5081,10.4596,10.8736,10.3519060703,31.56,0.0,32.5,31.13,31.94,1.0,6322000
2001-01-10,16.3301,-0.0378,52.0,84.0,-47.6927,-6.9893,10.4115,10.4525,10.1788,9.6432,10.4647,13.529,10.599,11.6753,11.052,11.2727,13.3617,11.4819,12.2058,-0.28,0.089,-0.3689,14.6935,0.1443,-74768800.0,-0.3585,1.4053,46.5053,9.657,7.7911,9.5608,8.2637,10.5192,14.1609,10.4913,11.5712,11.3813,20.5308,11.4219,14.8787,10.5192,14.1609,10.4913,11.5712,26.7125,22.9732,10.4412,9.5332,10.477,9.668,10.5835,14.0228,10.4224,11.165,-64.1587,10.4847,12.4325,10.4504,10.8252,10.4142274313,31.75,0.0,32.0,30.5,30.88,1.0,10812000
2001-01-11,15.676,-0.0272,48.0,80.0,18.6935,-3.0252,10.4728,10.3993,10.2228,9.6418,10.4931,13.4714,10.6011,11.6339,11.07,11.2697,13.2951,11.4663,12.1533,-0.2479,0.0968,-0.3447,14.6528,0.6363,-57934400.0,-0.2579,6.3732,48.4874,9.6561,7.7295,9.6353,8.3108,10.5172,14.0848,10.4476,11.4848,11.3784,20.44,11.2599,14.6588,10.5172,14.0848,10.4476,11.4848,24.1585,29.159,10.5241,9.5027,10.5305,9.704,10.5501,13.9196,10.4273,11.0847,-55.5404,10.5032,12.3624,10.4628,10.7879,10.6208719441,32.38,0.0,32.94,31.31,31.75,1.0,16834400
2001-01-12,15.6675,-0.0043,44.0,76.0,-91.2626,-12.4015,10.3355,10.3267,10.1618,9.5994,10.4155,13.404,10.5502,11.5725,11.0877,11.2462,13.2127,11.444,12.0688,-0.2641,0.0645,-0.3286,14.6069,0.4297,-79334800.0,-0.0414,4.4588,43.7992,9.5634,7.6507,9.6005,8.3645,10.4598,14.0047,10.4097,11.3829,11.3562,20.3588,11.219,14.4012,10.4598,14.0047,10.4097,11.3829,27.2625,29.6554,10.3285,9.4426,10.4312,9.6775,10.4935,13.8156,10.4347,11.0093,-85.9492,10.4213,12.2828,10.4265,10.7323,10.0665398383,30.69,0.0,31.75,29.94,31.13,1.0,21400400
2001-01-16,15.6597,-0.0425,40.0,72.0,-116.9177,-14.0433,10.201,10.2527,10.0926,9.5532,10.3336,13.3359,10.4945,11.5094,11.1051,11.2285,13.1237,11.4139,11.9935,-0.282,0.0373,-0.3193,14.5605,-0.5937,-90128300.0,-0.406,-5.6229,42.9783,9.4773,7.5783,9.5667,8.3829,10.4211,13.9202,10.3617,11.2923,11.365,20.2622,11.1568,14.2017,10.4211,13.9202,10.3617,11.2923,28.7814,27.5297,10.1524,9.3805,10.3241,9.6444,10.4457,13.711,10.4403,10.9408,-90.583,10.3313,12.2028,10.3841,10.6767,9.9648576177,30.38,0.0,30.88,29.94,30.5,1.0,10793500
2001-01-17,14.9008,-0.0717,36.0,68.0,-7.5029,-5.4603,10.2388,10.1977,10.1092,9.5427,10.3411,13.2772,10.4831,11.4649,11.1222,11.2149,13.0496,11.4089,11.9397,-0.26,0.0474,-0.3074,14.5186,-0.0394,-80183000.0,-0.6843,-0.378,47.2698,9.581,7.5302,9.5699,8.4535,10.4664,13.8368,10.3647,11.2059,11.3518,20.1433,11.1595,13.9583,10.4664,13.8368,10.3647,11.2059,29.7284,32.0,10.2237,9.3462,10.344,9.6629,10.4007,13.6063,10.4552,10.878,-71.8984,10.3229,12.1326,10.3853,10.6407,10.3748665717,31.63,0.0,32.19,31.06,31.38,1.0,9945300
2001-01-18,14.7806,-0.0044,32.0,64.0,169.8937,11.9999,10.6004,10.1842,10.3073,9.6114,10.5297,13.2396,10.5684,11.4616,11.139,11.2163,13.0062,11.4082,11.9249,-0.1598,0.1181,-0.2779,14.4872,0.738,-68440700.0,-0.0416,6.9359,55.9999,9.53,7.5348,9.5181,8.6112,10.487,13.7553,10.4231,11.1318,11.4441,19.9759,11.328,13.6524,10.487,13.7553,10.4231,11.1318,38.1625,54.9578,10.7295,9.3733,10.6217,9.7962,10.3734,13.5016,10.4756,10.822,-26.1584,10.4887,12.0839,10.4819,10.6475,11.3785684911,34.69,0.0,35.0,32.25,32.5,1.0,11742300
2001-01-19,15.2114,0.1105,28.0,100.0,230.1988,17.1188,10.9831,10.1854,10.5422,9.7043,10.7473,13.2097,10.6786,11.4719,11.1556,11.2232,12.9755,11.4173,11.9204,-0.0517,0.1809,-0.2326,14.4596,1.0857,-55423800.0,1.0488,10.2035,58.5594,9.4189,7.5482,9.4316,8.791,10.5238,13.6792,10.4959,11.0667,11.6287,19.8102,11.5602,13.3424,10.5238,13.6792,10.4959,11.0667,55.6072,79.8638,11.2239,9.421,10.9394,9.9612,10.4083,13.3975,10.4905,10.773,-10.3139,10.714,12.0437,10.606,10.6708,11.726256084000001,35.75,0.0,36.44,34.81,36.44,1.0,13016900
2001-01-22,15.0516,0.1294,24.0,96.0,139.3183,9.062,11.1283,10.171,10.6709,9.7617,10.8507,13.1722,10.7394,11.4658,11.1719,11.231,12.9323,11.4147,11.9021,0.0009,0.1868,-0.1859,14.4282,0.9643,-61395700.0,1.2292,9.3156,54.531,9.5033,7.5627,9.4683,9.0851,10.6507,13.597,10.5625,10.9836,11.7981,19.6313,11.6567,12.882,10.6507,13.597,10.5625,10.9836,73.0974,84.4707,11.3595,9.4444,11.0917,10.0694,10.5095,13.2934,10.5071,10.73,-28.9985,10.8581,11.9969,10.6841,10.6806,11.31624713,34.5,0.0,35.63,33.75,35.31,1.0,5971900
2001-01-23,14.4325,0.1042,20.0,92.0,84.9049,7.8476,11.2111,10.1552,10.7707,9.8122,10.924,13.1342,10.7884,11.4575,11.1881,11.2323,12.8882,11.4094,11.885,0.0371,0.1784,-0.1413,14.3964,1.3317,-67553300.0,0.9876,13.4215,53.9238,9.5747,7.5812,9.5968,9.374,10.7468,13.5143,10.6433,10.9107,11.919,19.4474,11.6899,12.4473,10.7468,13.5143,10.6433,10.9107,79.2168,73.3158,11.4081,9.4648,11.1975,10.1644,10.6529,13.1895,10.5319,10.6947,-32.7692,10.9678,11.9505,10.75,10.6912,11.253925769,34.31,0.0,34.63,32.81,33.81,1.0,6157600
