,ADX_14,APO,Aroon Down_25,Aroon Up_25,CCI_20,CMO_14,DEMA_10,DEMA_100,DEMA_20,DEMA_50,EMA_10,EMA_100,EMA_20,EMA_50,FAMA,KAMA_10,KAMA_100,KAMA_20,KAMA_50,MACD,MACD_Hist,MACD_Signal,MAMA,MOM_14,OBV,PPO,ROC_14,RSI_14,Real Lower Band_10,Real Lower Band_100,Real Lower Band_20,Real Lower Band_50,Real Middle Band_10,Real Middle Band_100,Real Middle Band_20,Real Middle Band_50,Real Upper Band_10,Real Upper Band_100,Real Upper Band_20,Real Upper Band_50,SMA_10,SMA_100,SMA_20,SMA_50,SlowD,SlowK,TEMA_10,TEMA_100,TEMA_20,TEMA_50,TRIMA_10,TRIMA_100,TRIMA_20,TRIMA_50,WILLR_14,WMA_10,WMA_100,WMA_20,WMA_50,adjusted_close,close,dividend_amount,high,low,open,split_coefficient,volume
2001-01-04,2.1260,-33.3164,57.3885,55.2383,53.9933,55.5626,54.3351,55.9422,60.7910,66.7965,83.3368,55.2676,65.3321,-2.7027,0.5376,-1.3899,-1.9275,58.4011,60.7379,62.3246,66.6098,54.8584,56.7187,59.7495,67.6058,41.0051,63.1281,59.7950,49.9219,54.8584,62.4057,51.0316,56.7187,66.8544,52.6446,59.7495,86.3956,48.8161,67.6058,56.1760,56.9627,60.3016,64.0785,-102458800.0000,55.6408,55.8359,58.6185,62.7368,4.5402,68.0000,20.0000,29.0107,52.2701,56.1215,54.9161,55.2533,58.9465,-4.6662,1.2248,94.75,99.75,92.69,93.19,58.8339395963,15420500,0.0,1.0
2001-01-05,1.6876,-29.2026,58.6096,56.1969,54.3227,55.5552,54.8730,55.6499,60.6328,66.4890,57.0691,65.7572,74.6343,-2.4246,0.7106,-1.0392,-1.7498,58.4508,60.7255,62.3071,66.4862,55.3635,56.6318,59.7834,67.4222,41.1155,63.0903,60.9559,49.7711,55.3635,62.0986,51.1651,56.6318,66.8641,52.7026,59.7834,86.1723,48.6721,67.4222,56.7523,57.1896,60.2641,63.9848,-94415600.0000,56.4566,56.0861,58.6027,62.5732,6.5309,64.0000,16.0000,27.2607,53.2655,57.1791,55.5432,55.3778,58.8625,-4.1929,0.9849,93.94,94.69,91.0,94.0,59.345319476899995,8043200,0.0,1.0
2001-01-08,6.5482,-31.4373,59.2556,56.9204,54.6045,55.5352,55.6068,55.4882,60.4664,66.1910,55.0082,67.5628,62.7219,-2.0919,0.7800,-0.7748,-1.5548,58.5267,60.7175,62.2792,66.3632,56.1211,56.6457,59.8606,67.2436,41.2252,63.0501,61.4568,50.7854,56.1211,62.1357,51.1558,56.6457,66.8233,52.8979,59.8606,85.9685,48.5188,67.2436,57.1732,57.3685,60.2171,63.8874,-100480400.0000,57.1300,56.3180,58.5746,62.4078,5.2470,60.0000,12.0000,25.6356,52.6235,57.8669,56.0407,55.4774,58.7711,-3.6270,3.6302,93.5,93.94,91.56,93.56,59.0675328751,6064800,0.0,1.0
2001-01-09,2.2762,-36.5160,59.3450,57.3544,54.8018,55.4824,56.4313,55.4132,60.2911,65.9014,66.4362,65.8340,60.1458,-1.7239,0.7565,-0.6092,-1.3657,58.5238,60.6854,62.2630,66.2257,56.3459,56.5056,59.8597,67.0564,41.3341,63.0040,61.8604,50.8313,56.3459,61.6517,51.3595,56.5056,66.8231,52.8963,59.8597,85.7554,48.3574,67.0564,57.4028,57.4702,60.1473,63.7795,-108027500.0000,57.5510,56.4886,58.5187,62.2334,2.2312,56.0000,8.0000,24.5352,51.1156,58.1583,56.3608,55.5263,58.6587,-2.9902,1.3005,94.44,95.75,91.44,92.56,58.4361996891,7547100,0.0,1.0
2001-01-10,3.6840,-32.0467,59.5982,57.8557,55.0548,55.4673,57.3192,55.4337,60.1082,65.6192,72.8876,56.9849,48.0869,-1.0459,0.7500,-0.4282,-1.1782,58.5987,60.6735,62.2491,66.1038,56.8907,56.4563,59.8581,66.8740,41.4422,62.9638,62.2648,51.5166,56.8907,61.4862,51.4265,56.4563,66.8222,52.8939,59.8581,85.5280,48.2199,66.8740,57.6917,57.6151,60.1020,63.6847,-100371400.0000,58.0320,56.7253,58.4847,62.0737,4.8160,52.0000,4.0000,23.5134,52.4080,58.5462,56.7425,55.6187,58.5723,-1.8159,2.0960,92.5,94.94,91.69,93.44,58.9917728928,7656100,0.0,1.0
2001-01-11,8.9419,-30.7770,59.7838,58.3059,55.3140,55.4651,58.0111,55.5643,59.9111,65.3442,69.1859,51.5864,46.5266,-0.6856,0.7275,-0.2689,-0.9963,58.6919,60.6667,62.2353,65.9951,57.4589,56.4507,59.8644,66.7061,41.5497,62.9257,62.4533,52.4645,57.4589,61.4680,51.4333,56.4507,66.8254,52.9034,59.8644,85.3330,48.0792,66.7061,57.9568,57.7612,60.0646,63.5949,-90736400.0000,58.4427,56.9818,58.4569,61.9207,5.5797,48.0000,0.0000,22.4339,52.7898,58.8728,57.1040,55.7213,58.4958,-1.1926,4.8550,92.94,94.25,91.25,93.69,59.1496061892,9635000,0.0,1.0
2001-01-12,15.0196,-33.6926,59.8891,58.6905,55.5690,55.4706,58.5202,55.7968,59.7014,65.0747,89.1643,46.4093,44.6143,0.0201,0.6891,-0.1349,-0.8240,58.7790,60.6526,62.2123,65.8855,57.9993,56.5315,59.8068,66.5326,41.6564,62.8887,62.4412,53.5574,57.9993,61.6714,51.3915,56.5315,66.7403,52.8733,59.8068,85.1119,47.9534,66.5326,58.1875,57.9007,60.0317,63.5084,-84288400.0000,58.7639,57.2461,58.4319,61.7726,5.9696,44.0000,0.0000,21.9662,52.9848,59.1256,57.4322,55.8271,58.4254,0.0351,7.7338,93.69,96.44,92.37,93.81,59.2253661716,6448000,0.0,1.0
2001-01-16,4.2135,-39.7050,59.6069,58.8256,55.7356,55.4400,58.8280,56.1081,59.4928,64.8096,62.0849,45.3646,44.9530,0.5412,0.5937,-0.0819,-0.6756,58.7507,60.6427,62.1809,65.7630,58.4886,56.5413,59.7350,66.3529,41.7623,62.8454,61.8615,55.1157,58.4886,61.6958,51.3867,56.5413,66.6445,52.8256,59.7350,84.8896,47.8162,66.3529,58.2545,57.9631,59.9738,63.4103,-89960300.0000,58.8652,57.4389,58.3828,61.6146,1.9634,40.0000,72.0000,21.3497,50.9817,59.0769,57.5957,55.8785,58.3319,0.9470,2.3675,93.75,94.0,91.81,92.75,58.556152994499996,5671900,0.0,1.0
2001-01-17,14.0078,-17.3568,60.5002,59.5741,56.1771,55.5586,59.0427,56.5304,59.2891,64.5488,113.8274,47.8468,53.9732,1.0564,0.6677,0.1591,-0.5087,59.1686,60.6565,62.1718,65.6904,59.2386,56.8216,59.6704,66.1863,41.8676,62.8273,60.6371,57.8402,59.2386,62.3048,51.3383,56.8216,66.4684,52.8724,59.6704,84.6109,47.7617,66.1863,58.7616,58.2565,60.0158,63.3634,-80233300.0000,59.3297,57.8677,58.4341,61.5095,14.8495,36.0000,68.0000,21.6254,57.4247,59.8494,58.1895,56.1214,58.3396,1.8455,7.5002,95.37,97.75,94.31,96.69,61.043605747,9727000,0.0,1.0
2001-01-18,27.8900,-6.0617,64.3724,62.0800,57.4202,56.1028,59.4072,57.0484,59.1030,64.2953,253.9312,55.5955,67.8602,2.0082,1.1519,0.9312,-0.2207,61.0094,61.2058,62.2370,65.7173,60.1029,57.3838,59.7755,66.0831,41.9727,62.8829,65.7855,54.4203,60.1029,64.8336,49.9339,57.3838,66.9365,52.6144,59.7755,84.3412,47.8250,66.0831,60.5103,59.2206,60.3438,63.4628,-54988400.0000,60.9917,58.9685,58.7757,61.5529,39.9279,32.0000,100.0000,23.6187,69.9640,62.8312,60.0323,56.9172,58.6358,3.4914,14.9121,104.37,110.0,103.5,108.31,68.3796973675,25244900,0.0,1.0
2001-01-19,30.4985,-8.9102,67.7237,64.5947,58.7827,56.7367,60.1661,57.6465,58.9387,64.0507,245.1325,69.7804,87.5078,3.0046,1.5155,1.6737,0.1582,63.6612,61.9826,62.3409,65.7651,61.2431,58.0508,59.9153,65.9721,42.0776,62.9564,69.4600,53.0262,61.2431,67.3625,48.7391,58.0508,67.5959,52.2346,59.9153,83.9913,47.9529,65.9721,62.2786,60.2697,60.7317,63.5969,-40226200.0000,62.8341,60.1925,59.1859,61.6352,44.3905,28.0000,100.0000,25.8347,72.1953,65.6242,61.9532,57.8122,58.9970,5.1882,16.4147,107.5,113.94,107.25,111.25,70.2358169341,14762200,0.0,1.0
2001-01-22,27.7176,-17.8205,69.0669,66.1822,59.8519,57.2495,61.2248,58.3104,58.7972,63.8147,192.0053,80.0694,84.8401,3.3813,1.5541,2.1008,0.5467,64.5053,62.6341,62.3944,65.8013,62.1623,58.7629,59.9958,65.8284,42.1823,63.0122,71.3264,52.9982,62.1623,68.9537,48.5721,58.7629,67.9473,52.0443,59.9958,83.5313,48.1255,65.8284,63.4166,61.0571,61.0378,63.6947,-49844700.0000,64.1603,61.1912,59.5240,61.6860,34.5422,24.0000,96.0000,27.8923,67.2711,67.0850,63.2927,58.5269,59.2818,5.8030,14.8742,109.5,109.94,108.19,108.56,68.5375306639,9618500,0.0,1.0
2001-01-23,28.5933,-16.1643,69.9528,67.5235,60.8769,57.7632,62.6308,59.0175,58.6826,63.5883,158.1173,83.9686,79.5579,3.7838,1.5120,2.4367,0.9247,65.3388,63.6001,62.4661,65.8426,63.1409,59.6310,60.1102,65.6791,42.2867,63.0706,72.8479,53.4339,63.1409,70.1489,49.1131,59.6310,68.3965,51.8239,60.1102,83.0220,48.3362,65.6791,64.4051,61.7996,61.3443,63.7969,-40017800.0000,65.3768,62.1522,59.8714,61.7459,35.4238,20.0000,92.0000,29.6185,67.7119,68.2152,64.4941,59.2263,59.5714,6.4458,15.3098,109.56,109.94,107.62,109.06,68.85319725689999,9826900,0.0,1.0
2001-01-24,16.7195,-15.2572,70.7832,68.8016,61.9228,58.3099,64.3432,59.7583,58.5972,63.3726,141.8845,78.9443,72.4348,4.2116,1.4535,2.7416,1.2881,66.3863,64.3794,62.5600,65.8878,64.2697,60.3078,60.2491,65.5547,42.3910,63.1372,74.1497,54.3898,64.2697,71.5683,49.0473,60.3078,68.9330,51.5652,60.2491,82.5988,48.5106,65.5547,65.3722,62.5543,61.6729,63.9142,-33256900.0000,66.5739,63.1135,60.2484,61.8260,37.9096,16.0000,88.0000,31.3761,68.9548,69.2809,65.6751,59.9538,59.8875,7.1217,9.9877,109.06,111.44,108.94,110.44,69.7244370535,6760900,0.0,1.0
2001-01-25,18.8432,-13.9058,71.2749,69.8482,62.9105,58.8488,66.0200,60.5780,58.5428,63.1689,119.9114,72.2122,64.6440,4.5590,1.3414,2.9648,1.6234,67.2163,65.5120,62.7207,65.9376,65.3626,61.1266,60.4733,65.4215,42.4951,63.2050,75.0818,55.6433,65.3626,72.6785,49.5748,61.1266,69.5564,51.3902,60.4733,82.1152,48.7278,65.4215,66.1991,63.2558,61.9964,64.0332,-28274800.0000,67.6012,64.0290,60.6276,61.9124,38.4824,12.0000,84.0000,33.0082,69.2412,70.0737,66.7141,60.6554,60.2028,7.6371,11.0862,110.12,111.12,109.44,110.75,69.9201503411,4982100,0.0,1.0
2001-01-26,21.4787,-4.4167,72.4409,71.2142,64.0669,59.4952,67.4457,61.4658,58.5143,62.9790,118.9670,68.4595,68.2998,5.1217,1.3246,3.2792,1.9546,68.4616,66.9763,62.9142,66.0078,66.6568,62.0578,60.6848,65.2999,42.5990,63.2939,76.1667,57.1469,66.6568,73.9865,50.1292,62.0578,70.3303,51.0392,60.6848,81.6159,48.9838,65.2999,67.2705,64.0974,62.3923,64.1928,-19179600.0000,68.8247,65.0733,61.0833,62.0445,44.5916,8.0000,100.0000,34.9361,72.2958,71.3173,67.9876,61.4842,60.5946,8.4979,12.7466,109.62,115.25,109.19,114.19,72.0919365007,9095200,0.0,1.0
2001-01-29,22.8944,-2.1443,73.3051,72.4040,65.1888,60.1471,68.6371,62.4235,58.5209,62.8019,112.5845,70.0730,77.2751,5.6513,1.2587,3.5279,2.2693,69.5320,68.2312,63.0996,66.0736,67.9933,62.9963,60.8802,65.1986,42.7030,63.3868,76.6701,59.3165,67.9933,75.1367,50.8559,62.9963,71.0714,50.6891,60.8802,81.2037,49.1935,65.1986,68.2378,64.9062,62.7922,64.3590,-14054600.0000,69.9036,66.0764,61.5502,62.1889,45.9198,4.0000,100.0000,36.7496,72.9599,72.3402,69.1579,62.3040,60.9952,9.2836,13.5232,112.5,115.5,112.47,114.98,72.5906897176,5125000,0.0,1.0
