,ADX_14,APO,Aroon Down_25,Aroon Up_25,CCI_20,CMO_14,DEMA_10,DEMA_100,DEMA_20,DEMA_50,EMA_10,EMA_100,EMA_20,EMA_50,FAMA,KAMA_10,KAMA_100,KAMA_20,KAMA_50,MACD,MACD_Hist,MACD_Signal,MAMA,MOM_14,OBV,PPO,ROC_14,RSI_14,Real Lower Band_10,Real Lower Band_100,Real Lower Band_20,Real Lower Band_50,Real Middle Band_10,Real Middle Band_100,Real Middle Band_20,Real Middle Band_50,Real Upper Band_10,Real Upper Band_100,Real Upper Band_20,Real Upper Band_50,SMA_10,SMA_100,SMA_20,SMA_50,SlowD,SlowK,TEMA_10,TEMA_100,TEMA_20,TEMA_50,TRIMA_10,TRIMA_100,TRIMA_20,TRIMA_50,WILLR_14,WMA_10,WMA_100,WMA_20,WMA_50,adjusted_close,close,dividend_amount,high,low,open,split_coefficient,volume
2001-01-04,21.4296,-1.0996,88.0,0.0,24.4717,-5.4311,20.1635,21.9186,19.6545,19.3584,20.5066,27.5829,21.1671,23.7874,20.4338,21.6231,26.0382,22.3702,25.123,-1.0588,0.22,-1.2788,29.2476,-1.0633,76199450.0,-5.1292,-4.7887,47.2844,18.6542,12.265,18.5484,17.5746,20.2356,29.491,20.8054,24.0386,21.817,46.7171,23.0624,30.5027,20.2356,29.491,20.8054,24.0386,41.6246,64.6825,20.5807,19.295,19.8546,19.1675,20.0501,27.9765,20.8085,24.1349,-41.4956,20.2638,25.2216,20.5505,22.4436,21.1399916913,33.8,0.0,35.38,32.69,34.0,1.0,68769000
2001-01-05,20.4302,-0.9218,84.0,0.0,-33.8063,-13.8625,20.0755,21.7354,19.5962,19.2448,20.4239,27.4338,21.0609,23.6409,20.4774,21.6151,25.8301,22.3581,25.0207,-1.0242,0.2037,-1.2278,29.1556,-1.9201,31224750.0,-4.3484,-8.739,43.0687,18.666,12.1266,18.5728,17.3876,20.2431,29.2731,20.8151,23.9145,21.8202,46.4196,23.0573,30.4414,20.2431,29.2731,20.8151,23.9145,58.3342,67.91,20.4126,19.1305,19.8206,19.093,20.0034,27.7603,20.7056,23.9097,-65.0621,20.2304,25.0347,20.4787,22.2872,20.0517199297,32.06,0.0,34.63,31.75,34.06,1.0,44974700
2001-01-08,19.9568,-0.7399,80.0,0.0,-90.6968,-14.4292,19.991,21.5558,19.539,19.1355,20.3426,27.2861,20.9576,23.4972,20.5203,21.5831,25.617,22.345,24.9245,-0.9913,0.1892,-1.1805,29.0638,-0.3127,-13846050.0,-3.5339,-1.5413,42.7854,18.6188,12.0095,18.5465,17.2025,20.1687,29.0485,20.8035,23.7975,21.7186,46.0874,23.0605,30.3925,20.1687,29.0485,20.8035,23.7975,60.4758,48.835,20.2642,18.9712,19.7837,19.0226,20.0167,27.5478,20.5948,23.6778,-66.9255,20.1819,24.8506,20.3988,22.1328,19.9766667047,31.94,0.0,32.31,30.63,31.5,1.0,45070800
2001-01-09,19.1921,-0.584,76.0,0.0,-50.2566,-12.3727,19.9981,21.3903,19.5314,19.0507,20.3113,27.1452,20.8826,23.3668,20.5626,21.5667,25.4143,22.3175,24.7929,-0.9389,0.1933,-1.1322,28.9749,-0.6254,26968350.0,-2.808,-3.0075,43.8137,18.6025,11.9225,18.4861,17.0788,20.1255,28.8207,20.7488,23.6422,21.6486,45.7189,23.0114,30.2055,20.1255,28.8207,20.7488,23.6422,51.7208,38.4174,20.2529,18.8327,19.8136,18.9862,20.1189,27.3389,20.4755,23.4473,-62.1118,20.1823,24.6748,20.3386,21.9906,20.1705542025,32.25,0.0,32.94,31.88,32.53,1.0,40814400
2001-01-10,18.7982,-0.5636,72.0,20.0,-37.8845,-7.3462,20.1636,21.2492,19.616,19.0103,20.371,27.0164,20.8595,23.2598,20.6043,21.562,25.2317,22.2482,24.665,-0.8496,0.2261,-1.0757,28.8915,-0.2752,78462650.0,-2.7134,-1.3158,46.3269,18.6007,11.8847,18.707,17.0412,20.133,28.5891,20.6099,23.475,21.6654,45.2935,22.5129,29.9089,20.133,28.5891,20.6099,23.475,42.9454,41.584,20.4586,18.7302,19.9688,19.0122,20.2346,27.1325,20.3628,23.227,-42.7289,20.2757,24.5128,20.3282,21.8728,20.6396368584,33.0,0.0,33.38,31.13,31.63,1.0,51494300
2001-01-11,17.9661,-0.5513,68.0,16.0,17.189,-4.7887,20.3686,21.1226,19.7376,18.9937,20.4631,26.8948,20.8612,23.1664,20.6453,21.5534,25.0643,22.211,24.5653,-0.7511,0.2597,-1.0108,28.8114,0.9006,143417250.0,-2.6526,4.5085,47.6057,18.5913,11.8777,18.8959,16.9963,20.1843,28.3568,20.5124,23.3299,21.7773,44.8359,22.1288,29.6635,20.1843,28.3568,20.5124,23.3299,44.3366,53.0086,20.7026,18.6487,20.1654,19.0694,20.3134,26.9291,20.2808,23.017,-35.9066,20.4111,24.3601,20.3536,21.771,20.877305404,33.38,0.0,34.25,32.0,32.38,1.0,64954600
2001-01-12,17.2819,-0.4973,64.0,12.0,-17.119,-12.1991,20.2643,20.9703,19.7057,18.9212,20.3962,26.7602,20.7883,23.046,20.6857,21.5265,24.8533,22.1488,24.4348,-0.7277,0.2265,-0.9542,28.7242,-0.6254,92042750.0,-2.4035,-3.0184,43.9004,18.7617,11.8932,18.9817,16.924,20.2587,28.1072,20.407,23.1692,21.7558,44.3213,21.8323,29.4144,20.2587,28.1072,20.407,23.1692,49.3176,53.3604,20.5068,18.528,20.1299,19.04,20.3678,26.7288,20.2279,22.8161,-58.3483,20.3949,24.1965,20.3139,21.6441,20.0955009775,32.13,0.0,33.81,31.81,33.56,1.0,51374500
2001-01-16,17.0237,-0.5499,60.0,8.0,-90.2592,-16.4033,20.0338,20.8052,19.5981,18.82,20.2563,26.6189,20.6776,22.9119,20.7254,21.4866,24.6264,22.0659,24.2873,-0.7385,0.1726,-0.911,28.6332,-0.9757,31741650.0,-2.6589,-4.7359,41.7983,19.107,11.9161,19.0214,16.8377,20.3413,27.8526,20.2897,23.0006,21.5756,43.7891,21.558,29.1634,20.3413,27.8526,20.2897,23.0006,48.9984,40.6263,20.1582,18.388,19.9846,18.9658,20.3872,26.5319,20.2085,22.627,-71.8133,20.2799,24.0286,20.2396,21.5052,19.6264183217,31.38,0.0,32.38,31.0,32.19,1.0,60301100
2001-01-17,17.1696,-0.5293,56.0,4.0,-106.2333,-21.1727,19.6841,20.6246,19.4103,18.6855,20.0417,26.4695,20.5251,22.7615,20.7645,21.463,24.3534,22.0145,24.0812,-0.7824,0.1029,-0.8853,28.5377,-1.4886,24314250.0,-2.5647,-7.2384,39.4136,18.9557,12.001,18.8548,16.7995,20.3063,27.5768,20.229,22.7983,21.6569,43.1526,21.6032,28.7971,20.3063,27.5768,20.229,22.7983,38.2299,20.7031,19.6753,18.2245,19.7282,18.8409,20.3309,26.3376,20.2147,22.4466,-87.6122,20.0499,23.8548,20.124,21.3513,19.0760280055,30.5,0.0,33.06,30.13,33.0,1.0,7427400
2001-01-18,17.3626,-0.3747,52.0,0.0,-73.4908,-8.3839,19.7793,20.4919,19.4454,18.6433,20.0583,26.3441,20.4878,22.6584,20.8029,21.4029,24.1614,21.996,23.957,-0.7236,0.1294,-0.853,28.4536,-0.2314,110947550.0,-1.8196,-1.1364,45.808,19.0453,12.1368,18.8462,16.8282,20.1787,27.3139,20.1959,22.6263,21.3121,42.491,21.5455,28.4244,20.1787,27.3139,20.1959,22.6263,28.4656,24.0674,19.8364,18.1322,19.7984,18.851,20.2329,26.1469,20.2171,22.2733,-57.2711,20.0184,23.7074,20.1149,21.2468,20.13302759,32.19,0.0,32.31,30.0,30.94,1.0,86633300
