,ADX_14,APO,Aroon Down_25,Aroon Up_25,CCI_20,CMO_14,DEMA_10,DEMA_100,DEMA_20,DEMA_50,EMA_10,EMA_100,EMA_20,EMA_50,FAMA,KAMA_10,KAMA_100,KAMA_20,KAMA_50,MACD,MACD_Hist,MACD_Signal,MAMA,MOM_14,OBV,PPO,ROC_14,RSI_14,Real Lower Band_10,Real Lower Band_100,Real Lower Band_20,Real Lower Band_50,Real Middle Band_10,Real Middle Band_100,Real Middle Band_20,Real Middle Band_50,Real Upper Band_10,Real Upper Band_100,Real Upper Band_20,Real Upper Band_50,SMA_10,SMA_100,SMA_20,SMA_50,SlowD,SlowK,TEMA_10,TEMA_100,TEMA_20,TEMA_50,TRIMA_10,TRIMA_100,TRIMA_20,TRIMA_50,WILLR_14,WMA_10,WMA_100,WMA_20,WMA_50,adjusted_close,close,dividend_amount,high,low,open,split_coefficient,volume
2001-01-04,30.6484,-2.0709,68.0,0.0,-13.5595,-12.6455,14.3103,16.5639,14.0145,15.63,14.9068,19.4628,15.8228,17.7831,14.8961,15.3328,19.1894,15.6739,18.1558,-1.2962,0.1433,-1.4395,20.1609,-2.8039,-1386105800.0,-12.5309,-15.3886,43.6772,13.0081,14.2144,12.2559,12.8379,14.3985,19.689,15.717,19.006,15.7888,25.1636,19.1782,25.1741,14.3985,19.689,15.717,19.006,37.025,55.3673,14.8013,16.1732,13.7068,14.6439,14.4091,19.9046,15.3619,19.5736,-55.8632,14.5902,18.7008,15.0036,17.503,15.4169153525,48.44,0.0,50.5,46.88,47.81,1.0,56198500
2001-01-05,29.201,-1.8171,64.0,0.0,-4.5943,-9.6588,14.66,16.4712,14.1529,15.5494,15.0394,19.3871,15.8051,17.6989,14.9222,15.3763,19.1025,15.6727,18.1027,-1.1542,0.2283,-1.3824,20.1157,-2.0274,-1292691200.0,-11.1429,-11.4775,45.1706,13.3209,14.1224,12.3041,12.6901,14.6413,19.6156,15.5967,18.9273,15.9617,25.1088,18.8894,25.1645,14.6413,19.6156,15.5967,18.9273,56.1548,79.7734,15.2393,16.0718,14.0159,14.6053,14.4894,19.8763,15.1442,19.3603,-24.5509,14.8153,18.6206,14.9959,17.3708,15.636520463800002,49.13,0.0,49.88,47.56,48.5,1.0,46707300
2001-01-08,28.093,-1.5102,60.0,0.0,-7.5338,-10.3635,14.9064,16.3795,14.2687,15.4704,15.137,19.3116,15.7832,17.6157,14.9479,15.397,19.0177,15.671,18.0497,-1.0346,0.2783,-1.3129,20.0703,-0.0796,-1372508800.0,-9.3746,-0.5082,44.8182,13.5108,14.0296,12.2929,12.5441,14.8163,19.5434,15.5301,18.8489,16.1218,25.0573,18.7672,25.1538,14.8163,19.5434,15.5301,18.8489,71.1041,78.1715,15.5021,15.9721,14.2692,14.5676,14.5962,19.8478,14.9864,19.1411,-15.3091,14.9853,18.5406,14.9939,17.2394,15.5760494911,48.94,0.0,49.75,46.69,48.94,1.0,39908800
2001-01-09,26.1208,-1.1686,56.0,0.0,45.0885,2.0651,15.3954,16.3269,14.541,15.468,15.3829,19.2557,15.8505,17.5715,14.9733,15.5076,18.9681,15.6802,18.0159,-0.8562,0.3653,-1.2215,20.0345,1.2731,-1257543400.0,-7.2848,8.3665,51.0325,13.342,13.9698,12.3243,12.4479,14.9873,19.4823,15.4882,18.7685,16.6325,24.9949,18.6522,25.0891,14.9873,19.4823,15.4882,18.7685,80.7502,84.3057,16.0817,15.9308,14.7271,14.6406,14.7931,19.819,14.8722,18.9214,-6.6558,15.2895,18.4801,15.0853,17.1469,16.489479447,51.81,0.0,52.63,49.75,50.0,1.0,57482700
2001-01-10,24.5705,-0.8723,52.0,28.0,73.472,6.3016,15.8715,16.2898,14.8434,15.4934,15.646,19.2077,15.9438,17.5424,14.9985,15.6556,18.9275,15.7065,17.9841,-0.6795,0.4336,-1.1131,20.0024,2.5684,-1167313200.0,-5.4535,18.0094,53.1508,13.199,13.9255,12.4809,12.3815,15.1782,19.4229,15.4058,18.6743,17.1575,24.9203,18.3307,24.967,15.1782,19.4229,15.4058,18.6743,82.8073,85.9447,16.6073,15.9122,15.201,14.7509,15.0749,19.7891,14.7985,18.7038,-6.8889,15.6245,18.4276,15.2131,17.0709,16.830026503699997,52.88,0.0,53.81,50.75,51.0,1.0,45115100
2001-01-11,23.6735,-0.6277,48.0,24.0,119.6015,14.2194,16.445,16.2808,15.2314,15.5709,15.984,19.174,16.0925,17.541,15.0234,15.9615,18.9047,15.7317,17.9721,-0.4795,0.5069,-0.9864,19.9775,4.2966,-1065458400.0,-3.9283,32.5301,57.1097,13.0585,13.8989,12.6301,12.3556,15.4507,19.372,15.352,18.5848,17.8428,24.8451,18.0739,24.8139,15.4507,19.372,15.352,18.5848,86.7533,90.0095,17.2397,15.9349,15.7714,14.9333,15.415,19.758,14.7819,18.4894,-4.8575,16.0475,18.3896,15.413,17.025,17.504755251600002,55.0,0.0,55.75,52.31,53.0,1.0,50927400
2001-01-12,22.8406,-0.374,44.0,20.0,118.6309,7.3099,16.7061,16.2539,15.483,15.6087,16.1737,19.1314,16.1815,17.5208,15.048,16.1597,18.8727,15.7515,17.9463,-0.3555,0.5047,-0.8602,19.948,3.2018,-1139170400.0,-2.3522,23.1584,53.6549,13.3375,13.8606,12.7804,12.3169,15.7352,19.3175,15.2923,18.4869,18.1329,24.7744,17.8042,24.6569,15.7352,19.3175,15.2923,18.4869,86.8543,84.6085,17.4147,15.9302,16.1187,15.0517,15.7803,19.7252,14.8257,18.2778,-17.4825,16.3342,18.3432,15.5725,16.9639,17.0273528356,53.5,0.0,55.0,52.5,54.88,1.0,36856000
2001-01-16,21.5782,-0.1611,40.0,16.0,102.7849,3.1007,16.7926,16.2167,15.6487,15.6227,16.2745,19.0839,16.2336,17.4897,15.0723,16.2735,18.8328,15.7638,17.9085,-0.2781,0.4657,-0.7438,19.9158,1.9478,-1207632800.0,-1.0166,13.1783,51.5504,13.9503,13.8192,12.8815,12.2799,16.0274,19.258,15.2455,18.3783,18.1044,24.6968,17.6095,24.4768,16.0274,19.258,15.2455,18.3783,81.9528,71.2403,17.3607,15.9095,16.3266,15.1309,16.1355,19.6905,14.9327,18.072,-24.7863,16.5148,18.2919,15.7093,16.895,16.728180655,52.56,0.0,53.5,51.13,53.38,1.0,34231200
2001-01-17,20.8271,0.0634,36.0,12.0,115.1775,4.7276,16.8883,16.1858,15.8161,15.6467,16.379,19.0396,16.2922,17.4646,15.0964,16.3916,18.7977,15.784,17.8748,-0.2046,0.4313,-0.636,19.8851,1.9287,-1134788600.0,0.4004,12.9266,52.3638,14.8346,13.7815,12.8445,12.2636,16.3316,19.2013,15.3052,18.2678,17.8286,24.6211,17.7659,24.2719,16.3316,19.2013,15.3052,18.2678,70.3717,55.2663,17.346,15.8979,16.5278,15.2213,16.4436,19.6538,15.1026,17.8735,-21.8337,16.6642,18.2442,15.862,16.835,16.8491226003,52.94,0.0,54.88,52.56,53.63,1.0,36422100
2001-01-18,20.5093,0.3719,32.0,8.0,123.4448,15.0726,17.2205,16.1884,16.1103,15.7333,16.6126,19.0124,16.4228,17.4724,15.1202,16.6156,18.7803,15.8643,17.8702,-0.0798,0.445,-0.5247,19.8629,2.8835,-1024999800.0,2.345,19.509,57.5363,15.0695,13.7676,12.7618,12.2622,16.5722,19.1516,15.4276,18.1866,18.075,24.5356,18.0933,24.111,16.5722,19.1516,15.4276,18.1866,61.8352,58.999,17.6756,15.9353,16.9022,15.4003,16.6902,19.6156,15.311,17.6815,-5.1841,16.9064,18.2137,16.0867,16.8113,17.6638893902,55.5,0.0,56.19,52.63,53.69,1.0,54894400
2001-01-19,21.4387,0.8033,28.0,100.0,189.0616,32.1249,18.0362,16.2601,16.6827,15.9508,17.122,19.0203,16.7077,17.5486,15.1439,17.2846,18.7866,16.2807,17.8915,0.1586,0.5467,-0.3881,19.8584,5.2323,-815651000.0,5.0531,36.8941,66.0624,14.8944,13.7783,12.5631,12.3042,16.972,19.121,15.6852,18.1325,19.0495,24.4637,18.8073,23.9608,16.972,19.121,15.6852,18.1325,63.188,75.2986,18.6591,16.0745,17.6594,15.7668,16.948,19.5767,15.5555,17.4958,-2.3707,17.4232,18.2189,16.4664,16.8595,19.4143649154,61.0,0.0,61.44,58.88,60.0,1.0,104674400
2001-01-22,22.3018,1.1051,24.0,96.0,156.1496,27.7551,18.5362,16.3193,17.1259,16.1356,17.4885,19.0226,16.9391,17.6109,15.1675,17.6312,18.7905,16.757,17.9123,0.3215,0.5676,-0.2462,19.8512,5.331,-892324000.0,6.9429,38.6123,63.8776,15.0886,13.7912,12.7332,12.3612,17.3221,19.0854,15.9817,18.0665,19.5555,24.3796,19.2301,23.7718,17.3221,19.0854,15.9817,18.0665,74.6981,89.7966,19.1552,16.1932,18.2011,16.0765,17.2065,19.5367,15.8213,17.3169,-7.0582,17.8169,18.2193,16.7951,16.8989,19.1374715141,60.13,0.0,61.0,59.0,60.75,1.0,38336500
2001-01-23,23.0774,1.3861,20.0,92.0,139.3898,29.0049,18.9361,16.3827,17.5317,16.3214,17.8132,19.0276,17.1615,17.6761,15.1908,17.9612,18.7956,17.1513,17.9321,0.4563,0.562,-0.1057,19.8454,5.4678,-822028800.0,8.6857,39.6035,64.5025,15.5133,13.8048,12.8638,12.4107,17.6919,19.0524,16.2541,18.01,19.8705,24.3,19.6444,23.6093,17.6919,19.0524,16.2541,18.01,85.378,91.0388,19.504,16.3164,18.6705,16.3804,17.5036,19.4956,16.0986,17.147,-4.8061,18.1718,18.223,17.1087,16.9462,19.2743268734,60.56,0.0,60.94,58.94,59.75,1.0,35147600
2001-01-24,24.3152,1.6613,16.0,100.0,151.0119,35.6412,19.4654,16.4745,18.0171,16.5557,18.2166,19.0475,17.4349,17.7685,15.2141,18.3659,18.8057,17.59,17.9593,0.6172,0.5783,0.0389,19.8473,4.774,-711573800.0,10.3511,31.2891,67.8206,15.6262,13.8186,12.8237,12.4808,18.0461,19.0299,16.5167,17.9595,20.4661,24.2412,20.2097,23.4382,18.0461,19.0299,16.5167,17.9595,90.585,90.9195,20.033,16.4799,19.2393,16.7487,17.8683,19.4538,16.3922,16.9907,-2.9851,18.5973,18.2424,17.4685,17.0255,20.031805373399997,62.94,0.0,63.44,60.75,61.0,1.0,55227500
2001-01-25,25.5731,1.8481,12.0,100.0,134.4822,29.4539,19.7195,16.5499,18.3675,16.7496,18.4812,19.0599,17.648,17.8432,15.2373,18.5413,18.8133,17.8491,17.9765,0.7076,0.5349,0.1727,19.8455,4.2552,-797231200.0,11.4056,27.6012,64.727,15.881,13.831,12.895,12.5134,18.3303,19.0044,16.7543,17.9241,20.7796,24.1779,20.6136,23.3348,18.3303,19.0044,16.7543,17.9241,87.6185,80.8971,20.1753,16.6171,19.5976,17.0497,18.288,19.4111,16.6962,16.8518,-12.6516,18.8929,18.2551,17.769,17.0927,19.67216222,61.81,0.0,64.0,61.56,62.75,1.0,42828700
2001-01-26,26.4703,1.9733,8.0,100.0,126.3391,35.5864,20.1185,16.651,18.7926,16.9867,18.8245,19.0858,17.9071,17.9422,15.2603,18.7883,18.825,18.2237,17.9917,0.8259,0.5226,0.3033,19.8508,4.7326,-704151200.0,12.0307,30.2666,67.7932,15.9595,13.8473,12.982,12.5306,18.6168,18.9847,17.0337,17.9086,21.274,24.1221,21.0854,23.2865,18.6168,18.9847,17.0337,17.9086,84.6976,82.2761,20.537,16.7904,20.0557,17.4077,18.7117,19.3684,17.0087,16.7319,-1.7594,19.2636,18.2822,18.1133,17.1886,20.3691697473,64.0,0.0,64.31,61.0,61.0,1.0,46540000
2001-01-29,27.3727,2.0404,4.0,100.0,124.0127,36.9343,20.4465,16.7557,19.1838,17.223,19.1343,19.1144,18.1568,18.0436,15.2833,19.1516,18.8372,18.68,18.0133,0.9218,0.4948,0.427,19.8575,4.9523,-619167400.0,12.26,31.794,68.4672,16.317,13.8637,13.2487,12.5714,18.9669,18.9668,17.351,17.8811,21.6167,24.07,21.4534,23.1909,18.9669,18.9668,17.351,17.8811,82.0956,83.1137,20.8038,16.9671,20.4546,17.7571,19.1182,19.3257,17.3284,16.6338,-0.807,19.6112,18.3127,18.4461,17.2913,20.528303885899998,64.5,0.0,64.62,63.5,63.56,1.0,42491900
2001-01-30,27.8861,1.9948,0.0,100.0,103.1473,30.354,20.5509,16.8439,19.4515,17.4189,19.3229,19.1353,18.3487,18.1271,15.3062,19.3549,18.8471,18.9778,18.0383,0.9581,0.4249,0.5332,19.8607,3.6824,-676444200.0,11.7963,22.3316,65.177,17.0477,13.8774,13.732,12.6381,19.3112,18.9476,17.6693,17.8386,21.5747,24.0177,21.6066,23.0392,19.3112,18.9476,17.6693,17.8386,83.7816,85.9548,20.7743,17.117,20.6699,18.0399,19.4842,19.2823,17.6535,16.5589,-9.7857,19.8303,18.3366,18.7148,17.3811,20.171843415399998,63.38,0.0,64.75,62.88,64.5,1.0,28638400
2001-01-31,27.4365,1.9797,20.0,96.0,72.7417,17.7332,20.3642,16.901,19.5433,17.5471,19.343,19.1412,18.452,18.1783,15.329,19.363,18.8525,19.0434,18.0566,0.9167,0.3068,0.6099,19.8564,2.6034,-758343000.0,11.5591,15.469,58.8666,18.0085,13.8926,14.3696,12.7,19.5697,18.9189,17.9506,17.7885,21.1309,23.9452,21.5317,22.8769,19.5697,18.9189,17.9506,17.7885,74.7159,55.0791,20.3778,17.2188,20.6352,18.2178,19.7454,19.2378,17.9755,16.5042,-27.0925,19.8525,18.3462,18.8828,17.4437,19.433461012000002,61.06,0.0,63.75,61.0,63.0,1.0,40949400
2001-02-01,26.7315,2.045,16.0,92.0,63.77,22.3403,20.3473,16.9733,19.6936,17.7007,19.4358,19.1553,18.5855,18.244,15.3516,19.4065,18.8604,19.142,18.0769,0.9073,0.2379,0.6694,19.8564,2.3488,-686550200.0,11.806,13.4182,61.1702,18.8803,13.9067,14.7327,12.7638,19.7886,18.8969,18.1804,17.7459,20.697,23.8871,21.6282,22.728,19.7886,18.8969,18.1804,17.7459,59.5798,37.7055,20.2686,17.3418,20.6967,18.4295,19.9065,19.1926,18.2898,16.4681,-17.4009,19.9041,18.3647,19.064,17.5247,19.8535751381,62.38,0.0,62.63,60.38,60.81,1.0,35896400
2001-02-02,26.3203,2.0832,12.0,88.0,55.9611,14.152,20.1545,17.0243,19.7275,17.8073,19.4209,19.1593,18.6587,18.2875,15.3741,19.4062,18.8646,19.161,18.0909,0.8497,0.1443,0.7055,19.8514,2.3265,-757650200.0,11.9094,13.6636,57.076,18.8636,13.9169,15.14,12.8102,19.7826,18.8714,18.3773,17.7053,20.7016,23.8259,21.6146,22.6005,19.7826,18.8714,18.3773,17.7053,37.2845,19.0688,19.9446,17.4317,20.5995,18.5682,19.9669,19.1467,18.5817,16.4499,-28.928,19.825,18.3738,19.1758,17.5877,19.3538939427,60.81,0.0,63.38,60.75,62.5,1.0,35550000
