,ADX_14,APO,Aroon Down_25,Aroon Up_25,CCI_20,CMO_14,DEMA_10,DEMA_100,DEMA_20,DEMA_50,EMA_10,EMA_100,EMA_20,EMA_50,FAMA,KAMA_10,KAMA_100,KAMA_20,KAMA_50,MACD,MACD_Hist,MACD_Signal,MAMA,MOM_14,OBV,PPO,ROC_14,RSI_14,Real Lower Band_10,Real Lower Band_100,Real Lower Band_20,Real Lower Band_50,Real Middle Band_10,Real Middle Band_100,Real Middle Band_20,Real Middle Band_50,Real Upper Band_10,Real Upper Band_100,Real Upper Band_20,Real Upper Band_50,SMA_10,SMA_100,SMA_20,SMA_50,SlowD,SlowK,TEMA_10,TEMA_100,TEMA_20,TEMA_50,TRIMA_10,TRIMA_100,TRIMA_20,TRIMA_50,WILLR_14,WMA_10,WMA_100,WMA_20,WMA_50,adjusted_close,close,dividend_amount,high,low,open,split_coefficient,volume
2001-01-04,16.1627,1.7160,28.0000,96.0000,186.4085,18.0412,103.8562,89.0279,97.1955,88.2298,99.1115,117.9950,96.9112,102.8503,103.3760,96.5495,118.1956,98.5817,103.5392,0.9838,2.7489,-1.7651,130.0101,13.7842,-94810272.0000,1.8402,14.6123,59.0206,77.8132,64.4425,78.3437,80.7992,95.8189,122.8262,93.7366,100.1697,113.8247,181.2098,109.1295,119.5402,95.8189,122.8262,93.7366,100.1697,68.1064,70.4722,107.5801,86.3089,102.1749,91.0491,95.7611,118.1558,92.1654,98.6871,-19.1933,99.9018,107.6106,96.0438,96.9195,108.11689026799999,23.06,0.0,23.87,22.62,22.94,1.0,45399900
2001-01-05,16.3751,2.3872,24.0000,92.0000,95.4429,2.9052,103.0722,88.8704,97.6107,88.5339,99.1547,117.6258,97.1434,102.7130,103.5077,96.6597,117.7292,98.6033,103.5080,1.0006,2.2126,-1.2120,129.7035,4.6885,-99654872.0000,2.5576,4.9529,51.4526,80.1532,64.2651,79.7370,80.7416,97.1083,122.1488,94.5372,100.0220,114.0634,180.0325,109.3374,119.3025,97.1083,122.1488,94.5372,100.0220,67.2181,62.0617,105.4421,86.4127,102.2815,91.6668,97.7912,117.2644,92.6612,98.1464,-45.2017,100.5437,107.1457,96.5784,96.8873,99.34938875889999,21.19,0.0,23.0,21.12,22.87,1.0,33912200
2001-01-08,16.1726,3.1020,20.0000,88.0000,70.0597,6.7609,103.2922,88.8261,98.4427,89.0332,99.6675,117.3158,97.6035,102.6841,103.6373,97.0703,117.3553,98.7166,103.5000,1.2119,1.9391,-0.7272,129.4263,10.8304,-97119872.0000,3.3168,11.8827,53.3805,85.3041,64.2009,81.3351,80.7855,99.1009,121.4922,95.4832,100.0729,112.8977,178.7835,109.6312,119.3603,99.1009,121.4922,95.4832,100.0729,58.4695,42.8745,104.9918,86.6775,103.0050,92.5508,99.6854,116.3976,93.3098,97.6330,-37.4131,101.4285,106.7462,97.2867,96.9639,101.974950708,21.75,0.0,21.94,20.56,21.12,1.0,17745000
2001-01-09,15.8477,3.8603,16.0000,84.0000,27.0714,-1.2341,101.7531,88.5938,98.2542,89.1319,99.1834,116.9136,97.5465,102.4613,103.7646,97.0686,116.8084,98.6963,103.4587,0.9671,1.3555,-0.3883,129.1020,6.7514,-101808472.0000,4.1223,7.4805,49.3829,88.2333,64.1127,81.8906,80.6742,100.0105,120.7592,95.8297,99.9719,111.7876,177.4056,109.7688,119.2696,100.0105,120.7592,95.8297,99.9719,42.8753,23.6897,102.2803,86.6543,102.2631,92.8202,101.2185,115.5557,94.0503,97.1439,-52.1558,101.0475,106.2613,97.4317,96.8436,97.00513701850001,20.69,0.0,21.44,20.37,21.0,1.0,32820200
2001-01-10,15.1408,4.8211,12.0000,80.0000,24.2568,2.4758,101.3407,88.4659,98.5139,89.4153,99.2136,116.5658,97.7182,102.3393,103.8898,97.1068,116.3496,98.7002,103.4366,0.9514,1.0718,-0.1204,128.8045,8.2049,-96447872.0000,5.1220,9.0021,51.2379,89.5206,64.1613,81.9168,80.6257,100.5684,120.0379,95.7389,99.9122,111.6162,175.9145,109.5611,119.1988,100.5684,120.0379,95.7389,99.9122,31.1093,26.7636,101.4101,86.7803,102.2205,93.3486,102.0593,114.7393,94.8612,96.6987,-45.2017,100.9273,105.8373,97.7669,96.8192,99.34938875889999,21.19,0.0,21.37,19.81,20.31,1.0,37524200
2001-01-11,15.2158,5.4550,8.0000,76.0000,79.3798,9.1452,102.4403,88.5182,99.5250,90.0275,100.0311,116.3113,98.2889,102.3931,104.0131,97.1963,116.0539,98.7597,103.4379,1.2760,1.1171,0.1589,128.5536,17.2537,-89078072.0000,5.7537,19.9566,54.5726,89.8400,64.3027,81.8141,80.6242,101.0044,119.3808,96.0557,99.8808,112.1689,174.4589,110.2973,119.1373,101.0044,119.3808,96.0557,99.8808,29.8072,38.9684,102.7278,87.1668,103.2772,94.3431,102.1094,113.9495,95.7789,96.3015,-32.2670,101.4984,105.5140,98.5260,96.9681,103.709696996,22.12,0.0,22.62,20.31,21.0,1.0,51588600
2001-01-12,15.2855,5.7139,4.0000,72.0000,87.9545,9.1452,103.2183,88.5744,100.3906,90.6137,100.6999,116.0617,98.8051,102.4447,104.1346,97.3244,115.7702,98.8471,103.4409,1.5158,1.0855,0.4303,128.3051,21.6609,-89078072.0000,5.9908,26.4000,54.5726,90.6032,64.4563,81.9278,80.9371,101.6186,118.7354,96.5246,99.6210,112.6340,173.0146,111.1213,118.3049,101.6186,118.7354,96.5246,99.6210,42.8674,62.8701,103.5429,87.5495,104.1015,95.2736,102.0125,113.1797,96.7345,95.9609,-34.3704,101.9903,105.2037,99.2549,97.1182,103.709696996,22.12,0.0,22.37,21.44,21.81,1.0,24890600
2001-01-16,14.9969,5.1106,0.0000,68.0000,54.3777,1.6064,102.4070,88.4744,100.3894,90.8613,100.5055,115.7364,98.8838,102.3343,104.2540,97.3580,115.3576,98.8548,103.3961,1.3610,0.7446,0.6164,128.0184,11.7213,-91603672.0000,5.3233,13.3333,50.8032,91.8791,64.6285,82.1425,81.0959,102.0875,118.0259,96.7731,99.3386,112.2959,171.4232,111.4036,117.5813,102.0875,118.0259,96.7731,99.3386,56.8201,68.6219,102.1678,87.6907,103.6746,95.6824,101.7780,112.4246,97.7033,95.6970,-56.6607,101.6289,104.8254,99.5508,97.1186,99.6306989677,21.25,0.0,22.31,21.0,22.19,1.0,17679200
2001-01-17,15.1884,4.8954,36.0000,64.0000,98.6663,10.6929,103.6165,88.6015,101.3936,91.5323,101.3609,115.5279,99.4863,102.4471,104.3717,97.5992,115.1252,99.0181,103.4122,1.6693,0.8423,0.8270,127.7903,11.4399,-87518872.0000,5.0543,12.2000,55.3465,93.9779,64.9733,82.6447,81.3686,103.1143,117.3721,97.4763,99.1444,112.2506,169.7709,112.3079,116.9201,103.1143,117.3721,97.4763,99.1444,67.6501,71.4583,103.7105,88.1622,104.7294,96.7007,101.5827,111.6879,98.7629,95.5037,-41.4938,102.1966,104.5716,100.3543,97.3489,105.21001811,22.44,0.0,23.06,21.75,22.0,1.0,28593600
2001-01-18,15.8901,5.4845,32.0000,60.0000,135.8060,20.6413,106.8037,89.0059,103.5261,92.7136,103.3394,115.4629,100.7012,102.8312,104.4880,97.6835,115.0737,99.5714,103.4771,2.4528,1.3007,1.1522,127.6348,12.8934,-83260572.0000,5.6131,12.9778,60.3207,94.2551,65.3049,82.8177,81.7674,103.0299,116.8499,98.5758,99.0028,111.8046,168.3950,114.3339,116.2382,103.0299,116.8499,98.5758,99.0028,72.3093,76.8475,107.8695,89.0354,107.3744,98.4451,101.7483,110.9703,99.7803,95.3657,-10.7991,103.8563,104.4700,101.7606,97.8625,112.24277333100001,23.94,0.0,24.0,22.12,22.44,1.0,29808100
