,ADX_14,APO,Aroon Down_25,Aroon Up_25,CCI_20,CMO_14,DEMA_10,DEMA_100,DEMA_20,DEMA_50,EMA_10,EMA_100,EMA_20,EMA_50,FAMA,KAMA_10,KAMA_100,KAMA_20,KAMA_50,MACD,MACD_Hist,MACD_Signal,MAMA,MOM_14,OBV,PPO,ROC_14,RSI_14,Real Lower Band_10,Real Lower Band_100,Real Lower Band_20,Real Lower Band_50,Real Middle Band_10,Real Middle Band_100,Real Middle Band_20,Real Middle Band_50,Real Upper Band_10,Real Upper Band_100,Real Upper Band_20,Real Upper Band_50,SMA_10,SMA_100,SMA_20,SMA_50,SlowD,SlowK,TEMA_10,TEMA_100,TEMA_20,TEMA_50,TRIMA_10,TRIMA_100,TRIMA_20,TRIMA_50,WILLR_14,WMA_10,WMA_100,WMA_20,WMA_50,adjusted_close,close,dividend_amount,high,low,open,split_coefficient,volume
2001-01-04,19.0216,-2.2548,8.0000,36.0000,-39.6858,-3.7429,52.0115,66.7848,50.2882,51.6411,53.2764,71.2284,55.2032,64.4172,38.7625,54.5428,82.7908,59.4019,67.3459,-3.3794,0.6416,-4.0210,68.3086,-5.2592,61070250.0000,-4.1321,-8.7560,48.1286,40.5841,36.2873,41.0977,27.5850,52.3872,81.3973,56.6965,65.8509,64.1902,126.5074,72.2953,104.1167,52.3872,81.3973,56.6965,65.8509,40.8103,47.0590,52.2610,54.3534,52.6290,44.6722,54.0329,88.4424,54.9621,60.5496,-30.7030,53.0055,73.1534,54.0598,57.7212,54.8045703108,66.38,0.0,67.23,60.5,60.77,1.0,13012700
2001-01-05,19.1717,-3.0923,4.0000,32.0000,-89.0059,-16.1000,49.5397,65.8484,48.9242,50.6570,51.7904,70.7110,54.2414,63.6598,38.9090,54.4935,82.4029,58.9494,66.4265,-3.8046,0.1731,-3.9777,68.0765,-11.9715,50515050.0000,-5.6589,-20.9750,41.9500,40.8475,35.4310,39.7090,28.0319,52.4598,81.0991,55.7986,64.5452,64.0721,126.7672,71.8883,101.0586,52.4598,81.0991,55.7986,64.5452,44.3486,52.9872,48.9373,53.2524,50.6782,43.7436,53.6099,87.8071,54.1852,59.7228,-72.8479,51.6812,72.4347,52.9557,56.9076,45.1035504079,54.63,0.0,66.0,54.31,64.81,1.0,10555200
2001-01-08,19.7613,-3.5692,0.0000,28.0000,-121.6802,-14.3376,48.0959,64.9830,47.9691,49.8233,50.7712,70.2254,53.4741,62.9745,39.0538,54.4455,82.0802,58.5994,65.7372,-4.0080,-0.0242,-3.9838,67.8576,-7.6370,62194350.0000,-6.5092,-14.1893,42.8312,41.2145,34.7154,38.6713,28.1050,52.5680,80.8597,54.9961,63.4495,63.9215,127.0039,71.3209,98.7939,52.5680,80.8597,54.9961,63.4495,49.0288,47.0401,47.2556,52.2642,49.3862,43.0383,52.4439,87.1364,53.5880,59.0106,-68.1492,50.5403,71.7433,52.0402,56.1876,46.18511092479999,55.94,0.0,55.94,48.19,53.06,1.0,11679300
2001-01-09,20.0829,-3.8005,84.0000,24.0000,-116.4717,-19.0739,45.7862,63.9923,46.4687,48.7502,49.2334,69.6727,52.4111,62.1643,39.1965,53.7229,81.6536,57.4677,64.9497,-4.4306,-0.3575,-4.0731,67.6022,-11.9219,47668550.0000,-6.9237,-21.9820,40.4631,38.6587,33.7891,38.2764,27.8235,51.1124,80.5465,53.5125,62.3671,63.5661,127.3038,68.7485,96.9106,51.1124,80.5465,53.5125,62.3671,43.5730,30.6916,44.4672,51.0960,47.3550,41.9789,51.0095,86.4325,53.0142,58.3876,-84.9713,48.6758,70.9800,50.8322,55.3587,42.3129591508,51.25,0.0,57.75,50.0,55.94,1.0,14525800
2001-01-10,20.5555,-3.7554,80.0000,20.0000,-97.9577,-11.7130,45.5417,63.2000,45.9801,48.0793,48.7542,69.2157,51.8575,61.5538,39.3375,53.5066,81.2765,56.9606,64.3178,-4.3694,-0.2370,-4.1324,67.3921,-3.0465,63707250.0000,-6.8316,-6.1367,44.1435,37.9316,32.9914,38.7873,28.3213,50.1580,80.2322,52.3591,61.2680,62.3844,127.4731,65.9308,94.2147,50.1580,80.2322,52.3591,61.2680,37.8862,35.9268,44.6546,50.2303,46.8408,41.5155,49.8470,85.6980,52.4910,57.8426,-66.3558,47.8550,70.3078,50.1737,54.7403,46.597920282299995,56.44,0.0,57.25,47.75,49.38,1.0,16038700
2001-01-11,20.1644,-4.4174,76.0000,16.0000,-32.9479,-6.2610,46.5047,62.5617,46.1848,47.7117,48.9626,68.8333,51.6711,61.0968,39.4769,53.4137,80.9702,56.7250,63.9887,-4.0082,0.0993,-4.1076,67.2172,5.5234,76924850.0000,-8.0239,12.4465,46.8695,38.3817,32.3331,39.9779,28.2986,49.3068,79.9556,51.4406,60.5124,60.2319,127.5782,62.9033,92.7262,49.3068,79.9556,51.4406,60.5124,37.1390,44.7985,46.3963,49.5982,47.3174,41.4910,48.6311,84.9395,52.0135,57.3536,-52.0086,47.8081,69.7071,49.9396,54.2945,49.9003951429,60.44,0.0,63.81,54.56,55.0,1.0,13217600
2001-01-12,19.8013,-4.3524,72.0000,12.0000,-38.3786,-9.0224,46.6312,61.8687,46.0401,47.2290,48.7863,68.4206,51.3208,60.5830,39.6146,53.2031,80.6231,56.5344,63.4496,-3.8317,0.2207,-4.0524,67.0250,2.8897,65624150.0000,-8.0143,6.4067,45.4888,39.7602,31.6030,40.0000,28.9736,48.1204,79.6481,50.8371,59.5073,56.4805,127.6932,61.6741,90.0410,48.1204,79.6481,50.8371,59.5073,46.7725,59.5922,46.7901,48.8871,47.2509,41.2823,47.6319,84.1573,51.5176,56.8726,-60.2941,47.5693,69.0742,49.6112,53.8036,47.9932159109,58.13,0.0,61.13,56.13,59.5,1.0,11300700
2001-01-16,19.4641,-4.6412,68.0000,8.0000,-36.9628,-9.0224,46.7608,61.1975,45.9394,46.7846,48.6421,68.0161,51.0039,60.0893,39.7507,53.1169,80.2860,56.3915,63.0097,-3.6497,0.3221,-3.9719,66.8347,-8.8754,65624150.0000,-8.6381,-15.6069,45.4888,39.9138,30.8933,39.8734,29.2875,47.6200,79.3488,50.3830,58.6541,55.3263,127.8043,60.8926,88.0207,47.6200,79.3488,50.3830,58.6541,56.8857,66.2665,47.1149,48.2115,47.2305,41.1185,47.1847,83.3507,50.9782,56.4238,-60.2941,47.5462,68.4474,49.3404,53.3520,47.9932159109,58.13,0.0,60.19,56.13,58.19,1.0,6690500
2001-01-17,18.3646,-4.8969,64.0000,4.0000,34.3845,-1.5153,48.2530,60.7092,46.6245,46.6937,49.2747,67.7013,51.1103,59.7768,39.8854,53.0740,79.9912,56.3665,62.7633,-3.1363,0.6685,-3.8047,66.6875,-4.0208,77229450.0000,-9.1805,-7.1618,49.2423,41.2944,30.2919,39.8739,29.7068,48.5852,79.0444,50.2979,57.9479,55.8759,127.7969,60.7220,86.1889,48.5852,79.0444,50.2979,57.9479,65.5530,70.8001,49.2461,47.8103,48.3160,41.4626,47.2914,82.5253,50.5636,55.9883,-42.3601,48.3646,67.9082,49.5059,53.0959,52.1213094866,63.13,0.0,66.25,62.13,63.63,1.0,11605300
2001-01-18,17.0652,-4.0509,60.0000,0.0000,57.8578,4.4105,50.5207,60.3721,47.8611,46.8835,50.4198,67.4612,51.5353,59.6119,40.0189,53.1061,79.7489,56.3621,62.6087,-2.4229,1.1054,-3.5284,66.5764,-2.8401,88250550.0000,-7.6855,-4.8622,52.2053,40.7872,29.7957,39.8240,30.5011,48.8585,78.7605,50.3648,57.2694,56.9297,127.7253,60.9056,84.0376,48.8585,78.7605,50.3648,57.2694,72.0911,79.2066,52.2516,47.6336,50.1260,42.1983,47.7026,81.6847,50.2770,55.5548,-27.3673,49.6350,67.4434,50.0083,53.0027,55.5723957159,67.31,0.0,68.75,60.75,64.42,1.0,11021100
