,ADX_14,APO,Aroon Down_25,Aroon Up_25,CCI_20,CMO_14,DEMA_10,DEMA_100,DEMA_20,DEMA_50,EMA_10,EMA_100,EMA_20,EMA_50,FAMA,KAMA_10,KAMA_100,KAMA_20,KAMA_50,MACD,MACD_Hist,MACD_Signal,MAMA,MOM_14,OBV,PPO,ROC_14,RSI_14,Real Lower Band_10,Real Lower Band_100,Real Lower Band_20,Real Lower Band_50,Real Middle Band_10,Real Middle Band_100,Real Middle Band_20,Real Middle Band_50,Real Upper Band_10,Real Upper Band_100,Real Upper Band_20,Real Upper Band_50,SMA_10,SMA_100,SMA_20,SMA_50,SlowD,SlowK,TEMA_10,TEMA_100,TEMA_20,TEMA_50,TRIMA_10,TRIMA_100,TRIMA_20,TRIMA_50,WILLR_14,WMA_10,WMA_100,WMA_20,WMA_50,adjusted_close,close,dividend_amount,high,low,open,split_coefficient,volume
2001-01-04,28.1281,-0.8304,68.0,0.0,43.1588,3.6523,5.5564,7.6793,5.1003,5.7319,5.6736,8.349,6.0589,7.4094,4.4586,6.1676,9.0129,6.7351,7.8523,-0.6509,0.1956,-0.8464,8.0445,-0.1532,288703656.0,-13.4017,-2.2406,51.8261,3.9822,5.024,4.0427,3.9123,5.2986,9.4669,5.9254,7.8709,6.6151,13.9097,7.8081,11.8294,5.2986,9.4669,5.9254,7.8709,48.6943,64.2907,5.9444,6.1198,5.2365,4.8166,5.2591,9.8419,5.7104,7.9429,-6.1664,5.5166,8.3643,5.6285,6.8772,6.68420869031,43.63,0.0,44.63,37.38,38.44,1.0,3397700
2001-01-05,26.5446,-0.7661,64.0,0.0,4.9553,-8.881,5.5806,7.588,5.1233,5.6649,5.6752,8.2962,6.023,7.3416,4.4764,6.158,8.9665,6.7247,7.7979,-0.6054,0.1929,-0.7982,8.0209,-0.6848,277884462.0,-12.5354,-10.7555,45.5595,4.0755,4.9191,4.017,3.8295,5.3785,9.424,5.8935,7.7827,6.6814,13.929,7.7701,11.7358,5.3785,9.424,5.8935,7.7827,63.2727,81.6976,5.9165,6.0216,5.2997,4.7862,5.3522,9.7775,5.6037,7.8063,-44.0163,5.5864,8.2894,5.6054,6.7913,5.68226679633,37.09,0.0,43.44,36.25,43.25,1.0,1803200
2001-01-08,25.1093,-0.6589,60.0,28.0,16.1225,-1.7119,5.7794,7.5208,5.2456,5.6448,5.7751,8.2551,6.0422,7.2978,4.4941,6.1623,8.9247,6.7226,7.7717,-0.5196,0.2229,-0.7425,8.0029,0.4887,292228654.0,-10.8611,8.5203,49.1441,4.4157,4.8377,4.0173,3.7677,5.5738,9.3772,5.8945,7.7229,6.7319,13.9167,7.7717,11.6781,5.5738,9.3772,5.8945,7.7229,73.4898,74.4811,6.1352,5.9598,5.4984,4.8232,5.4641,9.712,5.5279,7.6738,-23.3508,5.7402,8.226,5.6369,6.7302,6.22460231693,40.63,0.0,42.25,36.06,36.06,1.0,2390700
2001-01-09,23.7766,-0.5424,56.0,24.0,42.9633,-0.0879,5.9682,7.4606,5.377,5.6366,5.8794,8.2174,6.0714,7.2606,4.5115,6.168,8.8841,6.7152,7.7457,-0.4365,0.2448,-0.6813,7.9864,0.4244,299801250.0,-8.9324,7.1632,49.956,4.4359,4.7644,4.1126,3.7215,5.6715,9.3288,5.8309,7.6578,6.9072,13.8933,7.5491,11.5941,5.6715,9.3288,5.8309,7.6578,75.401,70.0244,6.3285,5.9085,5.6984,4.8752,5.6097,9.6458,5.4784,7.5453,-18.6223,5.8811,8.1661,5.6802,6.6763,6.348696037740001,41.44,0.0,42.25,39.19,41.19,1.0,1262100
2001-01-10,22.1268,-0.3315,52.0,20.0,77.6978,5.6594,6.2526,7.4195,5.5732,5.664,6.0446,8.1891,6.1397,7.2421,4.5288,6.2047,8.8527,6.7161,7.7318,-0.3314,0.2799,-0.6113,7.9744,1.3114,309624445.0,-5.4605,23.9441,52.8297,4.4895,4.7097,4.2121,3.6936,5.8352,9.2828,5.7892,7.6059,7.1808,13.8558,7.3663,11.5182,5.8352,9.2828,5.7892,7.6059,76.2097,84.1237,6.6448,5.8856,5.9797,4.9766,5.8079,9.5793,5.4643,7.4208,-1.8681,6.0842,8.1158,5.7713,6.6422,6.78838613495,44.31,0.0,44.5,38.38,39.31,1.0,1637200
2001-01-11,21.6384,-0.1829,48.0,16.0,158.4963,12.6079,6.6475,7.402,5.8474,5.7344,6.2827,8.1725,6.2553,7.2465,4.546,6.282,8.8311,6.719,7.7284,-0.2002,0.3289,-0.5291,7.9682,2.4696,320815639.0,-3.0039,50.5646,56.304,4.4242,4.6775,4.221,3.6787,6.0208,9.2383,5.7863,7.5785,7.6175,13.7992,7.3516,11.4783,6.0208,9.2383,5.7863,7.5785,80.6258,87.7292,7.0968,5.8975,6.3586,5.1375,6.0004,9.513,5.4896,7.3001,-8.4004,6.3603,8.0776,5.9203,6.6323,7.353701974219999,48.0,0.0,49.88,42.5,43.25,1.0,1865200
2001-01-12,21.5007,-0.0055,44.0,100.0,178.7672,10.2383,6.8846,7.3791,6.0577,5.7902,6.4495,8.1533,6.3453,7.2447,4.5631,6.3335,8.8059,6.7226,7.7213,-0.1073,0.3374,-0.4447,7.9605,2.9292,304090648.0,-0.0908,68.5796,55.1191,4.4869,4.6455,4.1834,3.6708,6.1884,9.1906,5.8044,7.5321,7.8899,13.7356,7.4255,11.3934,6.1884,9.1906,5.8044,7.5321,85.3275,84.1295,7.3096,5.9009,6.6291,5.272,6.2039,9.447,5.5474,7.1828,-20.2128,6.5747,8.0372,6.055,6.6175,7.20049984975,47.0,0.0,51.75,46.5,48.81,1.0,2787500
2001-01-16,20.4675,0.0772,40.0,96.0,104.6417,1.7312,6.8669,7.3349,6.1377,5.8004,6.4833,8.1232,6.3729,7.2208,4.58,6.3493,8.7757,6.722,7.7038,-0.0784,0.2931,-0.3715,7.9472,1.2639,293716054.0,1.267,23.5311,50.8656,4.8251,4.5875,4.1741,3.6476,6.3499,9.1484,5.8179,7.4745,7.8747,13.7093,7.4616,11.3013,6.3499,9.1484,5.8179,7.4745,78.7302,64.332,7.1725,5.8722,6.702,5.3352,6.4158,9.3808,5.6319,7.0711,-35.9149,6.656,7.9866,6.1341,6.5824,6.635184010490001,43.31,0.0,47.25,42.56,47.25,1.0,1729100
2001-01-17,19.6491,0.164,36.0,92.0,113.2704,5.0873,6.9269,7.3016,6.2513,5.8296,6.5546,8.0985,6.4208,7.2072,4.5968,6.3983,8.7467,6.7247,7.6878,-0.0357,0.2686,-0.3043,7.9365,1.7235,308530646.0,2.6801,33.4523,52.5436,5.5875,4.5436,4.1686,3.6599,6.5788,9.1024,5.8748,7.407,7.5701,13.6612,7.5811,11.1542,6.5788,9.1024,5.8748,7.407,66.7334,51.7386,7.1676,5.8594,6.8213,5.4236,6.6052,9.3139,5.7495,6.9634,-29.234,6.7516,7.9416,6.2349,6.5589,6.87571134589,44.88,0.0,48.0,44.69,46.63,1.0,2469100
2001-01-18,19.9989,0.4064,32.0,100.0,156.8623,21.0024,7.4009,7.3211,6.589,5.9594,6.8526,8.1004,6.5896,7.2459,4.6135,6.559,8.7401,6.775,7.6955,0.1033,0.3261,-0.2228,7.9391,2.6964,332234834.0,6.6182,49.0524,60.5012,5.4966,4.5363,4.0048,3.7341,6.7987,9.0664,5.9883,7.3526,8.1007,13.5966,7.9718,10.9711,6.7987,9.0664,5.9883,7.3526,58.1483,58.3742,7.7419,5.9247,7.2575,5.657,6.7827,9.2463,5.8975,6.8605,-4.7925,7.0451,7.9236,6.4557,6.5897,8.19324961627,53.48,0.0,54.75,43.88,44.88,1.0,3950700
