,ADX_14,APO,Aroon Down_25,Aroon Up_25,CCI_20,CMO_14,DEMA_10,DEMA_100,DEMA_20,DEMA_50,EMA_10,EMA_100,EMA_20,EMA_50,FAMA,KAMA_10,KAMA_100,KAMA_20,KAMA_50,MACD,MACD_Hist,MACD_Signal,MAMA,MOM_14,OBV,PPO,ROC_14,RSI_14,Real Lower Band_10,Real Lower Band_100,Real Lower Band_20,Real Lower Band_50,Real Middle Band_10,Real Middle Band_100,Real Middle Band_20,Real Middle Band_50,Real Upper Band_10,Real Upper Band_100,Real Upper Band_20,Real Upper Band_50,SMA_10,SMA_100,SMA_20,SMA_50,SlowD,SlowK,TEMA_10,TEMA_100,TEMA_20,TEMA_50,TRIMA_10,TRIMA_100,TRIMA_20,TRIMA_50,WILLR_14,WMA_10,WMA_100,WMA_20,WMA_50,adjusted_close,close,dividend_amount,high,low,open,split_coefficient,volume
2001-01-04,14.7287,-8.6250,26.4730,26.7474,24.6100,23.4366,25.7979,25.5632,23.4829,28.2918,133.3232,46.6535,66.9728,1.0563,0.1382,0.4961,0.3579,24.9139,25.0580,25.3563,28.5643,25.8013,25.6201,24.5882,29.0546,17.2597,27.2313,28.8711,22.7315,25.8013,28.4633,22.7768,25.6201,30.1970,18.9794,24.5882,39.9745,18.1347,29.0546,25.8961,25.4173,25.7732,27.4464,819974000.0000,25.9662,25.7630,24.5537,26.4409,12.5542,8.0000,100.0000,14.1887,56.2771,26.4080,26.0488,23.9619,25.1312,4.2430,3.5644,31.56,33.25,31.0,32.56,27.765142601100003,57584400,0.0,1.0
2001-01-05,9.5636,-39.0000,26.2001,26.6379,24.7148,23.4589,25.7587,25.6088,23.5332,28.1147,40.2790,63.5021,83.4952,0.6784,0.0753,0.4520,0.3767,24.9248,25.0607,25.3601,28.5277,25.9403,25.6175,24.4913,28.9603,17.3095,27.2159,28.8477,23.0329,25.9403,28.4604,22.7746,25.6175,29.8474,19.1352,24.4913,39.8317,18.0889,28.9603,25.8592,25.4435,25.7701,27.4117,781558800.0000,25.9465,25.7699,24.5971,26.3743,1.8854,4.0000,96.0000,13.4779,50.9427,26.2478,26.0386,24.0267,25.1083,2.6985,2.2427,32.5,32.56,29.63,30.13,25.6929897596,38415200,0.0,1.0
2001-01-08,4.8319,-41.3750,25.9318,26.4955,24.7948,23.4723,25.6717,25.6709,23.6050,27.9380,-53.2580,73.6004,70.3333,0.3978,0.0181,0.3994,0.3812,24.9287,25.0648,25.3617,28.4905,25.9778,25.6870,24.4156,28.8692,17.3590,27.1991,28.8533,23.1023,25.9778,28.4489,22.9251,25.6870,29.6010,19.2302,24.4156,39.7012,18.0372,28.8692,25.7995,25.4519,25.7607,27.3745,740914200.0000,25.8721,25.7617,24.6378,26.3064,1.0786,0.0000,92.0000,13.5410,50.5393,26.0686,25.9978,24.0767,25.0802,1.5680,1.1768,30.06,30.25,27.56,29.94,25.5309695786,40644600,0.0,1.0
2001-01-09,-1.5625,-21.8750,26.3480,26.7146,25.0206,23.5642,25.7427,25.7208,23.6937,27.7625,62.4927,73.2484,65.9167,0.4470,0.0628,0.4597,0.3969,24.9405,25.0793,25.3720,28.4723,25.9454,25.7484,24.3719,28.7882,17.4082,27.1957,28.7726,23.1182,25.9454,28.5570,22.9398,25.7484,29.4361,19.3078,24.3719,39.5577,18.0187,28.7882,25.9926,25.5861,25.8039,27.3643,785732800.0000,26.0327,25.8735,24.7338,26.2667,7.5514,84.0000,88.0000,12.8825,53.7757,26.3707,26.2015,24.2274,25.1055,1.7506,-0.4264,30.63,32.0,30.25,31.5,26.8612405386,44818600,0.0,1.0
2001-01-10,6.9213,-7.7491,27.1021,27.1613,25.3509,23.7161,25.9914,25.7707,23.7984,27.5888,108.6931,70.5195,75.3084,0.4710,0.1519,0.5868,0.4349,24.9902,25.0971,25.3863,28.4663,26.0997,25.7830,24.3474,28.7095,17.4571,27.2030,29.1644,23.0351,26.0997,28.6795,22.8864,25.7830,29.3297,19.3650,24.3474,39.3879,18.0312,28.7095,26.3443,25.8090,25.8871,27.3755,850360200.0000,26.3930,26.0810,24.8732,26.2496,12.4924,80.0000,100.0000,12.1707,56.2462,26.9415,26.5676,24.4525,25.1723,1.8297,1.8078,30.5,33.38,30.25,32.75,27.927162782199996,64627400,0.0,1.0
2001-01-11,16.8772,-8.8235,27.8074,27.6404,25.7107,23.8913,26.2314,25.8486,23.9134,27.4183,153.4112,75.4478,85.1185,0.4047,0.2263,0.7178,0.4915,25.0734,25.1379,25.4041,28.4657,26.3232,25.8921,24.3760,28.6469,17.5059,27.2150,29.6870,22.9593,26.3232,29.0032,22.7811,25.8921,29.4343,19.3177,24.3760,39.2580,18.0359,28.6469,26.7189,26.0562,25.9858,27.3958,901266800.0000,26.8121,26.3307,25.0323,26.2436,14.6921,76.0000,100.0000,11.7665,57.3461,27.5140,26.9662,24.7023,25.2563,1.5620,4.1017,32.31,34.09,32.25,33.31,28.4046959473,50906600,0.0,1.0
2001-01-12,9.5254,-20.1357,27.8680,27.7990,25.9469,24.0113,26.4801,25.9366,24.0313,27.2506,115.5035,81.2502,83.3239,0.4755,0.2022,0.7442,0.5420,25.1017,25.1847,25.4144,28.4556,26.4298,26.0597,24.3643,28.5677,17.5545,27.2184,29.8741,22.9854,26.4298,29.1492,22.9701,26.0597,29.3901,19.3384,24.3643,39.0918,18.0437,28.5677,26.8704,26.1987,26.0473,27.3989,861032700.0000,27.0355,26.4888,25.1568,26.2219,9.4034,72.0000,96.0000,11.2858,54.7017,27.6448,27.1509,24.8731,25.3048,1.8333,2.3962,33.06,34.0,32.0,32.31,27.551958152399997,40234100,0.0,1.0
2001-01-16,-0.2196,-25.7919,27.6868,27.8050,26.1171,24.1031,26.8084,26.0252,24.1575,27.0859,75.1362,78.5276,67.1404,0.5020,0.1443,0.7224,0.5781,25.1573,25.2270,25.4223,28.4402,26.6643,26.2434,24.3716,28.4827,17.6028,27.2175,29.9428,23.3857,26.6643,29.1202,23.3667,26.2434,29.4124,19.3307,24.3716,38.9142,18.0512,28.4827,26.9168,26.2870,26.0896,27.3935,829834000.0000,27.1620,26.5903,25.2651,26.1934,6.7528,68.0000,92.0000,10.5181,53.3764,27.5884,27.2283,25.0020,25.3355,1.9314,-0.0597,33.06,33.38,31.06,31.81,27.125589255,31198700,0.0,1.0
2001-01-17,7.4661,-9.5023,28.0967,28.1153,26.4130,24.2641,27.1614,26.1550,24.2919,26.9259,131.8785,71.4316,63.8304,0.4956,0.1735,0.7950,0.6215,25.5231,25.3008,25.4471,28.4393,27.2501,26.4434,24.4345,28.4129,17.6509,27.2288,29.1383,25.3619,27.2501,29.3230,23.5638,26.4434,29.5927,19.2763,24.4345,38.7530,18.0728,28.4129,27.1780,26.4838,26.1783,27.4125,882369000.0000,27.4692,26.7912,25.4213,26.1908,13.2700,64.0000,88.0000,10.0136,56.6350,27.9412,27.5136,25.2188,25.4139,1.8949,1.9698,33.31,34.06,32.75,33.25,28.3535316796,52535000,0.0,1.0
2001-01-18,10.1662,-3.1674,28.5638,28.4800,26.7400,24.4478,27.3990,26.3157,24.4281,26.7710,127.7568,66.9357,69.8364,0.7101,0.2076,0.8810,0.6734,25.6220,25.3378,25.4749,28.4433,27.4044,26.5206,24.4942,28.3401,17.6989,27.2449,29.5185,25.2903,27.4044,29.5646,23.4765,26.5206,29.7838,19.2046,24.4942,38.5643,18.1159,28.3401,27.4786,26.7073,26.2824,27.4406,916118200.0000,27.7566,27.0186,25.5937,26.1991,15.7365,60.0000,84.0000,9.5450,57.8683,28.3489,27.8413,25.4604,25.5091,2.7026,2.6605,33.61,34.0,32.81,33.81,28.8310648447,33749200,0.0,1.0
