,ADX_14,APO,Aroon Down_25,Aroon Up_25,CCI_20,CMO_14,DEMA_10,DEMA_100,DEMA_20,DEMA_50,EMA_10,EMA_100,EMA_20,EMA_50,FAMA,KAMA_10,KAMA_100,KAMA_20,KAMA_50,MACD,MACD_Hist,MACD_Signal,MAMA,MOM_14,OBV,PPO,ROC_14,RSI_14,Real Lower Band_10,Real Lower Band_100,Real Lower Band_20,Real Lower Band_50,Real Middle Band_10,Real Middle Band_100,Real Middle Band_20,Real Middle Band_50,Real Upper Band_10,Real Upper Band_100,Real Upper Band_20,Real Upper Band_50,SMA_10,SMA_100,SMA_20,SMA_50,SlowD,SlowK,TEMA_10,TEMA_100,TEMA_20,TEMA_50,TRIMA_10,TRIMA_100,TRIMA_20,TRIMA_50,WILLR_14,WMA_10,WMA_100,WMA_20,WMA_50,adjusted_close,close,dividend_amount,high,low,open,split_coefficient,volume
2001-01-04,14.7477,-1.6337,96.0000,24.0000,-78.4900,-6.9593,27.3334,26.9404,28.3675,29.6558,28.1694,27.2489,28.7127,28.0719,19.0968,28.9604,26.6245,29.0273,26.7631,-0.3917,-0.4031,0.0113,26.6583,-4.2368,598682550.0000,-5.4867,-13.5473,46.5203,24.0667,17.7902,23.7253,20.9395,27.9858,25.5320,29.8203,27.9026,31.9049,33.2739,35.9152,34.8657,27.9858,25.5320,29.8203,27.9026,36.8670,37.4368,27.0682,29.6945,27.3082,30.0405,28.5853,25.5929,29.1574,28.9331,-61.1635,27.9798,27.2847,28.5964,28.9886,27.037731576,78.94,0.0,82.38,76.75,79.0,1.0,20177800
2001-01-05,15.4811,-1.8499,92.0000,20.0000,-111.2698,-14.1067,26.4455,26.8592,27.7312,29.3593,27.5975,27.2049,28.3614,27.9524,19.1346,28.9172,26.6137,28.8486,26.7546,-0.6273,-0.5109,-0.1164,26.6420,-5.1376,567026150.0000,-6.2416,-17.0338,42.9466,23.6265,17.8687,23.2558,20.9800,27.8464,25.5677,29.3695,27.9167,32.0663,33.2668,35.4833,34.8535,27.8464,25.5677,29.3695,27.9167,37.3564,42.4269,25.9700,29.5225,26.5149,29.5589,28.3284,25.6862,28.8112,29.0758,-83.1579,27.4413,27.2746,28.1396,28.8757,25.023773358699998,73.06,0.0,79.81,72.56,79.38,1.0,15828200
2001-01-08,16.2511,-1.9460,88.0000,16.0000,-98.4020,-6.8600,26.3499,26.8453,27.4853,29.2059,27.4297,27.1944,28.2007,27.9023,19.1721,28.9014,26.6142,28.7503,26.7539,-0.6731,-0.4453,-0.2277,26.6423,-0.5754,590385550.0000,-6.5798,-2.1116,46.5700,23.8037,17.9767,23.4525,21.2260,27.9173,25.6243,28.9154,27.9998,32.0309,33.2718,34.3782,34.7737,27.9173,25.6243,28.9154,27.9998,39.2899,38.0061,26.0199,29.4525,26.3076,29.2984,27.8825,25.7799,28.5407,29.2111,-62.8632,27.2282,27.2966,27.8829,28.8270,26.674671081,77.88,0.0,78.0,71.75,73.0,1.0,11679700
2001-01-09,16.9730,-1.9646,84.0000,12.0000,-115.4971,-12.6018,25.7724,26.7696,26.9889,28.9384,27.0041,27.1527,27.9044,27.7920,19.2094,28.7742,26.6032,28.5616,26.7461,-0.8278,-0.4800,-0.3477,26.6268,-4.1752,560952550.0000,-6.6632,-14.2673,43.6991,23.1672,18.0771,23.5685,21.2543,27.5148,25.6662,28.4007,28.0097,31.8625,33.2553,33.2330,34.7651,27.5148,25.6662,28.4007,28.0097,37.4310,31.8599,25.3781,29.2919,25.7424,28.8763,27.3907,25.8733,28.3226,29.3336,-82.3579,26.7140,27.2860,27.5185,28.7128,25.088850239899998,73.25,0.0,76.31,71.69,75.13,1.0,14716500
2001-01-10,18.0937,-1.9216,100.0000,8.0000,-137.5062,-13.6053,25.2715,26.6854,26.5150,28.6643,26.6054,27.1063,27.6098,27.6751,19.2464,28.6465,26.5905,28.3884,26.7363,-0.9616,-0.4911,-0.4705,26.6086,-3.7676,525548950.0000,-6.5486,-13.1831,43.1974,22.5811,18.1805,23.6225,21.2102,27.1254,25.7069,27.9373,27.9930,31.6698,33.2333,32.2522,34.7758,27.1254,25.7069,27.9373,27.9930,35.5118,36.6694,24.8652,29.1206,25.2250,28.4535,26.9276,25.9648,28.1262,29.4410,-80.4583,26.2224,27.2690,27.1766,28.5874,24.8114172202,72.44,0.0,72.63,67.75,69.38,1.0,17701800
2001-01-11,18.8275,-2.0777,96.0000,4.0000,-119.6790,-16.0154,24.7081,26.5785,25.9948,28.3558,26.1622,27.0481,27.2819,27.5375,19.2831,28.3082,26.5741,28.2519,26.7233,-1.1069,-0.5091,-0.5978,26.5842,-2.2503,499682550.0000,-7.1427,-8.5181,41.9923,22.3354,18.2849,23.1996,21.2687,26.4637,25.7439,27.6077,28.0096,30.5920,33.2030,32.0158,34.7506,26.4637,25.7439,27.6077,28.0096,31.7834,26.8208,24.2774,28.9178,24.6536,27.9890,26.3658,26.0548,27.9184,29.5251,-88.2917,25.6846,27.2385,26.8176,28.4374,24.1674986065,70.56,0.0,74.06,69.56,70.25,1.0,12933200
2001-01-12,19.2907,-2.0537,92.0000,0.0000,-98.3557,-13.7434,24.4546,26.4916,25.6301,28.0975,25.8773,26.9996,27.0261,27.4222,19.3195,28.0702,26.5596,28.1313,26.7086,-1.1740,-0.4610,-0.7130,26.5643,-1.3700,522302150.0000,-7.1504,-5.2763,43.1283,22.6836,18.4083,23.0181,21.4406,25.8619,25.7878,27.2737,28.0555,29.0402,33.1673,31.5293,34.6704,25.8619,25.7878,27.2737,28.0555,31.7153,31.6558,24.1279,28.7470,24.3181,27.6078,25.9148,26.1446,27.6557,29.5780,-83.0833,25.3450,27.2158,26.5307,28.3035,24.5956359826,71.81,0.0,75.06,70.56,71.88,1.0,11309800
2001-01-16,19.9957,-2.2197,88.0000,4.0000,-118.1610,-14.9912,24.1911,26.3958,25.2681,27.8307,25.5901,26.9461,26.7663,27.2996,19.3556,27.9183,26.5420,28.0207,26.6886,-1.2369,-0.4191,-0.8178,26.5416,-4.8157,500449550.0000,-7.8303,-16.5412,42.5044,22.5799,18.5635,22.7532,21.7202,25.4766,25.8368,26.9805,28.1202,28.3732,33.1102,31.2078,34.5202,25.4766,25.8368,26.9805,28.1202,30.6229,33.3921,23.9431,28.5649,23.9886,27.2217,25.5708,26.2348,27.3640,29.5953,-86.7083,25.0606,27.1863,26.2473,28.1562,24.2976523689,70.94,0.0,71.13,68.44,69.63,1.0,10926300
2001-01-17,19.9147,-2.2735,84.0000,0.0000,-72.7188,-10.9001,24.2514,26.3305,25.0909,27.6333,25.4834,26.9076,26.5983,27.2096,19.3914,27.8914,26.5290,27.9857,26.6740,-1.2159,-0.3184,-0.8974,26.5263,-3.7025,526989550.0000,-8.1391,-12.8982,44.5499,22.7414,18.7365,22.5569,22.0074,25.5492,25.8935,26.8682,28.1900,28.3570,33.0506,31.1795,34.3726,25.5492,25.8935,26.8682,28.1900,38.2044,49.5652,24.1853,28.4304,23.9250,26.9451,25.2731,26.3257,27.0971,29.5740,-78.1250,24.9745,27.1698,26.0590,28.0339,25.0032227647,73.0,0.0,74.44,71.56,73.0,1.0,13270000
2001-01-18,19.8574,-2.1358,80.0000,0.0000,-68.3364,-10.7765,24.3235,26.2680,24.9489,27.4486,25.3998,26.8703,26.4484,27.1239,19.4270,27.6221,26.5181,27.9177,26.6654,-1.1839,-0.2291,-0.9547,26.5112,-5.7610,550137350.0000,-7.7565,-18.7138,44.6117,23.3775,18.8512,22.4207,22.0660,25.1724,25.9361,26.6562,28.2075,26.9673,33.0210,30.8917,34.3490,25.1724,25.9361,26.6562,28.2075,47.5273,59.6248,24.3967,28.3017,23.9011,26.6923,24.9555,26.4161,26.8230,29.5174,-77.8750,24.8790,27.1526,25.8833,27.9098,25.023773358699998,73.06,0.0,74.0,71.44,73.63,1.0,11573900
2001-01-19,20.0271,-1.7664,76.0000,0.0000,-78.2600,-15.3172,24.0914,26.1716,24.6667,27.2038,25.1646,26.8155,26.2253,27.0055,19.4623,27.3635,26.5012,27.8254,26.6546,-1.2185,-0.2110,-1.0075,26.4872,-6.5077,524969950.0000,-6.5058,-21.2576,42.3414,23.4860,18.9761,22.1546,22.0615,24.8792,25.9755,26.4325,28.2063,26.2725,32.9749,30.7105,34.3511,24.8792,25.9755,26.4325,28.2063,55.3870,56.9710,24.1539,28.1241,23.6653,26.3556,24.7685,26.5051,26.5266,29.4353,-89.0417,24.6851,27.1163,25.6404,27.7489,24.1058468244,70.38,0.0,74.44,70.0,74.38,1.0,12583700
