,ADX_14,APO,Aroon Down_25,Aroon Up_25,CCI_20,CMO_14,DEMA_10,DEMA_100,DEMA_20,DEMA_50,EMA_10,EMA_100,EMA_20,EMA_50,FAMA,KAMA_10,KAMA_100,KAMA_20,KAMA_50,MACD,MACD_Hist,MACD_Signal,MAMA,MOM_14,OBV,PPO,ROC_14,RSI_14,Real Lower Band_10,Real Lower Band_100,Real Lower Band_20,Real Lower Band_50,Real Middle Band_10,Real Middle Band_100,Real Middle Band_20,Real Middle Band_50,Real Upper Band_10,Real Upper Band_100,Real Upper Band_20,Real Upper Band_50,SMA_10,SMA_100,SMA_20,SMA_50,SlowD,SlowK,TEMA_10,TEMA_100,TEMA_20,TEMA_50,TRIMA_10,TRIMA_100,TRIMA_20,TRIMA_50,WILLR_14,WMA_10,WMA_100,WMA_20,WMA_50,adjusted_close,close,dividend_amount,high,low,open,split_coefficient,volume
2001-01-04,23.5158,-1.0762,68.0,36.0,30.8507,1.2063,90.2459,91.325,89.5743,89.4826,90.1748,94.072,90.4447,92.0723,56.5931,91.1774,96.1656,92.6902,94.0369,-0.5648,0.2849,-0.8497,90.1777,-1.4775,-46018400.0,-1.1886,-1.5971,50.6031,85.6176,86.5388,86.3121,86.7896,89.4478,95.5248,90.4306,92.3283,93.278,104.5109,94.5492,97.8671,89.4478,95.5248,90.4306,92.3283,54.1523,59.226,90.7496,89.6156,89.921,88.9613,89.8085,95.2241,89.8611,92.11,-23.9611,90.1115,93.205,90.0119,91.1687,91.03153322540001,133.546799,0.0,135.468704,133.0,134.9375,1.0,9219000
2001-01-05,23.6857,-1.1697,64.0,32.0,-60.159,-12.3119,89.5339,91.1437,89.2246,89.2757,89.7903,93.953,90.2176,91.9149,56.7609,91.1188,96.0139,92.5985,93.939,-0.6921,0.1261,-0.8182,90.1565,-3.2705,-58929800.0,-1.2935,-3.5809,43.844,86.3795,86.3587,86.0608,86.5754,89.648,95.3937,90.2294,92.1924,92.9166,104.4287,94.3981,97.8094,89.648,95.3937,90.2294,92.1924,56.2075,59.4441,89.678,89.4071,89.4274,88.7271,89.985,95.0961,89.7006,91.9675,-65.0743,89.8592,93.0572,89.7862,91.0013,88.0600380288,129.1875,0.0,133.625,129.1875,133.468704,1.0,12911400
2001-01-08,24.1621,-1.0857,60.0,28.0,-88.5,-8.7243,89.2339,90.995,89.0515,89.1352,89.5996,93.8498,90.077,91.7905,56.9279,91.0724,95.8867,92.5563,93.8853,-0.7296,0.0709,-0.8005,90.1424,-0.5325,-52304500.0,-1.2016,-0.5965,45.6379,87.1638,86.2125,85.9175,86.417,89.8568,95.2701,90.1255,92.1147,92.5498,104.3278,94.3335,97.8124,89.8568,95.2701,90.1255,92.1147,53.034,40.4318,89.2623,89.2481,89.2054,88.5927,89.969,94.9691,89.6139,91.8297,-55.5221,89.6944,92.9255,89.6445,90.866,88.7416832191,130.1875,0.0,130.1875,127.6875,129.875,1.0,6625300
2001-01-09,24.1045,-0.8285,56.0,24.0,-56.9202,-9.7912,88.9393,90.842,88.8644,88.9869,89.401,93.744,89.9275,91.6617,57.0938,91.0488,95.7589,92.5043,93.8245,-0.7693,0.0249,-0.7942,90.126,-1.9597,-58006900.0,-0.9175,-2.1662,45.1044,86.9872,86.0585,85.7563,86.2456,89.7822,95.1479,89.9992,92.0273,92.5773,104.2372,94.2421,97.8089,89.7822,95.1479,89.9992,92.0273,41.8017,25.5292,88.884,89.0835,88.9697,88.4469,89.8841,94.8436,89.5582,91.694,-58.8061,89.4491,92.7915,89.4904,90.7245,88.5073363293,129.843704,0.0,131.5,129.421799,131.046799,1.0,5702400
2001-01-10,23.815,-0.5529,52.0,20.0,-27.6081,-1.3276,89.2419,90.7551,88.9901,88.9688,89.5213,93.6711,89.9404,91.599,57.259,91.0439,95.6647,92.4504,93.7802,-0.6677,0.1012,-0.7689,90.1254,1.4379,-49260800.0,-0.6122,1.6224,49.3362,86.98,85.9846,86.0099,86.1776,89.7673,95.0306,89.7924,91.9356,92.5547,104.0766,93.5749,97.6937,89.7673,95.0306,89.7924,91.9356,34.6933,38.1189,89.3458,89.0177,89.1875,88.4928,89.7822,94.7194,89.5174,91.5622,-37.0147,89.5,92.6908,89.4964,90.6474,90.06237077540001,132.125,0.0,132.125,128.8125,129.0,1.0,8746100
2001-01-11,23.0398,-0.4606,48.0,16.0,26.4003,-0.8688,89.4997,90.6747,89.1182,88.9603,89.6351,93.6013,89.9601,91.5421,57.4233,91.0359,95.5766,92.4056,93.7309,-0.5736,0.1562,-0.7299,90.1256,4.0899,-42015700.0,-0.5101,4.7525,49.5656,86.9897,85.913,86.2939,86.1407,89.6949,94.9175,89.6101,91.8287,92.4001,103.9221,92.9264,97.5167,89.6949,94.9175,89.6101,91.8287,39.0035,53.3626,89.7026,88.9613,89.3948,88.5496,89.5905,94.596,89.5063,91.4313,-35.8207,89.5691,92.5941,89.5302,90.5773,90.1475764242,132.25,0.0,133.484299,131.093704,131.093704,1.0,7245100
2001-01-12,22.2324,-0.3415,44.0,12.0,41.4096,-1.8263,89.6374,90.5905,89.2015,88.9412,89.6973,93.5295,89.9617,91.4807,57.5868,91.0221,95.4811,92.3715,93.6617,-0.507,0.1783,-0.6853,90.1241,3.323,-49259700.0,-0.3788,3.8348,49.0869,87.0381,85.8534,86.4373,86.1819,89.5778,94.7973,89.4835,91.6855,92.1174,103.7411,92.5298,97.1892,89.5778,94.7973,89.4835,91.6855,53.3131,68.4579,89.8651,88.8989,89.5256,88.5872,89.4574,94.472,89.511,91.3001,-47.4074,89.6205,92.4963,89.5652,90.5047,89.9771651266,132.0,0.0,133.718704,131.281204,132.6875,1.0,7244000
2001-01-16,21.4827,-0.3092,40.0,8.0,56.5565,1.627,89.9309,90.532,89.381,88.9694,89.8528,93.4706,90.018,91.4443,57.7495,91.0157,95.4025,92.3594,93.6119,-0.4031,0.2257,-0.6288,90.1284,1.2994,-40717500.0,-0.3432,1.4558,50.8135,87.0889,85.8142,86.4748,86.2472,89.6906,94.6844,89.4446,91.5604,92.2924,103.5546,92.4144,96.8736,89.6906,94.6844,89.4446,91.5604,66.2191,76.8369,90.2302,88.8742,89.7858,88.6914,89.4876,94.3475,89.5384,91.1762,-37.408,89.7976,92.4123,89.667,90.4603,90.55227190030001,132.843704,0.0,133.1875,131.515594,132.0,1.0,8542200
2001-01-17,20.0624,-0.33,36.0,4.0,99.964,4.1554,90.2853,90.492,89.6139,89.0298,90.0555,93.421,90.1084,91.4256,57.9115,91.0133,95.3318,92.3444,93.5713,-0.284,0.2759,-0.5599,90.1368,0.7562,-32866100.0,-0.3662,0.8383,52.0777,87.641,85.8024,86.488,86.355,90.007,94.5717,89.5293,91.4404,92.373,103.341,92.5705,96.5258,90.007,94.5717,89.5293,91.4404,73.7766,76.035,90.6542,88.8765,90.1092,88.8387,89.6225,94.2227,89.6119,91.0615,-30.1856,90.0298,92.3387,89.812,90.437,90.9676596629,133.453094,0.0,135.046799,132.640594,134.843704,1.0,7851400
2001-01-18,18.7572,-0.1581,32.0,0.0,122.8092,9.6081,90.8443,90.4893,89.9811,89.1582,90.3859,93.3904,90.2765,91.4432,58.0727,91.0181,95.2798,92.3399,93.549,-0.1152,0.3557,-0.471,90.1542,1.0011,-24759100.0,-0.1754,1.1017,54.804,87.6757,85.828,86.4133,86.5061,89.9921,94.4649,89.5996,91.3374,92.3084,103.1019,92.7858,96.1687,89.9921,94.4649,89.5996,91.3374,77.2464,78.8672,91.3332,88.9332,90.6094,89.081,89.7943,94.0979,89.6974,90.9523,-14.445,90.3691,92.2852,90.0352,90.454,91.8729594566,134.781204,0.0,135.703094,132.9375,133.4375,1.0,8107000
