,ADX_14,APO,Aroon Down_25,Aroon Up_25,CCI_20,CMO_14,DEMA_10,DEMA_100,DEMA_20,DEMA_50,EMA_10,EMA_100,EMA_20,EMA_50,FAMA,KAMA_10,KAMA_100,KAMA_20,KAMA_50,MACD,MACD_Hist,MACD_Signal,MAMA,MOM_14,OBV,PPO,ROC_14,RSI_14,Real Lower Band_10,Real Lower Band_100,Real Lower Band_20,Real Lower Band_50,Real Middle Band_10,Real Middle Band_100,Real Middle Band_20,Real Middle Band_50,Real Upper Band_10,Real Upper Band_100,Real Upper Band_20,Real Upper Band_50,SMA_10,SMA_100,SMA_20,SMA_50,SlowD,SlowK,TEMA_10,TEMA_100,TEMA_20,TEMA_50,TRIMA_10,TRIMA_100,TRIMA_20,TRIMA_50,WILLR_14,WMA_10,WMA_100,WMA_20,WMA_50,adjusted_close,close,dividend_amount,high,low,open,split_coefficient,volume
2001-01-04,25.6347,-0.9207,68.0000,0.0000,37.7668,5.8761,15.5645,16.6681,15.2496,16.2324,15.5755,15.8697,15.8074,16.1952,8.2979,15.6934,15.9531,15.8193,17.0184,-0.3731,0.1433,-0.5164,14.4259,-0.5319,-122131000.0000,-5.7319,-3.1624,52.9381,13.4829,12.1556,13.6605,14.4917,15.0262,15.7206,15.7736,16.9236,16.5694,19.2856,17.8866,19.3555,15.0262,15.7206,15.7736,16.9236,85.0456,81.5377,15.9597,16.6167,15.1549,15.5698,14.9928,16.3639,15.5019,17.1440,-26.2732,15.4175,16.3743,15.4803,16.3954,16.2886538357,51.75,0.0,52.75,50.94,51.13,1.0,9831400
2001-01-05,24.1444,-0.9379,64.0000,4.0000,13.9190,-4.4759,15.6202,16.6471,15.2901,16.1958,15.6050,15.8670,15.8007,16.1772,8.3286,15.7005,15.9502,15.8174,17.0038,-0.3340,0.1459,-0.4799,14.4390,-1.4573,-129422400.0000,-5.8645,-8.4752,47.7620,13.8319,12.2203,13.6798,14.4447,15.2131,15.7468,15.7067,16.8992,16.5944,19.2733,17.7335,19.3536,15.2131,15.7468,15.7067,16.8992,77.1547,65.4427,15.9649,16.5787,15.2471,15.5412,15.2184,16.4106,15.3830,17.0706,-40.4204,15.5469,16.3746,15.4769,16.3489,15.7378297929,50.0,0.0,52.06,49.44,51.75,1.0,7291400
2001-01-08,22.9209,-0.7794,60.0000,0.0000,11.0997,-2.1180,15.7013,16.6313,15.3492,16.1705,15.6511,15.8669,15.8063,16.1647,8.3593,15.7243,15.9489,15.8183,16.9890,-0.2899,0.1520,-0.4419,14.4532,-1.0407,-123121700.0000,-4.8913,-6.1580,48.9410,14.1690,12.2859,13.7163,14.4019,15.3864,15.7738,15.6458,16.8713,16.6038,19.2617,17.5754,19.3407,15.3864,15.7738,15.6458,16.8713,69.1217,60.3847,16.0119,16.5490,15.3588,15.5294,15.4394,16.4553,15.3090,16.9944,-34.0106,15.6642,16.3768,15.4914,16.3081,15.8586176366,50.13,0.2537,50.69,48.81,49.94,1.0,6300700
2001-01-09,21.5021,-0.5327,56.0000,40.0000,47.0674,8.4321,15.9500,16.6383,15.5061,16.1908,15.7929,15.8781,15.8658,16.1752,8.3898,15.8423,15.9574,15.8218,16.9846,-0.2064,0.1884,-0.3948,14.4730,-0.3485,-117645300.0000,-3.3499,-2.0767,54.2161,14.4010,12.3653,13.7126,14.3860,15.5854,15.8087,15.6539,16.8572,16.7698,19.2521,17.5952,19.3284,15.5854,15.8087,15.6539,16.8572,62.0469,60.3133,16.2917,16.5535,15.6029,15.5842,15.6494,16.4980,15.2799,16.9182,-8.2175,15.8542,16.3898,15.5662,16.2908,16.4312108527,51.94,0.0,52.25,49.75,50.0,1.0,5476400
2001-01-10,20.2953,-0.3345,52.0000,36.0000,57.5088,10.8435,16.1785,16.6504,15.6682,16.2206,15.9343,15.8918,15.9329,16.1907,8.4204,15.9570,15.9708,15.8299,16.9801,-0.1276,0.2138,-0.3414,14.4940,1.9153,-113083500.0000,-2.1029,13.0695,55.4218,14.6003,12.4741,13.7054,14.3742,15.7690,15.8507,15.6828,16.8341,16.9378,19.2273,17.6602,19.2941,15.7690,15.8507,15.6828,16.8341,65.4774,75.7342,16.5293,16.5657,15.8417,15.6515,15.8294,16.5387,15.2842,16.8428,-3.9776,16.0333,16.4049,15.6535,16.2796,16.5704047837,52.38,0.0,52.5,50.63,51.0,1.0,4561800
2001-01-11,19.1748,-0.1528,48.0000,32.0000,61.7923,10.8435,16.3444,16.6620,15.8091,16.2486,16.0500,15.9052,15.9936,16.2056,8.4508,16.0411,15.9841,15.8339,16.9734,-0.0643,0.2217,-0.2860,14.5148,2.7022,-113083500.0000,-0.9606,19.4851,55.4218,14.7790,12.5895,13.7013,14.3745,15.9231,15.8932,15.6890,16.7996,17.0673,19.1970,17.6767,19.2247,15.9231,15.8932,15.6890,16.7996,75.5808,90.6948,16.6725,16.5772,16.0386,15.7145,15.9749,16.5766,15.3139,16.7687,-3.9776,16.1790,16.4192,15.7380,16.2692,16.5704047837,52.38,0.0,52.44,51.31,52.44,1.0,3775100
2001-01-12,18.1924,-0.0105,44.0000,28.0000,42.6123,0.7710,16.3123,16.6552,15.8486,16.2399,16.0618,15.9094,16.0051,16.2020,8.4812,16.0477,15.9865,15.8377,16.9572,-0.0504,0.1885,-0.2388,14.5308,1.9886,-118764500.0000,-0.0663,14.0772,50.3855,15.1656,12.6940,13.7233,14.3579,16.0512,15.9289,15.6537,16.7587,16.9367,19.1638,17.5841,19.1596,16.0512,15.9289,15.6537,16.7587,83.3896,83.7398,16.5449,16.5614,16.0816,15.7218,16.0910,16.6113,15.3681,16.6954,-22.0896,16.2138,16.4236,15.7786,16.2424,16.1148610095,50.94,0.0,52.44,49.88,52.31,1.0,5681000
2001-01-16,17.9404,0.1044,40.0000,24.0000,16.3217,-4.9155,16.1923,16.6376,15.8329,16.2103,16.0208,15.9079,15.9891,16.1877,8.5115,16.0385,15.9839,15.8376,16.9383,-0.0611,0.1422,-0.2033,14.5438,1.3954,-124783900.0000,0.6594,9.6630,47.5422,15.5326,12.8061,13.7860,14.3217,16.1318,15.9631,15.5858,16.7226,16.7311,19.1200,17.3856,19.1234,16.1318,15.9631,15.5858,16.7226,79.8391,65.0827,16.3179,16.5297,16.0441,15.6979,16.1763,16.6431,15.4477,16.6218,-36.6214,16.1748,16.4217,15.7960,16.2062,15.8364731476,50.06,0.0,50.88,48.38,50.5,1.0,6019400
2001-01-17,17.6379,0.2391,36.0000,20.0000,37.8291,-3.1350,16.1263,16.6235,15.8345,16.1885,16.0017,15.9081,15.9821,16.1770,8.5418,16.0378,15.9828,15.8391,16.9220,-0.0624,0.1127,-0.1751,14.5575,1.1818,-120045200.0000,1.5148,8.0211,48.4325,15.5481,12.9130,13.8318,14.2912,16.1377,15.9963,15.5366,16.6883,16.7272,19.0797,17.2414,19.0854,16.1377,15.9963,15.5366,16.6883,65.7570,48.4483,16.1907,16.5037,16.0332,15.6855,16.2167,16.6723,15.5475,16.5486,-39.9254,16.1355,16.4208,15.8274,16.1746,15.9155606084,50.31,0.0,51.0,49.69,49.94,1.0,4738700
2001-01-18,17.2431,0.3301,32.0000,16.0000,50.1681,-1.2838,16.1013,16.6127,15.8508,16.1741,16.0004,15.9098,15.9833,16.1698,8.5719,16.0375,15.9830,15.8415,16.9044,-0.0565,0.0949,-0.1514,14.5719,0.9650,-115201500.0000,2.0927,6.4208,49.3581,15.5379,13.0187,13.8747,14.2733,16.1319,16.0294,15.4973,16.6482,16.7258,19.0402,17.1200,19.0232,16.1319,16.0294,15.4973,16.6482,53.5455,47.1053,16.1347,16.4831,16.0443,15.6837,16.2188,16.6986,15.6562,16.4774,-36.3119,16.1095,16.4208,15.8710,16.1474,15.9946480692,50.56,0.0,51.19,49.94,50.44,1.0,4843700
2001-01-19,17.1761,0.3291,28.0000,12.0000,23.5007,-7.5056,15.9901,16.5913,15.8156,16.1393,15.9493,15.9060,15.9581,16.1522,8.6020,16.0249,15.9792,15.8380,16.8810,-0.0732,0.0626,-0.1357,14.5834,0.8849,-120469400.0000,2.0879,5.9655,46.2472,15.4441,13.1123,13.9727,14.2410,16.0749,16.0576,15.5506,16.6066,16.7058,19.0028,17.1284,18.9721,16.0749,16.0576,15.5506,16.6066,46.6073,44.2684,15.9681,16.4470,15.9815,15.6517,16.1753,16.7221,15.7664,16.4083,-50.4608,16.0345,16.4146,15.8922,16.1109,15.719423705599999,49.69,0.0,50.31,49.31,50.0,1.0,5267900
2001-01-22,17.8118,0.3178,24.0000,8.0000,-16.1720,-13.0033,15.8220,16.5604,15.7394,16.0868,15.8609,15.8972,15.9110,16.1252,8.6319,16.0143,15.9730,15.8172,16.8468,-0.1058,0.0239,-0.1298,14.5922,0.4336,-126757500.0000,2.0209,2.8847,43.4984,15.3409,13.1889,14.2520,14.2021,16.0475,16.0802,15.6303,16.5566,16.7540,18.9715,17.0086,18.9112,16.0475,16.0802,15.6303,16.5566,43.7869,39.9869,15.7388,16.3972,15.8632,15.5939,16.1006,16.7426,15.8593,16.3391,-70.7298,15.9233,16.4028,15.8838,16.0661,15.4631803327,48.88,0.0,49.75,47.69,49.56,1.0,6288100
2001-01-23,18.4020,0.3073,20.0000,4.0000,-9.6829,-9.2895,15.7425,16.5355,15.6991,16.0478,15.8133,15.8913,15.8813,16.1045,8.6618,16.0069,15.9685,15.8061,16.8174,-0.1193,0.0083,-0.1277,14.6023,-0.2582,-121256700.0000,1.9602,-1.6284,45.3552,15.2714,13.2669,14.5099,14.1779,16.0215,16.1037,15.7040,16.5074,16.7716,18.9404,16.8980,18.8369,16.0215,16.1037,15.7040,16.5074,40.5908,37.5172,15.6484,16.3571,15.8017,15.5567,16.0055,16.7603,15.9328,16.2692,-68.2525,15.8418,16.3933,15.8809,16.0285,15.5992107652,49.31,0.0,49.69,48.81,48.94,1.0,5500800
2001-01-24,19.7449,0.3297,16.0000,0.0000,-97.8648,-21.7239,15.4828,16.4874,15.5546,15.9643,15.6634,15.8735,15.7963,16.0608,8.6915,15.8092,15.9588,15.7941,16.7614,-0.1773,-0.0397,-0.1376,14.6061,-1.0639,-130676900.0000,2.1147,-6.6278,39.1381,14.9613,13.3362,14.6331,14.1245,15.8773,16.1216,15.7313,16.4444,16.7933,18.9069,16.8296,18.7643,15.8773,16.1216,15.7313,16.4444,36.4590,31.8730,15.3159,16.2828,15.5934,15.4541,15.8802,16.7749,15.9774,16.1977,-88.1239,15.6540,16.3712,15.8127,15.9690,14.988655567999999,47.38,0.0,48.5,46.69,48.5,1.0,9420200
2001-01-25,21.1378,0.3307,12.0000,0.0000,-117.5484,-21.7239,15.2926,16.4405,15.4311,15.8856,15.5407,15.8559,15.7194,16.0187,8.7211,15.6013,15.9489,15.7872,16.7098,-0.2207,-0.0665,-0.1542,14.6099,-1.3000,-130676900.0000,2.1311,-7.9810,39.1381,14.7903,13.4131,14.6873,14.0719,15.7191,16.1406,15.7441,16.3845,16.6479,18.8681,16.8008,18.6971,15.7191,16.1406,15.7441,16.3845,33.0691,29.8172,15.1008,16.2112,15.4241,15.3603,15.7386,16.7864,15.9896,16.1254,-81.9200,15.4924,16.3488,15.7420,15.9119,14.988655567999999,47.38,0.0,48.19,46.25,47.94,1.0,7287300
2001-01-26,22.7514,0.2696,8.0000,36.0000,-150.7829,-25.9336,15.0830,16.3864,15.2864,15.7948,15.4007,15.8344,15.6290,15.9698,8.7505,15.3780,15.9393,15.7783,16.6410,-0.2696,-0.0923,-0.1773,14.6115,-0.9675,-136049700.0000,1.7459,-6.1473,37.0332,14.6429,13.4660,14.6340,14.0220,15.5391,16.1538,15.7311,16.3148,16.4353,18.8416,16.8282,18.6076,15.5391,16.1538,15.7311,16.3148,28.9152,25.0553,14.8693,16.1296,15.2309,15.2499,15.5846,16.7946,15.9686,16.0551,-80.1379,15.3199,16.3217,15.6493,15.8486,14.770374176199999,46.69,0.0,47.44,45.25,47.06,1.0,5372800
2001-01-29,23.5575,0.1323,4.0000,32.0000,-97.6344,-14.3225,15.0590,16.3488,15.2327,15.7389,15.3557,15.8210,15.5837,15.9378,8.7799,15.3558,15.9321,15.7722,16.6000,-0.2742,-0.0776,-0.1967,14.6170,-0.7055,-130396500.0000,0.8559,-4.4484,42.8387,14.6104,13.5265,14.6941,13.9957,15.4429,16.1700,15.7470,16.2571,16.2755,18.8135,16.8000,18.5185,15.4429,16.1700,15.7470,16.2571,31.5705,39.8391,14.9012,16.0734,15.1749,15.1924,15.4485,16.7998,15.9250,15.9923,-63.4483,15.2497,16.3019,15.5942,15.8030,15.153157486400001,47.9,0.0,48.35,46.68,46.75,1.0,5653200
2001-01-30,24.3060,-0.0349,0.0000,28.0000,-98.2376,-14.1352,15.0481,16.3124,15.1892,15.6869,15.3200,15.8079,15.5433,15.9072,8.8091,15.3421,15.9247,15.7684,16.5604,-0.2743,-0.0621,-0.2122,14.6224,-1.2717,-126272400.0000,-0.2251,-7.7397,42.9324,14.5721,13.5934,14.7169,13.9762,15.3752,16.1873,15.7535,16.1995,16.1784,18.7811,16.7902,18.4228,15.3752,16.1873,15.7535,16.1995,40.9468,57.9462,14.9392,16.0196,15.1341,15.1411,15.3196,16.8021,15.8635,15.9375,-63.1724,15.1982,16.2818,15.5383,15.7600,15.1594844833,47.92,0.0,48.15,46.95,47.02,1.0,4124100
2001-01-31,24.7997,-0.1482,0.0000,24.0000,-75.6568,-9.9634,15.0894,16.2823,15.1779,15.6485,15.3155,15.7977,15.5197,15.8832,8.8382,15.3394,15.9182,15.7597,16.5239,-0.2603,-0.0385,-0.2218,14.6291,-1.2749,-120812100.0000,-0.9525,-7.6938,45.0183,14.5953,13.6674,14.6713,13.9836,15.3132,16.2063,15.7254,16.1399,16.0312,18.7452,16.7796,18.2962,15.3132,16.2063,15.7254,16.1399,59.2897,80.0837,15.0379,15.9758,15.1393,15.1103,15.2087,16.8014,15.7891,15.8901,-56.8846,15.1837,16.2642,15.4947,15.7245,15.2955149158,48.35,0.0,48.4,47.22,48.0,1.0,5460300
2001-02-01,23.6128,-0.1949,84.0000,20.0000,20.9903,8.4698,15.3540,16.2803,15.2961,15.6660,15.4384,15.8015,15.5646,15.8875,8.8672,15.3421,15.9190,15.7608,16.5160,-0.1909,0.0247,-0.2156,14.6427,-0.5789,-113692600.0000,-1.2480,-3.4937,54.2349,14.5962,13.7207,14.6717,13.9929,15.3129,16.2251,15.7224,16.1072,16.0296,18.7294,16.7731,18.2215,15.3129,16.2251,15.7224,16.1072,76.7800,92.3101,15.4277,15.9741,15.3274,15.1617,15.1622,16.7981,15.7141,15.8505,-26.2865,15.3070,16.2599,15.5200,15.7187,15.991484570699999,50.55,0.0,50.75,48.65,48.8,1.0,7119500
2001-02-02,22.2177,-0.2476,80.0000,16.0000,31.6257,2.1813,15.4737,16.2690,15.3560,15.6644,15.4959,15.8006,15.5827,15.8823,8.8961,15.3443,15.9176,15.7607,16.5006,-0.1533,0.0499,-0.2032,14.6539,-0.3606,-122121200.0000,-1.5815,-2.2379,51.0907,14.5915,13.7597,14.6773,14.0132,15.3164,16.2387,15.6957,16.0635,16.0413,18.7177,16.7141,18.1138,15.3164,16.2387,15.6957,16.0635,86.7088,87.7325,15.5850,15.9587,15.4223,15.1834,15.1821,16.7927,15.6400,15.8164,-24.0401,15.3873,16.2506,15.5230,15.7049,15.7542221884,49.8,0.0,51.24,49.27,50.99,1.0,8428600
2001-02-05,21.5781,-0.2969,76.0000,12.0000,-14.7036,1.3377,15.5527,16.2566,15.4030,15.6607,15.5371,15.7991,15.5960,15.8760,8.9250,15.3505,15.9160,15.7606,16.4848,-0.1246,0.0629,-0.1875,14.6645,-0.1139,-128776000.0000,-1.8934,-0.7191,50.6689,14.5807,13.8027,14.6766,14.0374,15.3423,16.2530,15.6949,16.0195,16.1040,18.7033,16.7132,18.0016,15.3423,16.2530,15.6949,16.0195,85.4461,76.2958,15.6747,15.9419,15.4934,15.2009,15.2525,16.7849,15.5734,15.7882,-25.7095,15.4611,16.2404,15.5256,15.6915,15.722587204100002,49.7,0.0,49.7,48.0,49.1,1.0,6654800
2001-02-06,20.9190,-0.3301,72.0000,8.0000,0.9603,1.7744,15.6164,16.2452,15.4472,15.6586,15.5737,15.7979,15.6096,15.8706,8.9537,15.3544,15.9144,15.7604,16.4653,-0.0994,0.0704,-0.1699,14.6753,-0.1772,-124352100.0000,-2.1003,-1.1131,50.8872,14.5716,13.8500,14.6731,14.1045,15.3563,16.2682,15.6889,15.9660,16.1409,18.6864,16.7047,17.8275,15.3563,16.2682,15.6889,15.9660,76.3937,65.1530,15.7384,15.9267,15.5567,15.2200,15.3526,16.7747,15.5106,15.7658,-24.8748,15.5331,16.2302,15.5297,15.6805,15.738404696199998,49.75,0.0,49.8,48.7,49.6,1.0,4423900
