,ADX_14,APO,Aroon Down_25,Aroon Up_25,CCI_20,CMO_14,DEMA_10,DEMA_100,DEMA_20,DEMA_50,EMA_10,EMA_100,EMA_20,EMA_50,FAMA,KAMA_10,KAMA_100,KAMA_20,KAMA_50,MACD,MACD_Hist,MACD_Signal,MAMA,MOM_14,OBV,PPO,ROC_14,RSI_14,Real Lower Band_10,Real Lower Band_100,Real Lower Band_20,Real Lower Band_50,Real Middle Band_10,Real Middle Band_100,Real Middle Band_20,Real Middle Band_50,Real Upper Band_10,Real Upper Band_100,Real Upper Band_20,Real Upper Band_50,SMA_10,SMA_100,SMA_20,SMA_50,SlowD,SlowK,TEMA_10,TEMA_100,TEMA_20,TEMA_50,TRIMA_10,TRIMA_100,TRIMA_20,TRIMA_50,WILLR_14,WMA_10,WMA_100,WMA_20,WMA_50,adjusted_close,close,dividend_amount,high,low,open,split_coefficient,volume
2001-01-04,24.5620,-1.0341,72.0000,28.0000,30.8221,11.4319,18.1257,18.3516,18.0970,18.9048,18.2360,18.1484,18.4580,18.4680,10.8966,18.2129,17.5122,18.6077,18.8527,-0.2691,0.0304,-0.2995,17.1113,-1.0085,-138493500.0000,-5.4538,-4.9861,55.7159,16.3900,13.4608,16.3494,17.0358,17.7282,17.3495,18.7142,19.0135,19.0664,21.2382,21.0789,20.9912,17.7282,17.3495,18.7142,19.0135,77.2196,80.5542,18.4309,19.0845,17.7931,18.7606,17.5794,17.6602,18.4665,19.2531,-26.8097,17.9882,18.2535,18.2511,18.8617,19.2173484141,54.69,0.0,55.5,54.13,54.81,1.0,6909100
2001-01-05,23.2974,-1.0647,68.0000,24.0000,36.5099,10.5677,18.4551,18.3877,18.2608,18.9418,18.4062,18.1687,18.5260,18.4956,10.9278,18.2925,17.5432,18.6222,18.8567,-0.1774,0.0977,-0.2751,17.1320,-0.7695,-143795800.0000,-5.6172,-3.8590,55.2839,16.2957,13.5210,16.4343,17.1057,17.8838,17.3930,18.6405,19.0442,19.4720,21.2650,20.8468,20.9827,17.8838,17.3930,18.6405,19.0442,80.6371,83.0267,18.8351,19.1216,18.0726,18.8122,17.7596,17.7261,18.3013,19.2472,-22.7969,18.2507,18.2896,18.2947,18.8679,19.1716681199,54.56,0.0,55.5,54.19,55.38,1.0,5302300
2001-01-08,21.7143,-0.9682,64.0000,20.0000,34.1903,10.9966,18.7079,18.4237,18.4080,18.9783,18.5501,18.1891,18.5900,18.5231,10.9589,18.4322,17.5759,18.6336,18.8612,-0.1014,0.1389,-0.2404,17.1526,-0.2372,-139123700.0000,-5.1121,-1.2204,55.4983,16.4060,13.5897,16.5003,17.1879,18.0885,17.4385,18.5835,19.0776,19.7710,21.2873,20.6668,20.9674,18.0885,17.4385,18.5835,19.0776,83.6459,87.3568,19.1080,19.1584,18.3130,18.8624,18.0064,17.7915,18.1824,19.2375,-15.5244,18.4896,18.3253,18.3478,18.8739,19.1980221358,54.25,0.385,54.56,53.06,54.38,1.0,4672100
2001-01-09,21.2882,-0.7954,60.0000,16.0000,66.2596,18.0954,19.0397,18.4760,18.6159,19.0464,18.7484,18.2178,18.6900,18.5669,10.9900,18.7100,17.6214,18.6387,18.8719,-0.0055,0.1879,-0.1934,17.1775,0.0295,-133365300.0000,-4.2007,0.1503,59.0477,16.6458,13.6596,16.5062,17.2453,18.3613,17.4893,18.5783,19.1120,20.0768,21.3189,20.6505,20.9787,18.3613,17.4893,18.5783,19.1120,85.0155,84.6631,19.4762,19.2192,18.6275,18.9583,18.3039,17.8564,18.1172,19.2243,-12.3147,18.7717,18.3689,18.4484,18.8960,19.640372876199997,55.5,0.0,56.81,53.25,53.25,1.0,5758400
2001-01-10,21.0257,-0.5748,56.0000,12.0000,85.7228,21.8030,19.3623,18.5362,18.8396,19.1289,18.9549,18.2508,18.8038,18.6186,11.0211,18.9616,17.6783,18.6512,18.8827,0.0892,0.2261,-0.1369,17.2046,1.6546,-128858600.0000,-3.0344,9.0763,60.9015,16.7767,13.7442,16.4811,17.2626,18.6016,17.5460,18.6040,19.1368,20.4266,21.3477,20.7268,21.0110,18.6016,17.5460,18.6040,19.1368,84.4868,81.4407,19.8144,19.2914,18.9496,19.0739,18.6171,17.9205,18.0996,19.2081,-8.5785,19.0487,18.4164,18.5728,18.9263,19.884550485,56.19,0.0,57.13,54.94,55.25,1.0,4506700
2001-01-11,20.7820,-0.3285,52.0000,8.0000,82.8266,18.1307,19.5441,18.5885,19.0040,19.1942,19.0956,18.2801,18.8919,18.6621,11.0522,19.0855,17.7227,18.6586,18.8873,0.1500,0.2295,-0.0795,17.2298,2.1138,-133156500.0000,-1.7354,12.0001,59.0654,16.9526,13.8093,16.4698,17.2628,18.7979,17.5952,18.6174,19.1422,20.6433,21.3812,20.7650,21.0216,18.7979,17.5952,18.6174,19.1422,80.1841,74.4484,19.9476,19.3514,19.1726,19.1624,18.9077,17.9830,18.1170,19.1889,-12.5939,19.2536,18.4596,18.6800,18.9495,19.7288430243,55.75,0.0,56.81,55.63,56.19,1.0,4297900
2001-01-12,19.7182,-0.1235,48.0000,4.0000,66.9998,15.9909,19.6426,18.6358,19.1291,19.2486,19.1947,18.3070,18.9632,18.7005,11.0832,19.2541,17.7623,18.6700,18.8930,0.1889,0.2147,-0.0258,17.2539,2.4892,-139008700.0000,-0.6534,14.5132,57.9955,17.4850,13.8730,16.5143,17.2736,19.0423,17.6423,18.5881,19.1287,20.5995,21.4117,20.6620,20.9838,19.0423,17.6423,18.5881,19.1287,74.5128,67.6495,19.9723,19.4034,19.3303,19.2334,19.1656,18.0434,18.1720,19.1669,-14.8754,19.4068,18.5001,18.7774,18.9691,19.640372876199997,55.5,0.0,56.0,54.25,55.75,1.0,5852200
2001-01-16,18.4351,0.0535,44.0000,0.0000,49.9297,6.6688,19.5775,18.6660,19.1643,19.2689,19.2037,18.3256,18.9899,18.7218,11.1141,19.2525,17.7926,18.6777,18.8951,0.1856,0.1691,0.0165,17.2738,2.3318,-144164100.0000,0.2837,13.7875,53.3344,17.9721,13.9578,16.5493,17.2710,19.2052,17.6891,18.5533,19.1218,20.4382,21.4204,20.5572,20.9725,19.2052,17.6891,18.5533,19.1218,64.6068,51.7226,19.7866,19.4299,19.3539,19.2533,19.3592,18.1016,18.2694,19.1427,-27.9596,19.4435,18.5318,18.8398,18.9736,19.2440266128,54.38,0.0,55.44,53.25,55.38,1.0,5155400
2001-01-17,17.2436,0.2592,40.0000,0.0000,45.3733,3.1611,19.4714,18.6892,19.1655,19.2756,19.1827,18.3407,18.9993,18.7362,11.1450,19.2334,17.8212,18.6811,18.8973,0.1684,0.1216,0.0469,17.2920,1.6068,-150378000.0000,1.3783,9.1916,51.5806,18.6515,14.0668,16.5570,17.2774,19.3483,17.7387,18.5359,19.0977,20.0450,21.4107,20.5149,20.9180,19.3483,17.7387,18.5359,19.0977,51.6638,35.6194,19.5729,19.4458,19.3297,19.2533,19.4816,18.1573,18.4009,19.1164,-35.5560,19.4223,18.5595,18.8908,18.9723,19.0883191521,53.94,0.0,54.75,53.5,54.38,1.0,6213900
2001-01-18,16.9865,0.4359,36.0000,8.0000,81.7868,15.4747,19.5994,18.7367,19.2820,19.3308,19.2820,18.3682,19.0688,18.7751,11.1759,19.2771,17.8653,18.6867,18.9020,0.2041,0.1258,0.0783,17.3163,1.9627,-144661200.0000,2.3184,11.0476,57.7373,18.8939,14.1554,16.5494,17.2818,19.4542,17.7908,18.5418,19.0917,20.0146,21.4263,20.5342,20.9016,19.4542,17.7908,18.5418,19.0917,41.9782,38.5926,19.7060,19.4980,19.4732,19.3250,19.5327,18.2105,18.5583,19.0914,-15.3816,19.4915,18.5989,19.0044,18.9970,19.7288430243,55.75,0.0,56.88,53.94,53.94,1.0,5716800
