,ADX_14,APO,Aroon Down_25,Aroon Up_25,CCI_20,CMO_14,DEMA_10,DEMA_100,DEMA_20,DEMA_50,EMA_10,EMA_100,EMA_20,EMA_50,FAMA,KAMA_10,KAMA_100,KAMA_20,KAMA_50,MACD,MACD_Hist,MACD_Signal,MAMA,MOM_14,OBV,PPO,ROC_14,RSI_14,Real Lower Band_10,Real Lower Band_100,Real Lower Band_20,Real Lower Band_50,Real Middle Band_10,Real Middle Band_100,Real Middle Band_20,Real Middle Band_50,Real Upper Band_10,Real Upper Band_100,Real Upper Band_20,Real Upper Band_50,SMA_10,SMA_100,SMA_20,SMA_50,SlowD,SlowK,TEMA_10,TEMA_100,TEMA_20,TEMA_50,TRIMA_10,TRIMA_100,TRIMA_20,TRIMA_50,WILLR_14,WMA_10,WMA_100,WMA_20,WMA_50,adjusted_close,close,dividend_amount,high,low,open,split_coefficient,volume
2007-12-06,3.6380,-16.6667,16.1333,15.9755,16.0110,15.5443,15.7337,15.4353,15.0421,14.3294,72.9033,81.9975,71.9624,-0.0642,0.0426,0.2585,0.2159,15.4638,15.1818,14.9745,14.7029,15.6542,15.6163,15.0414,14.4940,8.7719,14.0418,16.7393,14.5691,15.6542,16.5699,14.6627,15.6163,16.6811,13.4018,15.0414,16.2518,12.7363,14.4940,15.8051,15.6032,15.1675,14.8982,-48514500.0000,15.8823,15.6591,15.3389,14.8321,13.2586,68.0000,20.0000,14.8335,56.6293,16.0377,15.9429,15.6790,15.0957,-0.4113,0.5611,22.95,22.96,22.54,22.79,15.9852569564,3578900,0.0,1.0
2007-12-07,0.3092,-19.5652,16.0951,15.9953,16.0448,15.5877,15.8677,15.4488,15.0866,14.3512,70.2228,70.3492,52.9975,-0.0133,0.0297,0.2530,0.2233,15.4845,15.1854,14.9847,14.7165,15.7264,15.6191,15.0585,14.5107,8.7983,14.0607,16.7784,14.6745,15.7264,16.5760,14.6622,15.6191,16.7169,13.4002,15.0585,16.2908,12.7305,14.5107,15.8277,15.6343,15.1974,14.9187,-51190100.0000,15.9323,15.6889,15.3737,14.8605,11.6078,64.0000,16.0000,14.3682,55.8039,16.0364,15.9697,15.7175,15.1323,-0.0849,0.0491,22.79,22.98,22.6216,22.71,15.929143724400001,2675600,0.0,1.0
2007-12-10,7.5386,-2.1472,16.3690,16.1850,16.1517,15.6688,15.9932,15.4885,15.1325,14.3734,138.7007,60.6777,57.0733,0.0863,0.0615,0.3001,0.2387,15.8071,15.2241,15.0209,14.7429,15.9481,15.6780,15.0966,14.5330,8.8248,14.0861,16.6629,15.2333,15.9481,16.7225,14.6336,15.6780,16.8074,13.3857,15.0966,16.3612,12.7047,14.5330,15.9698,15.7272,15.2528,14.9521,-44794900.0000,16.0929,15.7832,15.4345,14.9021,25.7408,60.0000,100.0000,15.1257,62.8704,16.2569,16.1147,15.8057,15.1943,0.5506,1.1643,22.82,23.75,22.82,23.68,16.609516662,6395200,0.0,1.0
2007-12-11,7.2922,-25.0000,16.3591,16.2313,16.2030,15.7227,16.0619,15.5473,15.1781,14.3961,115.7595,54.1702,52.4398,0.1431,0.0500,0.3012,0.2512,15.8480,15.2349,15.0398,14.7590,16.0547,15.7022,15.1249,14.5500,8.8512,14.1073,16.5321,15.5773,16.0547,16.7715,14.6330,15.7022,16.8610,13.3888,15.1249,16.4082,12.6918,14.5500,16.0122,15.7724,15.2900,14.9769,-50358600.0000,16.1392,15.8332,15.4779,14.9352,14.0032,56.0000,100.0000,16.1127,57.0016,16.2817,16.1640,15.8570,15.2386,0.9118,1.1012,23.75,23.97,23.01,23.1,16.2026957302,5563700,0.0,1.0
2007-12-12,10.6635,-17.8161,16.4214,16.3110,16.2689,15.7845,16.1082,15.6168,15.2239,14.4193,103.3166,57.6176,63.3397,0.2748,0.0491,0.3125,0.2634,15.8790,15.2428,15.0643,14.7780,16.1143,15.7128,15.1577,14.5686,8.8776,14.1300,16.5895,15.6392,16.1143,16.8040,14.6215,15.7128,16.9250,13.3904,15.1577,16.4620,12.6752,14.5686,16.0787,15.8301,15.3327,15.0047,-46971000.0000,16.1980,15.8975,15.5271,14.9713,17.5748,52.0000,96.0000,16.7932,58.7874,16.3536,16.2366,15.9185,15.2883,1.7470,1.5782,23.41,23.67,22.83,23.27,16.3780495801,3387600,0.08,1.0
2007-12-13,8.2584,-14.3560,16.4918,16.3942,16.3379,15.8485,16.1597,15.6960,15.2691,14.4431,108.9467,56.2325,52.9179,0.3532,0.0490,0.3246,0.2757,15.9180,15.2577,15.0918,14.7944,16.1824,15.7387,15.1929,14.5828,8.9040,14.1533,16.6423,15.7225,16.1824,16.8745,14.6029,15.7387,16.9924,13.3935,15.1929,16.5113,12.6544,14.5828,16.1485,15.8904,15.3770,15.0335,-44284500.0000,16.2613,15.9689,15.5782,15.0089,19.3130,48.0000,92.0000,17.5661,59.6565,16.4305,16.3126,15.9824,15.3399,2.2407,1.2558,23.13,23.77,23.01,23.39,16.462508795799998,2686500,0.0,1.0
2007-12-14,15.6985,-9.5635,16.6154,16.5075,16.4217,15.9207,16.2285,15.7839,15.3136,14.4678,112.0625,60.2142,64.3849,0.3974,0.0559,0.3456,0.2897,15.9758,15.3025,15.1262,14.8142,16.2624,15.8001,15.2325,14.5991,8.9303,14.1783,16.7427,15.7822,16.2624,16.9927,14.6076,15.8001,17.0711,13.3939,15.2325,16.5691,12.6290,14.5991,16.2401,15.9629,15.4270,15.0656,-39352800.0000,16.3468,16.0559,15.6355,15.0498,23.2355,44.0000,100.0000,18.5898,61.6177,16.5459,16.4107,16.0567,15.3973,2.5166,2.2595,23.14,23.99,23.05,23.66,16.6525420312,4931700,0.0,1.0
2007-12-17,6.8071,-41.0639,16.4685,16.4700,16.4426,15.9614,16.2799,15.8675,15.3574,14.4932,64.9973,55.6098,49.5267,0.4182,0.0237,0.3193,0.2956,15.9770,15.3097,15.1430,14.8279,16.2575,15.8145,15.2629,14.6143,8.9567,14.1982,16.7405,15.7744,16.2575,17.0174,14.6116,15.8145,17.1120,13.4139,15.2629,16.6089,12.6197,14.6143,16.2268,15.9824,15.4560,15.0874,-43617600.0000,16.3294,16.0909,15.6721,15.0809,8.6932,40.0000,96.0000,19.2752,54.3466,16.4661,16.4050,16.0889,15.4339,2.6463,1.0304,23.26,23.54,22.95,22.97,16.166901540799998,4264800,0.0,1.0
2007-12-18,2.3953,-42.4893,16.3587,16.4331,16.4597,15.9998,16.3169,15.9487,15.4007,14.5193,37.5402,51.3528,40.1469,0.4158,-0.0009,0.2945,0.2954,15.9783,15.3254,15.1608,14.8449,16.2651,15.8502,15.2955,14.6343,8.9830,14.2178,16.7392,15.7909,16.2651,17.0496,14.6509,15.8502,17.1493,13.4417,15.2955,16.6503,12.6183,14.6343,16.2146,15.9993,15.4836,15.1086,-47426700.0000,16.3117,16.1238,15.7073,15.1115,8.4934,36.0000,92.0000,18.6231,54.2467,16.4005,16.3970,16.1182,15.4691,2.6267,0.3780,23.18,23.33,22.41,22.96,16.1598632729,3809100,0.0,1.0
2007-12-19,4.9373,-25.6082,16.4616,16.5033,16.5193,16.0598,16.3559,16.0283,15.4428,14.5460,71.7867,42.9762,39.2551,0.4121,0.0067,0.3037,0.2970,15.9951,15.3791,15.1888,14.8699,16.3108,15.9232,15.3334,14.6578,9.0093,14.2413,16.8019,15.8196,16.3108,17.1090,14.7374,15.9232,17.2115,13.4553,15.3334,16.7080,12.6077,14.6578,16.2776,16.0528,15.5259,15.1374,-43379200.0000,16.3655,16.1915,15.7569,15.1496,17.7726,32.0000,88.0000,18.5465,58.8863,16.4812,16.4610,16.1762,15.5189,2.5979,0.7792,22.97,23.65,22.74,23.53,16.5610445475,4047500,0.0,1.0
