,ADX_14,APO,Aroon Down_25,Aroon Up_25,CCI_20,CMO_14,DEMA_10,DEMA_100,DEMA_20,DEMA_50,EMA_10,EMA_100,EMA_20,EMA_50,FAMA,KAMA_10,KAMA_100,KAMA_20,KAMA_50,MACD,MACD_Hist,MACD_Signal,MAMA,MOM_14,OBV,PPO,ROC_14,RSI_14,Real Lower Band_10,Real Lower Band_100,Real Lower Band_20,Real Lower Band_50,Real Middle Band_10,Real Middle Band_100,Real Middle Band_20,Real Middle Band_50,Real Upper Band_10,Real Upper Band_100,Real Upper Band_20,Real Upper Band_50,SMA_10,SMA_100,SMA_20,SMA_50,SlowD,SlowK,TEMA_10,TEMA_100,TEMA_20,TEMA_50,TRIMA_10,TRIMA_100,TRIMA_20,TRIMA_50,WILLR_14,WMA_10,WMA_100,WMA_20,WMA_50,adjusted_close,close,dividend_amount,high,low,open,split_coefficient,volume
2001-01-04,24.898,-0.3162,20.0,0.0,48.5734,4.136,10.2236,9.2171,9.5415,8.2542,10.3887,19.4213,10.8759,13.8413,22.1556,10.4565,12.9793,10.7575,11.9934,-0.9068,0.2807,-1.1875,24.4927,0.8438,-20231350.0,-2.9396,7.6828,52.068,8.2133,3.4452,7.8797,7.1917,10.0181,20.2897,10.428,13.3576,11.8229,37.1343,12.9764,19.5234,10.0181,20.2897,10.428,13.3576,64.5197,90.2163,10.599,7.9359,10.1232,8.7089,9.7086,19.6303,10.7595,13.2233,-35.9048,10.0835,15.7687,10.4407,11.8598,11.827207896300001,6.125,0.0,6.188,5.063,5.375,1.0,9290000
2001-01-05,23.8121,-0.3068,16.0,8.0,74.0871,0.3051,10.6098,9.1072,9.7756,8.2907,10.5846,19.2638,10.9321,13.7481,22.1667,10.462,12.9176,10.7796,11.9792,-0.7579,0.3437,-1.1016,24.3624,-0.7241,-21610625.0,-2.8731,-5.9401,50.1525,8.242,3.3087,8.0654,7.1452,10.0061,20.0881,10.5548,13.249,11.7703,36.8676,13.0442,19.3528,10.0061,20.0881,10.5548,13.249,78.9188,84.6874,11.0726,7.8981,10.463,8.8521,9.7927,19.3563,10.6839,13.0119,-43.5782,10.3468,15.5939,10.5396,11.7856,11.466115998,5.938,0.0,6.438,5.875,6.438,1.0,5517100
2001-01-08,22.5857,-0.3098,12.0,4.0,75.6487,8.753,11.1756,9.0357,10.1357,8.3941,10.8983,19.1261,11.0633,13.6917,22.177,10.7187,12.8958,10.8565,11.9854,-0.5653,0.429,-0.9943,24.2419,0.2414,-20643975.0,-2.9122,2.0,54.3765,8.1471,3.189,8.3159,7.1229,10.3077,19.9056,10.7418,13.1693,12.4684,36.6222,13.1677,19.2157,10.3077,19.9056,10.7418,13.1693,87.8409,88.6188,11.7605,7.9153,10.9647,9.0871,10.0539,19.0865,10.6116,12.8043,-19.4667,10.7657,15.4399,10.7068,11.7488,12.309951075699999,6.375,0.0,6.375,5.75,6.0,1.0,3866600
2001-01-09,21.2252,-0.251,8.0,0.0,40.2926,-1.5286,11.2727,8.9304,10.2751,8.4214,10.9794,18.972,11.0901,13.5997,22.1867,10.747,12.8335,10.8682,11.9733,-0.485,0.4075,-0.8925,24.1129,-0.9655,-22925625.0,-2.3769,-7.8431,49.2357,8.2538,3.0614,8.5228,7.0542,10.4645,19.7064,10.8504,13.0895,12.6752,36.3514,13.178,19.1247,10.4645,19.7064,10.8504,13.0895,83.8895,78.3624,11.7643,7.88,11.1269,9.2018,10.3754,18.8208,10.5469,12.6001,-41.6889,10.9542,15.2704,10.7642,11.6772,11.344464716800001,5.875,0.0,6.25,5.625,6.25,1.0,9126600
2001-01-10,21.2015,0.056,4.0,100.0,122.8839,19.0706,12.1379,8.9248,10.8367,8.6367,11.4847,18.8688,11.3442,13.6059,22.1958,11.168,12.8637,10.9652,11.9911,-0.224,0.5348,-0.7588,24.0093,0.9655,-19498075.0,0.5274,7.5472,59.5353,8.0624,3.0085,8.3526,7.0601,10.898,19.5313,11.0012,13.0483,13.7337,36.0541,13.6499,19.0365,10.898,19.5313,11.0012,13.0483,84.7442,87.2513,12.8348,7.9909,11.8857,9.5873,10.8136,18.5605,10.5161,12.4073,-0.0,11.553,15.1526,11.0411,11.7035,13.758180614,7.125,0.0,7.125,5.875,6.0,1.0,13710200
2001-01-11,21.3316,0.203,0.0,100.0,129.4531,12.9127,12.5716,8.8977,11.2137,8.7969,11.7885,18.7556,11.5167,13.5882,22.2044,11.3516,12.8733,11.0221,12.0074,-0.065,0.555,-0.62,23.9008,1.5699,-21073525.0,1.8865,13.55,56.4563,8.2529,2.9405,8.3261,7.0694,11.2481,19.3549,11.128,12.9855,14.2433,35.7694,13.9299,18.9017,11.2481,19.3549,11.128,12.9855,81.7003,79.4872,13.2479,8.0666,12.3477,9.8812,11.2722,18.305,10.5292,12.2301,-16.2635,11.9635,15.0264,11.2463,11.7077,13.155717126099999,6.813,0.0,7.25,6.75,7.188,1.0,6301800
2001-01-12,22.0877,0.4475,4.0,100.0,164.1311,26.1038,13.5195,8.949,11.8901,9.1,12.3882,18.683,11.8567,13.647,22.2124,11.8604,12.938,11.196,12.0283,0.2143,0.6675,-0.4532,23.8127,5.7929,-18682575.0,4.0724,62.3312,63.0519,8.2318,2.9356,8.045,7.0869,11.7913,19.192,11.3332,12.9638,15.3507,35.4484,14.6213,18.8406,11.7913,19.192,11.3332,12.9638,85.9248,91.0359,14.3578,8.256,13.2206,10.3766,11.7792,18.0548,10.6004,12.0732,-0.0,12.6615,14.9418,11.6233,11.7901,15.0866898438,7.813,0.0,7.813,6.938,7.063,1.0,9563800
2001-01-16,23.0444,0.6254,0.0,100.0,142.6432,17.6948,13.9263,8.9676,12.3195,9.324,12.725,18.595,12.0838,13.6703,22.2199,12.1672,12.9785,11.2533,12.0501,0.3632,0.6531,-0.2899,23.717,4.4644,-20444025.0,5.5879,45.6646,58.8474,9.056,2.9239,7.9266,7.1145,12.3223,19.0193,11.4357,12.9203,15.5887,35.1147,14.9449,18.7261,12.3223,19.0193,11.4357,12.9203,84.0508,81.6293,14.6694,8.3927,13.7062,10.7433,12.2901,17.8097,10.732,11.9363,-19.6571,13.1068,14.8438,11.9002,11.8402,14.240923793399999,7.375,0.0,8.062999999999999,7.0,8.0,1.0,7045800
2001-01-17,23.9328,0.8219,0.0,96.0,147.6738,22.4621,14.4484,9.0159,12.8197,9.594,13.1323,18.5231,12.3582,13.7211,22.227,12.5138,13.0357,11.3527,12.0733,0.5336,0.6588,-0.1252,23.6294,5.5419,-19515975.0,7.1861,58.8115,61.2311,9.6542,2.931,7.7541,7.1449,12.8292,18.8563,11.5805,12.8889,16.0042,34.7815,15.4069,18.6328,12.8292,18.8563,11.5805,12.8889,86.1634,85.8249,15.1503,8.5702,14.2787,11.1683,12.8091,17.5699,10.9393,11.8203,-8.9429,13.5873,14.7635,12.2364,11.9203,14.9650385626,7.75,0.0,7.938,7.563,7.625,1.0,3712200
2001-01-18,24.2037,1.075,52.0,92.0,115.4494,16.4201,14.6158,9.041,13.1393,9.8052,13.356,18.4408,12.5491,13.7462,22.2335,12.676,13.0779,11.4062,12.1102,0.6129,0.5904,0.0224,23.5368,4.7077,-20400975.0,9.2369,48.76,58.2101,10.5297,2.951,7.6781,7.2552,13.2517,18.68,11.6832,12.8119,15.9737,34.409,15.6883,18.3685,13.2517,18.68,11.6832,12.8119,79.1374,69.958,15.1441,8.7095,14.5759,11.4964,13.3,17.3344,11.2047,11.7213,-17.8571,13.8661,14.6745,12.5013,11.9781,14.3625750747,7.438,0.0,7.813,7.313,7.75,1.0,3540000
